"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"Glycerol-3-P",-0.187040522480613,0.360228959559797,0.589755376270465,"NS"
"Homocitrulline",-0.184988889692891,0.365616557621669,0.591071503866279,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.184305012096984,0.367422826727687,0.591071503866279,"NS"
"Xanthurenic Acid",0.182253379309262,0.372872764094307,0.593921480929,"NS"
"betaAlanine",0.181227562915402,0.3756152068578,0.593921480929,"NS"
"Indole-3-Carboxylic Acid",-0.178833991329726,0.382059398969234,0.598991430587359,"NS"
"Glucose",0.177466236137912,0.385770096991084,0.599726621372693,"NS"
"Indole-2-Carboxylic Acid",-0.175756542148144,0.390437313870463,0.601924192216964,"NS"
"Phenylalanine",0.173704909360423,0.396080132942961,0.605577062764032,"NS"
"Anthranilic Acid",-0.159685418644326,0.435853755435957,0.660925776685673,"NS"
"Cholesteryl Sulfate",-0.156949908260697,0.443857528860188,0.666545735775983,"NS"
"Oxidized Glutathione",0.155924091866836,0.446879059625077,0.666545735775983,"NS"
"4-Hydroxybenzoic Acid",-0.154556336675022,0.450924743095182,0.666545735775983,"NS"
"Tyrosine",-0.153530520281161,0.453971690312291,0.666545735775983,"NS"
"7-Methylguanine",-0.150795009897532,0.462149733306718,0.672374658993016,"NS"
"Imidazoleacetic Acid",0.148059499513904,0.470404072033023,0.672374658993016,"NS"
"Deoxycarnitine",-0.147375621917996,0.472479490103201,0.672374658993016,"NS"
"gamma-Aminobutyrate",-0.147375621917996,0.472479490103201,0.672374658993016,"NS"
"Homoarginine",0.141220723554832,0.491368683972862,0.693917607137248,"NS"
"N-AcetylGlycine",-0.137117457979389,0.504168834481552,0.70660026044763,"NS"
"Putrescine",-0.133014192403946,0.517131478079056,0.718458781741811,"NS"
"6-Methyladenosine",-0.131988376010085,0.520397171640015,0.718458781741811,"NS"
"Ornithine",-0.130278682020317,0.525862002948833,0.720625707744696,"NS"
"Glucoronate",0.126175416444874,0.539088567305536,0.733319006996502,"NS"
"N-Ac-Phenylalanine",0.118652762889895,0.563734684332104,0.761247566433863,"NS"
"Ribulose 5-Phosphate",0.117285007698081,0.568269720586651,0.761810857308192,"NS"
"Sorbitol",-0.113865619718545,0.579678135163079,0.771126342267187,"NS"
"Sarcosine",0.11249786452673,0.584269466193153,0.771126342267187,"NS"
"Hypotaurine",0.11147204813287,0.587723320322558,0.771126342267187,"NS"
"Adenosine",-0.109762354143102,0.593499290202499,0.773220906249734,"NS"
"Pseudouridine",-0.105659088567659,0.60745975565366,0.784598951394773,"NS"
"Alanine",-0.10292357818403,0.61684215572056,0.784598951394773,"NS"
"S-Methylcysteine",-0.10292357818403,0.61684215572056,0.784598951394773,"NS"
"Pantothenate",-0.102239700588123,0.619197010289929,0.784598951394773,"NS"
"Linolenic Acid",-0.0981364350126797,0.633402387785237,0.791752984731547,"NS"
"Glutamine",0.0981364350126797,0.633402387785238,0.791752984731547,"NS"
"Fructose",-0.0950589858310974,0.644140418146102,0.799771660114287,"NS"
"iso-Leucine /allo-isoLeucine",-0.0936912306392831,0.648935444225374,0.800353714544628,"NS"
"Acetylcarnitine",-0.0892460262658864,0.664612744185372,0.814260646849628,"NS"
"5-Methylcytidine",-0.0820653115088611,0.690227713084269,0.840079782372301,"NS"
"N-Ac-Arginine",-0.077962045933418,0.705017561584588,0.846837339032354,"NS"
"N2,N2-Dimethylguanosine",-0.0762523519436501,0.711211294840196,0.846837339032354,"NS"
"Margaric Acid",0.0759104131456965,0.712452200097273,0.846837339032354,"NS"
"Asparagine",0.0745426579538822,0.71742292196316,0.846837339032354,"NS"
"Palmitic Acid",-0.0742007191559285,0.718667363395024,0.846837339032354,"NS"
