"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass","MdeltaTAG_R_spearman","MdeltaTAG_p","MdeltaTAG_adj","sig_MdeltaTAG","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"Agmatine",0.460591133004926,0.012689492123431,0.158750095252502,"NS",0.132743372657712,0.527030126476219,0.699442426816362,"NS",0.141871921182266,0.461223244405755,0.66144418771368,"NS",-0.166987315169412,0.424977024580764,0.718379325602638,"NS"
"Alanine",0.0640394088669951,0.740710246970013,0.88299501861468,"NS",-0.248557155759079,0.230888041816059,0.479935817258101,"NS",0.288669950738916,0.128765526340217,0.330855866290835,"NS",-0.022316277142456,0.915676226663127,0.960091818286567,"NS"
"Allantoin",0.163546798029557,0.394960560765359,0.652390211978495,"NS",-0.237783780586859,0.252390973637759,0.491498211820899,"NS",0.0527093596059113,0.78556446254999,0.897095219578693,"NS",-0.460177025213403,0.0206310501542407,0.24336643616786,"NS"
"Alpha-Ketoglutaric Acid",0.263054187192118,0.167519977504658,0.387274825281324,"NS",0.27356677669459,0.185764006521353,0.446316119564289,"NS",0.0842364532019704,0.662894459595258,0.839969007021388,"NS",-0.155059649800168,0.459239314144267,0.732407526868012,"NS"
"Aminolevulinate",0.267487684729064,0.160274235585735,0.387274825281324,"NS",0.1565987033962,0.454739028980182,0.643319652872703,"NS",-0.22512315270936,0.239289986618256,0.480193773348767,"NS",-0.0792612601956196,0.70646322565035,0.890726738109723,"NS"
"AMP",0.426108374384236,0.0220388747344233,0.172459371422144,"NS",0.417083524524523,0.0380549295705815,0.214438110414661,"NS",0.494581280788177,0.00699466654091901,0.0712408812295579,"NS",0.410157783342381,0.0417107647132179,0.345782134630072,"NS"
"Anthranilic Acid",-0.116748768472906,0.544917218245615,0.781470429266968,"NS",-0.183916904725758,0.378834070377541,0.615564457143807,"NS",0.114285714285714,0.553494054661437,0.735959663911414,"NS",-0.0681031216243916,0.746348216871569,0.899091369225069,"NS"
"Arabitol/Xylitol",0.227586206896552,0.234082532737983,0.459112743220796,"NS",0.163524444578341,0.434777632155723,0.628389546475069,"NS",0.0596059113300492,0.758170443214005,0.887731215155639,"NS",0.0454020810829277,0.829378237511528,0.937187073911244,"NS"
"Arginine",-0.0881773399014778,0.648079889686106,0.850942725108767,"NS",-0.368218572850524,0.0701292925583214,0.279559071055485,"NS",0.470935960591133,0.0106457530338218,0.0770421968111043,"NS",0.249326682557095,0.229400140187038,0.556551812934764,"NS"
"Argininosuccinate",0.349753694581281,0.0635448728081572,0.257141883377025,"NS",0.36898809964854,0.0695006585864853,0.279559071055485,"NS",0.274384236453202,0.149458054553039,0.36866320123083,"NS",0.309349772802321,0.132387788417469,0.489834817144635,"NS"
"Asparagine",0.306896551724138,0.105555349001343,0.336685164918077,"NS",0.213928449848371,0.30450055193347,0.536500972454209,"NS",0.0655172413793103,0.734918043779435,0.882856091553218,"NS",0.0692574118214152,0.742190655524932,0.899091369225069,"NS"
"Aspartic Acid",-0.607389162561576,0.000612962317672892,0.0770790677796294,"NS",-0.598307085457226,0.00158175401255746,0.0897204429192552,"NS",-0.241379310344828,0.20634386544083,0.43287041943111,"NS",-0.0303963085216211,0.885316026364212,0.960091818286567,"NS"
"Azelaic Acid",-0.478325123152709,0.00936278020112544,0.133239564400631,"NS",-0.297422107433078,0.148770310289783,0.387640949346618,"NS",0.303940886699507,0.109085997699437,0.315326712099936,"NS",0.549057370384219,0.00447655519297855,0.194085171424349,"NS"
"betaAlanine",0.266009852216749,0.162663828226796,0.387274825281324,"NS",0.272027723098559,0.188350395896714,0.446728503088361,"NS",-0.0394088669950739,0.839093852930346,0.935134715615145,"NS",-0.0773374432005803,0.713289824262251,0.890726738109723,"NS"
"Betaine",-0.393103448275862,0.035750422043212,0.206282695636398,"NS",-0.342054661717989,0.0942027713017668,0.311205583764765,"NS",0.429064039408867,0.0210609278506239,0.114596225069571,"NS",0.314736460388431,0.125433264262644,0.489834817144635,"NS"
"Biopterin",-0.0541871921182266,0.779671601252767,0.889614461109753,"NS",-0.270488669502527,0.19096145875142,0.447188226190035,"NS",0.350738916256158,0.0627643803994176,0.232228207477845,"NS",0.128126211869618,0.541625152673939,0.788981521611643,"NS"
"Cadaverine",-0.42512315270936,0.0223731076439538,0.172459371422144,"NS",-0.39053484999298,0.0535885009004412,0.267942504502206,"NS",0.516256157635468,0.00464555522872987,0.0661098244088482,"NS",0.245094285168008,0.237662666064034,0.556551812934764,"NS"
"cAMP",0.0605911330049261,0.754279821055804,0.88880106302754,"NS",0.327433652555691,0.110097410166544,0.329839452723145,"NS",-0.331527093596059,0.0794135150817589,0.275062343284401,"NS",0.14582532822398,0.486723135433177,0.745129815805896,"NS"
"Carnitine",0.354187192118227,0.0600921388677079,0.257141883377025,"NS",0.24663333876404,0.234635734995876,0.482306788602634,"NS",0.158128078817734,0.410985952607912,0.623216403544785,"NS",0.176991163543617,0.397351449214401,0.706827097160232,"NS"
"Carnosine",0.384729064039409,0.0401580108885735,0.206282695636398,"NS",0.294728763640022,0.152660953105571,0.392253837840703,"NS",0.57192118226601,0.00143929018037328,0.0410762968157763,"SIG",0.109657568717241,0.601812626744191,0.826464701391118,"NS"
"cGMP",0.214285714285714,0.263128549299924,0.477242957063588,"NS",0.387071979401909,0.05593360283872,0.272308329609558,"NS",-0.00492610837438424,0.980647268115817,0.990832247717225,"NS",0.362062358466398,0.075316193051773,0.447091804597021,"NS"
"Cholecalciferol",-0.405418719211823,0.0299913534739247,0.184946679755869,"NS",-0.437475984671939,0.0287454983003172,0.204535276367642,"NS",0.289162561576355,0.128092121697004,0.330855866290835,"NS",0.236244726990827,0.25556562172748,0.56963421710342,"NS"
"Cholesteryl Sulfate",-0.226108374384236,0.237197695808576,0.459112743220796,"NS",-0.120815707288469,0.565111482785913,0.721004305623407,"NS",0.0729064039408867,0.706179157772781,0.865186385350759,"NS",0.0584840366491951,0.781252703797483,0.910639771785782,"NS"
"Choline",-0.344334975369458,0.0679754876948449,0.261988858823881,"NS",-0.624855759988768,0.000839867505521933,0.0776877442607788,"NS",0.0665024630541872,0.731064569380229,0.882856091553218,"NS",-0.00961908497519656,0.96360195955198,0.982960303484352,"NS"
"Citraconic Acid",-0.139408866995074,0.46911116298746,0.705573700428293,"NS",-0.170834949159491,0.414230200443522,0.628135959688947,"NS",0.48423645320197,0.00843317034792568,0.0727428363954219,"NS",0.260484821128323,0.20853952103158,0.556551812934764,"NS"
"Citrulline",0.0236453201970443,0.903454337455028,0.967922845121244,"NS",-0.23932283418289,0.249242080379388,0.490529626278583,"NS",0.0625615763546798,0.746516578868799,0.887731215155639,"NS",-0.0661793046293523,0.753292768810193,0.899091369225069,"NS"
