"COMPOUND","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"2-Aminoisobutyric Acid",0.135821479849775,0.517405379676905,0.76575996192182,"NS"
"Cytidine",-0.133512899455728,0.524615973751021,0.770269485269356,"NS"
"Biopterin",0.128126211869618,0.541625152673939,0.788981521611643,"NS"
"5,6-Dihydrouracil",-0.125432868076563,0.55022488063823,0.795246897797441,"NS"
"Lactose/Trehalose",-0.123509051081524,0.556405685369242,0.797107025806788,"NS"
"2-isoPropylmalic Acid",-0.1223547608845,0.560129261377743,0.797107025806788,"NS"
"3-(4-Hydroxyphenyl)Propionate",0.116583309899382,0.578914041557891,0.812288398187841,"NS"
"Dimethylglycine",0.115429019702359,0.582703836511824,0.812288398187841,"NS"
"Homoarginine",-0.115044256303351,0.583969497075583,0.812288398187841,"NS"
"Carnosine",0.109657568717241,0.601812626744191,0.826464701391118,"NS"
"o-Phosphoethanolamine",-0.109272805318233,0.603095863177302,0.826464701391118,"NS"
"UDP-Glucose",0.104270881131131,0.619881189382183,0.837065839676671,"NS"
"Glyceraldehyde",-0.104270881131131,0.619881189382184,0.837065839676671,"NS"
"Thiamine",0.0965756131509734,0.646067184394413,0.862469618636574,"NS"
"Glycerol-3-P",-0.095036559554942,0.651355147140178,0.862469618636574,"NS"
"Myristic Acid",-0.0946517961559341,0.652679711400651,0.862469618636574,"NS"
"N-AcetylGlycine",0.0915736889638712,0.663312747237359,0.870303959141215,"NS"
"Phenylalanine",-0.0884955817718083,0.67400944500989,0.878110896667815,"NS"
"Inosine",-0.0869565281757769,0.679381102001502,0.878919607484461,"NS"
"Glucosamine",-0.0854174745797454,0.684767992280243,0.879736656748923,"NS"
"Aminolevulinate",-0.0792612601956196,0.70646322565035,0.890726738109723,"NS"
"Pipecolate",-0.0777222065995882,0.711922770088852,0.890726738109723,"NS"
"betaAlanine",-0.0773374432005803,0.713289824262251,0.890726738109723,"NS"
"Dimethylarginine (A/SDMA)",0.0761831530035567,0.717396129612696,0.890726738109723,"NS"
"Adenosine",-0.0761831530035567,0.717396129612696,0.890726738109723,"NS"
"Riboflavin",-0.0731050458114938,0.728383320621741,0.892390161026637,"NS"
"Ribulose 5-Phosphate",-0.0731050458114938,0.728383320621741,0.892390161026637,"NS"
"Asparagine",0.0692574118214152,0.742190655524932,0.899091369225069,"NS"
"Anthranilic Acid",-0.0681031216243916,0.746348216871569,0.899091369225069,"NS"
"Spermidine",-0.0665640680283602,0.751902348590631,0.899091369225069,"NS"
"Citrulline",-0.0661793046293523,0.753292768810193,0.899091369225069,"NS"
"Sucrose",0.064255487634313,0.760255994731812,0.90158563477811,"NS"
"Succinylcarnitine",-0.0592535634472108,0.778444181989245,0.910639771785782,"NS"
"Cholesteryl Sulfate",0.0584840366491951,0.781252703797483,0.910639771785782,"NS"
"Histidine",-0.0580992732501872,0.782657966021294,0.910639771785782,"NS"
"1/3-Methylhistidine",-0.05579069285614,0.791103299212373,0.914713189714306,"NS"
"Ribose-5-P",-0.0480954248759828,0.819415073586172,0.937187073911244,"NS"
"Indole-2-Carboxylic Acid",0.0469411346789592,0.823681763904673,0.937187073911244,"NS"
