"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG"
"Tyrosine",-0.113793103448276,0.555216997519225,0.790116496469667,"NS"
"G1P/F1P/F6P",-0.111330049261084,0.563869181956025,0.79630380657912,"NS"
"Glutamic acid",-0.107881773399015,0.576085774444879,0.800425269268565,"NS"
"4-Guanidinobutanoate",-0.106403940886699,0.581357851951895,0.800425269268565,"NS"
"Ethanolamine",-0.105418719211823,0.584884543530742,0.800425269268565,"NS"
"Adenylosuccinate",-0.104433497536946,0.588420738489324,0.800425269268565,"NS"
"Cystine",-0.104433497536946,0.588420738489324,0.800425269268565,"NS"
"Erythrose-4-Phosphate",-0.0975369458128079,0.613434646354835,0.828360653836821,"NS"
"N-Ac-L-Glutamine",0.0960591133004926,0.618852723101825,0.829621404158243,"NS"
"Fructose",-0.0896551724137931,0.642558305587377,0.850942725108767,"NS"
"Arginine",-0.0881773399014778,0.648079889686106,0.850942725108767,"NS"
"1-Methyladenosine",-0.087192118226601,0.651771306875128,0.850942725108767,"NS"
"Sedoheptulose 7-Phosphate",0.0852216748768473,0.659178668105685,0.850942725108767,"NS"
"Proline",0.0832512315270936,0.666618222393822,0.850942725108767,"NS"
"Sorbitol",-0.0817733990147783,0.67221864283882,0.850942725108767,"NS"
"2-Hydroxyglutarate",-0.0812807881773399,0.67408935087293,0.850942725108767,"NS"
"o-Phosphoethanolamine",0.0812807881773399,0.67408935087293,0.850942725108767,"NS"
"Margaric Acid",-0.0798029556650246,0.679713040697746,0.850942725108767,"NS"
"2-Aminoadipate",0.0788177339901478,0.683471706090844,0.850942725108767,"NS"
"FAD",0.0783251231527093,0.685353870493007,0.850942725108767,"NS"
"UDP-Glucose",-0.0758620689655172,0.694792606746206,0.856910881653655,"NS"
"PEP",-0.0729064039408867,0.706179157772781,0.865186385350759,"NS"
"Xanthosine",0.0689655172413793,0.721459493402889,0.874671772890657,"NS"
"S-Methylcysteine",-0.0684729064039409,0.723377195958219,0.874671772890657,"NS"
"Neopterin",0.0665024630541872,0.731064569380229,0.878226917761964,"NS"
"Alanine",0.0640394088669951,0.740710246970013,0.88299501861468,"NS"
"Guanine",-0.0630541871921182,0.744579583264271,0.88299501861468,"NS"
"cAMP",0.0605911330049261,0.754279821055804,0.88880106302754,"NS"
"Lysine",-0.0571428571428571,0.767922537264907,0.889614461109753,"NS"
"Glycerophosphocholine",-0.0566502463054187,0.76987724444829,0.889614461109753,"NS"
"UMP",0.054679802955665,0.777709991610688,0.889614461109753,"NS"
"Biopterin",-0.0541871921182266,0.779671601252767,0.889614461109753,"NS"
"N-Ac-Phenylalanine",0.0532019704433497,0.783598848167947,0.889614461109753,"NS"
"Linolenic Acid",-0.0517241379310345,0.789499615762485,0.889614461109753,"NS"
"Glycine",-0.0507389162561576,0.793439924773564,0.889614461109753,"NS"
"Indole-3-Carboxylic Acid",-0.0507389162561576,0.793439924773564,0.889614461109753,"NS"
"Cytidine",0.045320197044335,0.815199634347547,0.905264651752428,"NS"
"Ribose-5-P",0.0448275862068965,0.817184847798138,0.905264651752428,"NS"
"Deoxyguanosine",-0.038423645320197,0.843090698294562,0.92840344752675,"NS"
"Guanosine",0.0300492610837438,0.877210723889557,0.960260259879101,"NS"
"Glucoronate",0.0246305418719212,0.899409561616178,0.967922845121244,"NS"
