"COMPOUND","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass"
"Aminolevulinate",0.1565987033962,0.454739028980182,0.643319652872703,"NS"
"7-Methylguanine",-0.155829176598184,0.456986267892064,0.643319652872703,"NS"
"Sorbitol",-0.155444413199176,0.458112066046826,0.643319652872703,"NS"
"Homoarginine",0.153905359603145,0.462629738980057,0.643319652872703,"NS"
"Fructose",-0.153520596204137,0.46376276768177,0.643319652872703,"NS"
"Xanthosine",0.151596779209098,0.469449476420621,0.643319652872703,"NS"
"Adenosine",-0.151596779209098,0.469449476420621,0.643319652872703,"NS"
"Margaric Acid",0.148903435416043,0.47747088780962,0.649500840035145,"NS"
"PEP",0.138130060243823,0.510242994955263,0.688814157536932,"NS"
"Guanosine",0.136975770046799,0.513818128324847,0.688814157536932,"NS"
"Agmatine",0.132743372657712,0.527030126476219,0.699442426816362,"NS"
"S-Methylcysteine",0.131973845859697,0.529449556545206,0.699442426816362,"NS"
"Acetylcarnitine",-0.130819555662673,0.533088552330309,0.699442426816362,"NS"
"2-Aminoisobutyric Acid",0.128895738667634,0.53917964285541,0.7024523516074,"NS"
"FAD",-0.122739524283508,0.558886818053076,0.721004305623407,"NS"
"Putrescine",-0.121969997485492,0.561372952313502,0.721004305623407,"NS"
"Cholesteryl Sulfate",-0.120815707288469,0.565111482785913,0.721004305623407,"NS"
"N6-Acetyl-Lysine",0.119276653692437,0.570113485945422,0.72240407465687,"NS"
"N-Ac-Alanine",0.11696807329839,0.577653181982885,0.726978494332203,"NS"
"D-Leucic Acid",-0.115429019702359,0.582703836511824,0.72837979563978,"NS"
"Dimethylarginine (A/SDMA)",0.113120439308311,0.590315632963187,0.73294222884691,"NS"
"Niacinamide",0.11158138571228,0.59541376115856,0.734343638762225,"NS"
"Glutamine",0.108118515121209,0.60695244325817,0.743617231806367,"NS"
"Pseudouridine",-0.105040407929146,0.61728648964044,0.751100241649908,"NS"
"2-Hydroxyglutarate",0.103886117732123,0.621180199851005,0.751100241649908,"NS"
"Inosine",-0.0942670327569262,0.654005298225839,0.78565571540117,"NS"
"Myristic Acid",0.0877260549737926,0.676693354948647,0.807666262358063,"NS"
"Cystathionine",-0.078106969998596,0.710556579367133,0.838385468016145,"NS"
"Phosphorylcholine",-0.0773374432005803,0.713289824262251,0.838385468016145,"NS"
"Guanine",-0.0765679164025646,0.716026507819194,0.838385468016145,"NS"
"4-Hydroxybenzoic Acid",0.0742593360085174,0.724256886301494,0.842688829973437,"NS"
"NADH",-0.0654097778313366,0.756075846181354,0.869786449562937,"NS"
"L-2-Aminobutyric Acid",0.0650250144323287,0.757468495360885,0.869786449562937,"NS"
"Neopterin",-0.0638707242353051,0.761650836914572,0.869786449562937,"NS"
"N2,N2-Dimethylguanosine",-0.0607926170432422,0.772835263372522,0.875814915489742,"NS"
"5-Methylcytidine",-0.0592535634472108,0.778444181989245,0.875814915489742,"NS"
"Deoxyguanosine",-0.0561754562551479,0.789694126183868,0.875814915489742,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.0561754562551479,0.789694126183869,0.875814915489742,"NS"
"DHAP/D-GA3P",-0.05579069285614,0.791103299212373,0.875814915489742,"NS"
"Oxidized Glutathione",0.0546364026591164,0.795334625958252,0.875814915489742,"NS"
"gamma-Aminobutyrate",-0.0515582954670535,0.8066453560628,0.883014147169337,"NS"
"Riboflavin",0.0469411346789592,0.823681763904673,0.893949832221752,"NS"
"DCDP",0.0430935006888806,0.837938579505142,0.893949832221752,"NS"
"N6-Trimethyllysine",0.0430935006888806,0.837938579505142,0.893949832221752,"NS"
"Succinate",-0.0430935006888806,0.837938579505142,0.893949832221752,"NS"
"iso-Leucine /allo-isoLeucine",-0.0423239738908648,0.840796058413972,0.893949832221752,"NS"
"UMP",0.0400153934968177,0.849380108795504,0.89791611501239,"NS"
"2-Aminoadipate",0.0346287059107076,0.8694728674991,0.913934548223486,"NS"
"Lactate",0.030781071920629,0.88387387834065,0.923822980186555,"NS"
"o-Phosphoethanolamine",0.025009620935511,0.905541317417665,0.941152492821731,"NS"
"Tyrosine",0.0230858039404717,0.912779164556674,0.943375114206618,"NS"
"Leucine /D-Norleucine",-0.0180838797533695,0.931627797536211,0.957506347467773,"NS"
"3HBA",-0.0161600627583302,0.938887355679382,0.959636247517601,"NS"
"UDP-Glucose",-0.00769526798015724,0.970878173274001,0.984431830200239,"NS"
"Lactose/Trehalose",0.00692574118214152,0.973789323927803,0.984431830200239,"NS"
"Pantothenate",0.00500192418710221,0.981068547017622,0.986400441294892,"NS"
"Phosphoserine",0.000384763399007862,0.998543607617193,0.998543607617193,"NS"
