"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"Ethanolamine",-0.154282589737725,0.256241843582668,0.389427714061404,"NS"
"Indole-2-Carboxylic Acid",-0.154009160247716,0.257095793418622,0.389427714061404,"NS"
"4-Hydroxybenzoic Acid",-0.153633194698953,0.258273105540496,0.389427714061404,"NS"
"Citraconic Acid",-0.153428122581446,0.258916804484069,0.389427714061404,"NS"
"Glycerol-3-P",-0.146831636134973,0.280199720556307,0.418039905668684,"NS"
"Trigonelline",-0.143311231451103,0.292017681535019,0.432186168671829,"NS"
"2-Aminoisobutyric Acid",0.142388406922322,0.295168648190919,0.433382539010476,"NS"
"6-Methyladenosine",-0.14054275786476,0.301536741845593,0.439246434971927,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.139654112022229,0.304634328459517,0.440291802851646,"NS"
"Homocitrulline",-0.138662930120946,0.30811345987983,0.44186814013774,"NS"
"Phosphoserine",0.137808462964667,0.311133133759645,0.442766382657956,"NS"
"Succinate",-0.136783102377132,0.314781698934772,0.444539040480404,"NS"
"Hypotaurine",0.130699296224426,0.336989212521792,0.472295487246451,"NS"
"Leucine /D-Norleucine",0.126016816208018,0.354731531246765,0.491923868505605,"NS"
"Oxidized Glutathione",0.125606671973004,0.35631242367433,0.491923868505605,"NS"
"Indole-3-Carboxylic Acid",-0.123043270504167,0.366290505874653,0.496439525209939,"NS"
"7-Methylguanine",-0.123009091817916,0.366424680700189,0.496439525209939,"NS"
"Asparagine",0.122701483641655,0.367633594344657,0.496439525209939,"NS"
"Fructose",-0.121231800132856,0.373442772897403,0.500629804246518,"NS"
"N-Ac-Phenylalanine",0.119522865820298,0.380266630250778,0.506110263283409,"NS"
"Sarcosine",0.116788570920205,0.39133844217217,0.517125798584653,"NS"
"Acetylcarnitine",-0.114840385803889,0.399341863387363,0.523959182458597,"NS"
"Inosine",-0.113063094118829,0.406726033565201,0.529889550771565,"NS"
"Putrescine",-0.109166723886197,0.423188721609975,0.547481912572345,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.103253811164747,0.448881603373945,0.576688171001249,"NS"
"N6-Trimethyllysine",-0.099835942539631,0.464116505665846,0.592148645159872,"NS"
"Sorbitol",-0.0970674689532872,0.476658949167123,0.599876908815767,"NS"
"FAD",0.0970674689532872,0.476658949167123,0.599876908815767,"NS"
"Cystathionine",0.0927267757993902,0.496681920185718,0.620852400232147,"NS"
"N2,N2-Dimethylguanosine",0.0902317317030557,0.508385263226113,0.631216601992153,"NS"
"iso-Leucine /allo-isoLeucine",-0.0873265433717073,0.522187372755733,0.644031093065404,"NS"
"gamma-Aminobutyrate",-0.0856176090591495,0.530392784312282,0.649818974157431,"NS"
"UMP",0.0825073486102941,0.545488076691465,0.663916409131059,"NS"
"Pseudouridine",-0.0801831979452154,0.556901646602124,0.673377807982961,"NS"
"Alanine",-0.07943126684769,0.560618328152066,0.673470069533326,"NS"
"Cytidine",0.0751589310662953,0.581954427500784,0.694590768307388,"NS"
"5-Methylcytidine",0.0738259623025001,0.588685928090645,0.698121132671598,"NS"
"N-Ac-Arginine",-0.0729031377737189,0.593366566575558,0.698225250034447,"NS"
"2-Aminoadipate",0.0723221001074492,0.596322105434825,0.698225250034447,"NS"
"Linolenic Acid",-0.0662382939547432,0.627651188304163,0.73028597381302,"NS"
"Ornithine",-0.0637090711721575,0.640874469333229,0.741011105166546,"NS"
"Myristic Acid",0.0609405975858138,0.655476539818322,0.744883846773948,"NS"
"Margaric Acid",0.0596759861945209,0.662189879924798,0.744883846773948,"NS"
"Pipecolate",0.0593000206457582,0.664190867234173,0.744883846773948,"NS"
"Glutamine",0.0590949485282513,0.665283297422505,0.744883846773948,"NS"
"N6-Acetyl-Lysine",0.0589240550969955,0.66619418388351,0.744883846773948,"NS"
"Deoxyguanosine",-0.0585139108619816,0.668382262510677,0.744883846773948,"NS"
"DHAP/D-GA3P",-0.0575910863332003,0.673315439533939,0.745888361160352,"NS"
"Pyroglutamic Acid",-0.0555745438443821,0.684142761630029,0.753371493461639,"NS"
"Ribulose 5-Phosphate",0.0454918314002906,0.739191694584927,0.809174340226103,"NS"
"Niacinamide",0.0397498121100961,0.771153587556048,0.837604603636577,"NS"
"3HBA",-0.0392029531300776,0.774218309307323,0.837604603636577,"NS"
"betaAlanine",0.0362635861124781,0.790748740293004,0.850514633454685,"NS"
"NADH",0.0338027207023947,0.804659214416207,0.860473726398834,"NS"
"Guanine",-0.0320596077035857,0.81454923638117,0.866043728336301,"NS"
"Phosphorylcholine",-0.0252238704533542,0.853597587016274,0.902374591988633,"NS"
