"COMPOUND","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG"
"Ribulose 5-Phosphate",0.0776660283444842,0.532164772347806,0.796588841655279,"NS"
"1-Methyladenosine",-0.0766483080347286,0.537568194900081,0.796588841655279,"NS"
"o-Phosphoethanolamine",-0.0761693808301377,0.540120261496127,0.796588841655279,"NS"
"Pipecolate",0.07604964902899,0.540759201929907,0.796588841655279,"NS"
"N2,N2-Dimethylguanosine",0.0756704983253556,0.54278494435304,0.796588841655279,"NS"
"DCDP",-0.074932152218278,0.546740378297522,0.796588841655279,"NS"
"N-AcetylGlycine",0.0749121969180867,0.546847475082272,0.796588841655279,"NS"
"Orotate",-0.0724377396943673,0.560205519837287,0.806661618710279,"NS"
"NAD",0.0720186783903503,0.56248296656014,0.806661618710279,"NS"
"Betaine",0.0704022990748562,0.571308061846703,0.808508572489659,"NS"
"N-Ac-L-Glutamine",-0.070182790772752,0.57251147565484,0.808508572489659,"NS"
"Maleic Acid",0.0665908367383206,0.592368642137327,0.823685999052541,"NS"
"Biopterin",-0.0663314178358339,0.593814638698615,0.823685999052541,"NS"
"FAD",0.0656928482297127,0.597380717083297,0.823685999052541,"NS"
"3-Hydroxypropionic Acid",0.0650343233234003,0.601068161470773,0.823685999052541,"NS"
"ADP",0.0637372288109667,0.608360499315663,0.827549208627923,"NS"
"Threonine",-0.0589878673654407,0.635383488317035,0.857999601012055,"NS"
"Pyridoxamine",0.0571320244476511,0.646075784986222,0.866116088568486,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.0551165391283313,0.657769226265482,0.870116449607392,"NS"
"Anthranilic Acid",0.0549968073271836,0.658466502405594,0.870116449607392,"NS"
"Phosphotyrosine",-0.0534003833118807,0.667791044687309,0.87013322860426,"NS"
"Niacinamide",0.0532207856101591,0.668843230003287,0.87013322860426,"NS"
"Ribose-5-P",-0.052582216004038,0.672589468596806,0.87013322860426,"NS"
"Agmatine",0.0506465518854833,0.683993525058782,0.878741681499129,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.0481521393615725,0.698793601450377,0.891489230976622,"NS"
"Hydrocinnamic Acid",-0.0473539273539211,0.703553663365334,0.891489230976622,"NS"
"Cholecalciferol",-0.046016922241105,0.711552165087856,0.895490820008527,"NS"
"Argininosuccinate",-0.042943806011647,0.730053483170091,0.911688697373292,"NS"
