"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG"
"Acetylcarnitine",-0.161083743842365,0.402199445049558,0.609892601099739,"NS"
"Glyceraldehyde",0.158620689655172,0.409513998813935,0.613164526068256,"NS"
"o-Phosphoethanolamine",0.158128078817734,0.410985952607912,0.613164526068256,"NS"
"Deoxycarnitine",-0.154187192118227,0.422869494997738,0.61769047789796,"NS"
"Lactose/Trehalose",-0.154187192118227,0.422869494997738,0.61769047789796,"NS"
"Arginine",-0.15320197044335,0.425870217827837,0.61769047789796,"NS"
"Acetylcholine",0.152709359605911,0.427375033356427,0.61769047789796,"NS"
"Xanthine",-0.148275862068965,0.441051254468035,0.632515364934778,"NS"
"Glutamic acid",-0.144827586206897,0.451852304699748,0.643020587457334,"NS"
"Aminolevulinate",0.139901477832512,0.467527881940458,0.655247410295338,"NS"
"Guanine",0.139901477832512,0.467527881940458,0.655247410295338,"NS"
"Reduced Glutathione",0.134975369458128,0.483487774149444,0.67252058810261,"NS"
"Leucine /D-Norleucine",0.131527093596059,0.494825982410684,0.677549302264051,"NS"
"Ribose-5-P",0.131527093596059,0.494825982410684,0.677549302264051,"NS"
"Lysine",-0.130541871921182,0.4980902978806,0.677549302264051,"NS"
"Glycerophosphocholine",0.127586206896552,0.507948734835404,0.680449360802432,"NS"
"Sarcosine",-0.126600985221675,0.51125654676507,0.680449360802432,"NS"
"gamma-Aminobutyrate",0.126600985221675,0.51125654676507,0.680449360802432,"NS"
"Cystine",-0.124630541871921,0.51790436789461,0.681709246688397,"NS"
"UMP",-0.124137931034483,0.519572993421968,0.681709246688397,"NS"
"N-Ac-L-Glutamine",0.118226600985222,0.539801680457803,0.703262752709109,"NS"
"Allantoin",0.114778325123153,0.551773627205334,0.713833014216691,"NS"
"S-Methylcysteine",0.112315270935961,0.560400844167811,0.719959417854479,"NS"
"Cystathionine",0.10935960591133,0.57083543983143,0.728307285302169,"NS"
"Palmitic Acid",0.101970443349754,0.597302373991965,0.754347479640924,"NS"
"Adenylosuccinate",-0.100985221674877,0.600871313540664,0.754347479640924,"NS"
"Linolenic Acid",0.0995073891625616,0.606241961568285,0.754347479640924,"NS"
"G1P/F1P/F6P",0.0990147783251231,0.608036740567188,0.754347479640924,"NS"
"Valine",0.0980295566502463,0.611633091600749,0.754347479640924,"NS"
"Erythrose-4-Phosphate",0.093103448275862,0.629748439333966,0.771546101170753,"NS"
"N6-Trimethyllysine",0.0857142857142857,0.657323785713767,0.800032239191098,"NS"
"Glucose",-0.0812807881773399,0.67408935087293,0.812032264466017,"NS"
"Anthranilic Acid",-0.0807881773399015,0.675961993123062,0.812032264466017,"NS"
"4-Hydroxybenzoic Acid",0.0793103448275862,0.681591426154216,0.813512347345354,"NS"
"Tyrosine",0.0763546798029557,0.692901171349057,0.821709722433177,"NS"
"Citrulline",0.0699507389162561,0.717629131921412,0.845613945257715,"NS"
"Fructose",-0.0679802955665025,0.725296565529174,0.849239649512007,"NS"
"Glycine",-0.0660098522167488,0.732990499916689,0.852850581664072,"NS"
"FAD",-0.0645320197044335,0.738777928169132,0.853348851517994,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.0635467980295566,0.742644135645389,0.853348851517994,"NS"
"Neopterin",0.0571428571428571,0.767922537264906,0.855635462078216,"NS"
"Histidine",0.0566502463054187,0.76987724444829,0.855635462078216,"NS"
"G6P",0.0556650246305419,0.77379085701008,0.855635462078216,"NS"
"N-Ac-Arginine",0.0551724137931034,0.775749739734137,0.855635462078216,"NS"
"3HBA",-0.0551724137931034,0.775749739734138,0.855635462078216,"NS"
"Ethanolamine",-0.054679802955665,0.777709991610688,0.855635462078216,"NS"
"Indole-2-Carboxylic Acid",0.0536945812807882,0.78163455724983,0.855635462078216,"NS"
"Linoleic Acid",-0.0536945812807882,0.78163455724983,0.855635462078216,"NS"
"N-Ac-Phenylalanine",0.0497536945812808,0.79738529711055,0.867742823326187,"NS"
"PEP",0.0463054187192118,0.811232630704765,0.87599230934748,"NS"
"NADH",-0.0448275862068965,0.817184847798138,0.87599230934748,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0443349753694581,0.819171186578995,0.87599230934748,"NS"
"2-isoPropylmalic Acid",0.0428571428571429,0.825136836390498,0.877300659380702,"NS"
"Niacinamide",0.0354679802955665,0.855104125521125,0.903967218408047,"NS"
"Biopterin",-0.0334975369458128,0.863131182689008,0.907268572712878,"NS"
"Orotate",-0.0275862068965517,0.887290657624249,0.927394190172238,"NS"
"Nicotinic Acid",0.0226600985221675,0.907501517694866,0.941036099423431,"NS"
"iso-Leucine /allo-isoLeucine",0.0211822660098522,0.913576577575341,0.941036099423431,"NS"
"UDP-Glucose",0.0206896551724138,0.915602691330906,0.941036099423431,"NS"
"Taurine",-0.0152709359605911,0.937921893511984,0.958649449169708,"NS"
"Riboflavin",-0.0123152709359606,0.950116836825366,0.965778103366443,"NS"
"Indole-3-Carboxylic Acid",-0.00640394088669951,0.974537630399399,0.983929120031297,"NS"
"Oxidized Glutathione",0.00541871921182266,0.978610584247344,0.983929120031297,"NS"
"Glucoronate",-0.00246305418719212,0.990832247717226,0.990832247717226,"NS"
