"COMPOUND","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG"
"Indole-3-Carboxylic Acid",0.102939166097061,0.449204648160208,0.733396568657352,"NS"
"S-Adenosylmethionine (SAM)",-0.102323991797676,0.45193085852399,0.733396568657352,"NS"
"Glucoronate",-0.0980177717019822,0.471268614112986,0.758127770529587,"NS"
"Glutaric Acid",0.096308954203691,0.479064340055665,0.763450134587151,"NS"
"GMP",-0.0954887218045113,0.48283062565782,0.763450134587151,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.0919343814080656,0.499331572911891,0.781756125126762,"NS"
"N-Ac-Arginine",0.0911825017088175,0.502859345351809,0.781756125126762,"NS"
"Thiamine",-0.0889268626110731,0.513519537512297,0.79167595366479,"NS"
"Anthranilic Acid",0.0866712235133288,0.524293729074777,0.801606114701106,"NS"
"N-Ac-Alanine",0.0846206425153793,0.534185900326978,0.810035996397466,"NS"
"Phosphorylcholine",0.0816814764183185,0.548523703773736,0.825015326814156,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0793574846206425,0.559990716034327,0.835470019889923,"NS"
"Phosphoserine",-0.0684894053315106,0.615072017575118,0.910306586011175,"NS"
"Cadaverine",0.06473000683527,0.634653683905845,0.918916573906223,"NS"
"Creatine",0.0643882433356118,0.636446583796346,0.918916573906223,"NS"
"4-Pyridoxic Acid",-0.0639097744360902,0.638960148498254,0.918916573906223,"NS"
"cAMP",0.063568010936432,0.640758043426501,0.918916573906223,"NS"
"Agmatine",-0.0618591934381408,0.649778336284757,0.919159352583019,"NS"
"Lactate",0.0616541353383459,0.650864190207435,0.919159352583019,"NS"
"Urate",0.0604237867395762,0.657394490100694,0.9213483383987,"NS"
"Arabitol/Xylitol",0.0560492139439508,0.680818586433767,0.938331380836341,"NS"
"3-Hydroxyisovaleric Acid",0.0551606288448394,0.685614573301111,0.938331380836341,"NS"
"N-AcetylGlycine",-0.0547505126452495,0.687832309934438,0.938331380836341,"NS"
"Kynurenic Acid",-0.054066985645933,0.691534378712476,0.938331380836341,"NS"
"6-Methyladenosine",-0.0534518113465482,0.694872427970696,0.938331380836341,"NS"
"IMP",-0.0514695830485304,0.70566754879887,0.946003598027471,"NS"
"Alpha-Ketoglutaric Acid",0.0492822966507177,0.71764701056717,0.955141704711701,"NS"
"Sorbitol",-0.048257006151743,0.723286083403501,0.955770895926055,"NS"
"Adenosine",0.0454545454545455,0.738773987167772,0.956938905505915,"NS"
"2-Aminoadipate",0.0428571428571429,0.753222053717777,0.956938905505915,"NS"
"Oxalacetate",0.0423103212576897,0.756274755600123,0.956938905505915,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.0421736158578264,0.757038515490639,0.956938905505915,"NS"
"Phenylacetic Acid",0.0399863294600137,0.769289812350515,0.956938905505915,"NS"
"Glutamic acid",0.037593984962406,0.7827544465927,0.956938905505915,"NS"
"L-2-Aminobutyric Acid",-0.0362952836637047,0.79009087553052,0.956938905505915,"NS"
"Deoxycarnitine",0.0360218728639781,0.791637734436647,0.956938905505915,"NS"
"DCDP",0.0353383458646617,0.795508385595618,0.956938905505915,"NS"
"Pipecolate",-0.0351332877648667,0.796670547167406,0.956938905505915,"NS"
"Carnosine",-0.0347915242652085,0.798608463388106,0.956938905505915,"NS"
"3-(4-Hydroxyphenyl)Propionate",0.0347231715652768,0.798996192866072,0.956938905505915,"NS"
"Deoxyguanosine",0.0345864661654135,0.799771797338335,0.956938905505915,"NS"
"4-Hydroxybenzoic Acid",0.0341763499658237,0.802099768419687,0.956938905505915,"NS"
"L-Kynurenine",-0.0333561175666439,0.80676085528415,0.956938905505915,"NS"
"Dimethylarginine (A/SDMA)",-0.0313055365686945,0.81844267197444,0.956938905505915,"NS"
"Suberic Acid",0.0305536568694463,0.822736058497432,0.956938905505915,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.0302802460697198,0.824298586387325,0.956938905505915,"NS"
"Cystine",0.0301435406698565,0.825080106500042,0.956938905505915,"NS"
"Uracil",-0.0277511961722488,0.838783538376279,0.956938905505915,"NS"
"Linolenic Acid",0.0275461380724539,0.839960409883167,0.956938905505915,"NS"
"Guanosine",-0.026930963773069,0.84349311695196,0.956938905505915,"NS"
"Azelaic Acid",0.0252221462747779,0.853322172470477,0.956938905505915,"NS"
"Ornithine",0.0240601503759399,0.860018785576628,0.956938905505915,"NS"
"Xanthine",0.0239917976760082,0.860413015960248,0.956938905505915,"NS"
"Methionine",0.0231715652768284,0.865146410721161,0.956938905505915,"NS"
"FAD",-0.0223513328776487,0.869884547709153,0.956938905505915,"NS"
"Uridine",-0.0215994531784005,0.87423186602737,0.956938905505915,"NS"
"Succinate",0.0209159261790841,0.878187205662505,0.956938905505915,"NS"
"1-Methylnicotinamide",0.0200956937799043,0.882937538095008,0.956938905505915,"NS"
"Oxidized Glutathione",-0.0198222829801777,0.884521907251413,0.956938905505915,"NS"
"Cholesteryl Sulfate",0.0142857142857143,0.916694210739974,0.981131457590031,"NS"
"iso-Leucine /allo-isoLeucine",0.014149008885851,0.917490498178786,0.981131457590031,"NS"
"UDP-Glucose",-0.0113465481886535,0.933831138837237,0.987036331703482,"NS"
"Nicotinic Acid",0.010457963089542,0.939018347998987,0.987036331703482,"NS"
"cGMP",-0.010457963089542,0.939018347998988,0.987036331703482,"NS"
"Phenylalanine",0.00854408749145591,0.950199127402809,0.992375295892611,"NS"
"Guanine",0.00758714969241285,0.955793255152594,0.992375295892611,"NS"
"Acetylcholine",-0.00683526999316473,0.960190151160959,0.992375295892611,"NS"
"Aspartic Acid",-0.00300751879699248,0.982589970154447,0.99859908483962,"NS"
"Glycine",-0.00300751879699248,0.982589970154447,0.99859908483962,"NS"
"Xanthosine",-0.00232399179767601,0.986591851867625,0.99859908483962,"NS"
"3-Hydroxypropionic Acid",0.00170881749829118,0.990193830692571,0.99859908483962,"NS"
"Glutamine",-0.000341763499658237,0.998198823957031,0.99859908483962,"NS"
"N-Acetyl-Aspartate (NAA)",-0.000273410799726589,0.99859908483962,0.99859908483962,"NS"
