"COMPOUND","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"o-Phosphoethanolamine",-0.0434188034188034,0.833256795926601,0.97833756871677,"NS"
"Glycine",0.042051282051282,0.838479494977397,0.97833756871677,"NS"
"Oxalacetate",-0.0413675213675214,0.8410934067996,0.97833756871677,"NS"
"Acetylcholine",-0.0372649572649573,0.85681105560539,0.97833756871677,"NS"
"Palmitic Acid",-0.0372649572649573,0.85681105560539,0.97833756871677,"NS"
"N6-Trimethyllysine",0.0352136752136752,0.864690634826784,0.97833756871677,"NS"
"Arabitol/Xylitol",0.0304273504273504,0.883125045900916,0.97833756871677,"NS"
"Deoxycarnitine",0.0304273504273504,0.883125045900916,0.97833756871677,"NS"
"Methionine",0.0290598290598291,0.888403563099957,0.97833756871677,"NS"
"Homoarginine",-0.0256410256410256,0.901620047788956,0.97833756871677,"NS"
"Lactate",-0.0242735042735043,0.906914136239609,0.97833756871677,"NS"
"Phenylacetic Acid",-0.0242735042735043,0.906914136239609,0.97833756871677,"NS"
"Citraconic Acid",-0.0222222222222222,0.914862603441187,0.97833756871677,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.0222222222222222,0.914862603441188,0.97833756871677,"NS"
"Alanine",-0.0215384615384615,0.917513936793498,0.97833756871677,"NS"
"Biopterin",-0.0208547008547009,0.920166145711989,0.97833756871677,"NS"
"Neopterin",-0.0208547008547009,0.920166145711989,0.97833756871677,"NS"
"Xanthurenic Acid",0.0208547008547009,0.920166145711989,0.97833756871677,"NS"
"Urate",-0.0167521367521367,0.936096217190601,0.986740667555114,"NS"
"Fructose",-0.0147008547008547,0.944070800850027,0.986740667555114,"NS"
"Glycerophosphocholine",0.0147008547008547,0.944070800850028,0.986740667555114,"NS"
"2-Hydroxyglutarate",0.0105982905982906,0.960035262047311,0.994811461207002,"NS"
"S-Methylcysteine",-0.00991452991452991,0.962697658732127,0.994811461207002,"NS"
"2-Aminoisobutyric Acid",0.00854700854700855,0.968023614595605,0.994811461207002,"NS"
"N-AcetylGlycine",0.00717948717948718,0.973350931712832,0.994811461207002,"NS"
"Adenosine",-0.00581196581196581,0.978679383457699,0.994811461207002,"NS"
"Maleic Acid",-0.00307692307692308,0.98933878367277,0.997395314451816,"NS"
"3-Hydroxyisovaleric Acid",-0.00239316239316239,0.992003988427752,0.997395314451816,"NS"
"Kynurenic Acid",-0.000341880341880342,1,1,"NS"
