"COMPOUND","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG"
"Oxidized Glutathione",0.0394088669950739,0.839093852930346,0.988372320768644,"NS"
"Citraconic Acid",0.0379310344827586,0.845090581900955,0.988372320768644,"NS"
"Alanine",0.0369458128078818,0.849093210568081,0.988372320768644,"NS"
"S-Methylcysteine",0.0369458128078818,0.849093210568081,0.988372320768644,"NS"
"Aminolevulinate",0.0330049261083744,0.865140098539501,0.988372320768644,"NS"
"Pantothenate",-0.0305418719211823,0.875196975087724,0.988372320768644,"NS"
"Pyridoxamine",0.0305418719211823,0.875196975087725,0.988372320768644,"NS"
"Argininosuccinate",-0.0295566502463054,0.879225235134494,0.988372320768644,"NS"
"N-AcetylGlycine",-0.0295566502463054,0.879225235134494,0.988372320768644,"NS"
"Oxalacetate",-0.0295566502463054,0.879225235134494,0.988372320768644,"NS"
"Fructose",0.0280788177339901,0.88527322010004,0.988372320768644,"NS"
"Choline",0.0261083743842364,0.8933471243763,0.988372320768644,"NS"
"Niacinamide",0.0251231527093596,0.89738810654177,0.988372320768644,"NS"
"Anthranilic Acid",0.0246305418719212,0.899409561616178,0.988372320768644,"NS"
"o-Phosphoethanolamine",0.0241379310344828,0.901431642743852,0.988372320768644,"NS"
"6-Methyladenosine",0.0236453201970443,0.903454337455028,0.988372320768644,"NS"
"Tyrosine",0.0216748768472906,0.911551002364766,0.988372320768644,"NS"
"7-Methylguanine",-0.0211822660098522,0.913576577575341,0.988372320768644,"NS"
"L-2-Aminobutyric Acid",-0.0211822660098522,0.913576577575341,0.988372320768644,"NS"
"Urate",0.0211822660098522,0.913576577575341,0.988372320768644,"NS"
"Guanosine",0.0187192118226601,0.92371228084435,0.992291429296534,"NS"
"2-Hydroxyglutarate",-0.0172413793103448,0.929799512289247,0.992291429296534,"NS"
"Biopterin",0.0157635467980296,0.935890685406112,0.992291429296534,"NS"
"Pseudouridine",0.0142857142857143,0.941985459548083,0.992291429296534,"NS"
"ADP",-0.0137931034482759,0.944017792195622,0.992291429296534,"NS"
"Cadaverine",-0.0113300492610837,0.954184445505196,0.996811783524319,"NS"
"Ergocalciferol",-0.00985221674876847,0.960287973374678,0.996811783524319,"NS"
"Pipecolate",-0.00541871921182266,0.978610584247343,0.996811783524319,"NS"
"5,6-Dihydrouracil",0.00541871921182266,0.978610584247344,0.996811783524319,"NS"
"Glycerophosphocholine",0.00541871921182266,0.978610584247344,0.996811783524319,"NS"
"5'-Methylthioadenosine",-0.00492610837438424,0.980647268115817,0.996811783524319,"NS"
"N-Ac-Phenylalanine",-0.00147783251231527,0.994906729975292,0.998981339625341,"NS"
"S-Adenosylmethionine (SAM)",0.00147783251231527,0.994906729975292,0.998981339625341,"NS"
"SAH",-0.000492610837438423,0.998981339625341,0.998981339625341,"NS"
