"COMPOUND","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG"
"Xanthine",0.0639316239316239,0.75587544172499,0.99733462496961,"NS"
"UDP-GlcNAc",-0.0618803418803419,0.763522504992237,0.99733462496961,"NS"
"Glutamic acid",0.0591452991452991,0.773752809823723,0.99733462496961,"NS"
"Leucine /D-Norleucine",0.0591452991452991,0.773752809823723,0.99733462496961,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.052991452991453,0.796906099424203,0.99733462496961,"NS"
"Sorbitol",0.052991452991453,0.796906099424203,0.99733462496961,"NS"
"Deoxyguanosine",0.0502564102564102,0.807252721405815,0.99733462496961,"NS"
"N-Acetyl-Aspartate (NAA)",-0.0495726495726496,0.809844485265979,0.99733462496961,"NS"
"AMP",-0.0488888888888889,0.812438240184526,0.99733462496961,"NS"
"Azelaic Acid",-0.0488888888888889,0.812438240184526,0.99733462496961,"NS"
"FAD",-0.0488888888888889,0.812438240184526,0.99733462496961,"NS"
"1-Methyladenosine",-0.0434188034188034,0.833256795926601,0.99733462496961,"NS"
"Biopterin",0.0393162393162393,0.848945069172674,0.99733462496961,"NS"
"Guanine",0.0393162393162393,0.848945069172674,0.99733462496961,"NS"
"IMP",0.0393162393162393,0.848945069172674,0.99733462496961,"NS"
"Xanthosine",-0.0379487179487179,0.854187513629101,0.99733462496961,"NS"
"1/3-Methylhistidine",0.0379487179487179,0.854187513629102,0.99733462496961,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.0338461538461538,0.869950876415985,0.99733462496961,"NS"
"6-Methyladenosine",-0.0297435897435897,0.885763699943415,0.99733462496961,"NS"
"Riboflavin",-0.0283760683760684,0.891044607753753,0.99733462496961,"NS"
"GMP",-0.0276923076923077,0.893686806252763,0.99733462496961,"NS"
"Guanosine",-0.0276923076923077,0.893686806252763,0.99733462496961,"NS"
"iso-Leucine /allo-isoLeucine",0.027008547008547,0.896330130910502,0.99733462496961,"NS"
"Arabitol/Xylitol",-0.0256410256410256,0.901620047788956,0.99733462496961,"NS"
"Suberic Acid",-0.024957264957265,0.904266584471882,0.99733462496961,"NS"
"cAMP",-0.0242735042735043,0.906914136239609,0.99733462496961,"NS"
"gamma-Aminobutyrate",-0.0242735042735043,0.906914136239609,0.99733462496961,"NS"
"Phosphoserine",0.0215384615384615,0.917513936793499,0.99733462496961,"NS"
"Urate",-0.0188034188034188,0.928127745882525,0.99733462496961,"NS"
"Linolenic Acid",-0.0181196581196581,0.930783176960286,0.99733462496961,"NS"
"Sedoheptulose 7-Phosphate",-0.0181196581196581,0.930783176960286,0.99733462496961,"NS"
"N2,N2-Dimethylguanosine",0.0174358974358974,0.933439343430987,0.99733462496961,"NS"
"Creatine",0.0153846153846154,0.941411974055409,0.99733462496961,"NS"
"Dimethylarginine (A/SDMA)",0.011965811965812,0.954711772623924,0.99733462496961,"NS"
