"COMPOUND","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass"
"Glutaric Acid",0.0956470912337045,0.495693163169221,0.748283696720698,"NS"
"3-Hydroxyisovaleric Acid",0.0954857976565819,0.496423613142742,0.748283696720698,"NS"
"cGMP",0.0943970660110043,0.50136868020532,0.748283696720698,"NS"
"Erythrose-4-Phosphate",0.0943567426167237,0.501552315639819,0.748283696720698,"NS"
"Dimethylglycine",0.0907276371314651,0.518219918582307,0.765269741942222,"NS"
"Hydrocinnamic Acid",0.0899614926401327,0.521773804289569,0.765269741942222,"NS"
"G1P/F1P/F6P",0.089114701360239,0.525715882489433,0.765269741942222,"NS"
"4-Pyridoxic Acid",0.088308233474626,0.529483929560024,0.765269741942222,"NS"
"Succinate",0.0858888298177869,0.540867417052342,0.775662574842506,"NS"
"Uridine",-0.0826226348810542,0.5564208976165,0.791802163981699,"NS"
"Phenylalanine",-0.0817355202068799,0.560681532332987,0.791802163981699,"NS"
"iso-Leucine /allo-isoLeucine",-0.0774612404131308,0.581421978150771,0.814871711802218,"NS"
"N-Ac-L-Glutamine",-0.0762515385847113,0.587354463753951,0.81699681048482,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.071090144116788,0.61296625051694,0.846259375713686,"NS"
"N2,N2-Dimethylguanosine",0.0694368849512813,0.621270015206992,0.851370020839211,"NS"
"5'-Methylthioadenosine",0.0677029789972133,0.630029394296687,0.857025279006522,"NS"
"Choline",-0.0641948436947966,0.64790604025999,0.874909616409475,"NS"
"UDP-GlcNAc",-0.0625415845292899,0.65640025500162,0.878884880113204,"NS"
"1/3-Methylhistidine",0.0617754400379575,0.660351342355326,0.878884880113204,"NS"
"NADH",0.0600012106896089,0.669536426251859,0.879476102424857,"NS"
"Pipecolate",-0.0589124790440313,0.675196672406941,0.879476102424857,"NS"
"Linoleic Acid",-0.0575818070327698,0.682139003804479,0.879476102424857,"NS"
"2-isoPropylmalic Acid",-0.0572592198785246,0.683825958442501,0.879476102424857,"NS"
"Aminolevulinate",0.0570172795128407,0.685092180557714,0.879476102424857,"NS"
"2'-Deoxycytidine",0.0562108116272277,0.689319107305969,0.879476102424857,"NS"
"N-AcetylGlycine",-0.054436582278879,0.698651374974604,0.885277427193847,"NS"
"Threonine",-0.0506058598222172,0.718950361997762,0.904412351151842,"NS"
"Azelaic Acid",0.0496784217537622,0.723894549767883,0.904412351151842,"NS"
"Anthranilic Acid",0.0488316304738685,0.728418596333105,0.904412351151842,"NS"
"Dimethylarginine (A/SDMA)",0.0479041924054136,0.733384052638947,0.904506998254702,"NS"
"Sarcosine",0.0466138437884327,0.740310515946314,0.907002950000451,"NS"
"Ergocalciferol",0.0454041419600132,0.746822692800598,0.90896183005336,"NS"
"Taurine",0.0444363804972776,0.752045116798649,0.909335598743465,"NS"
"Neopterin",-0.0423798873889644,0.76317914501555,0.91250861953551,"NS"
"UDP-Glucose",-0.0407266282234577,0.772164744281456,0.91250861953551,"NS"
"Biopterin",0.0390330456636703,0.781400335970617,0.91250861953551,"NS"
"Pyruvate",0.0382265777780573,0.785808858672382,0.91250861953551,"NS"
"Agmatine",0.0372588163153217,0.791107884406442,0.91250861953551,"NS"
"Cholesteryl Sulfate",-0.0364926718239893,0.795309612632983,0.91250861953551,"NS"
"Glucoronate",0.0358474975154989,0.798852388425426,0.91250861953551,"NS"
"Adenosine",0.0356458805440956,0.799960333953974,0.91250861953551,"NS"
