"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"Biopterin",-0.0334975369458128,0.863131182689008,0.907268572712878,"NS",-0.323816041662048,0.106578775941692,0.303339593064815,"NS",0.0393162393162393,0.848945069172674,0.99733462496961,"NS",0.0157635467980296,0.935890685406112,0.992291429296534,"NS",0.0841313318694744,0.682822230450999,0.892058589618196,"NS",-0.0208547008547009,0.920166145711989,0.97833756871677,"NS"
"Cadaverine",-0.441871921182266,0.0172296671194157,0.109913393692824,"NS",-0.434262273401056,0.0266426937915809,0.160010822464776,"NS",-0.175384615384615,0.389761315056113,0.943794608524953,"NS",-0.0113300492610837,0.954184445505196,0.996811783524319,"NS",0.155608764230125,0.447810049018069,0.842044129075084,"NS",-0.0591452991452991,0.773752809823723,0.954295132115925,"NS"
"cAMP",0.246305418719212,0.197015529854967,0.391912613152353,"NS",0.408958802352491,0.0380384444342467,0.171580673099769,"NS",-0.0242735042735043,0.906914136239609,0.99733462496961,"NS",-0.257142857142857,0.177543261386428,0.988372320768644,"NS",0.0287277718578693,0.889207056180571,0.95228824206608,"NS",-0.349059829059829,0.0810884707068779,0.711920682295963,"NS"
"Carnitine",0.401970443349754,0.0315212546979963,0.149523900490495,"NS",0.332022572812934,0.0974953598756402,0.290913573822475,"NS",0.222564102564103,0.273186200790921,0.941650479255857,"NS",0.0487684729064039,0.80133563994803,0.988372320768644,"NS",0.111491114591255,0.587659044317593,0.86961518467887,"NS",-0.29025641025641,0.150080576267798,0.711920682295963,"NS"
"Carnosine",0.466502463054187,0.0114846636618082,0.0923766424971528,"NS",0.449649519308968,0.0211856084969655,0.142175690944124,"NS",0.121367521367521,0.553266682378762,0.943794608524953,"NS",0.130541871921182,0.4980902978806,0.988372320768644,"NS",0.41586869737106,0.0345994246205833,0.29790377550821,"NS",-0.256752136752137,0.204676744280287,0.743723832174485,"NS"
"cGMP",0.349753694581281,0.0635448728081572,0.235116029390181,"NS",0.45170115209669,0.0205324419649264,0.142175690944124,"NS",-0.00307692307692308,0.98933878367277,0.99733462496961,"NS",-0.1935960591133,0.312863497117619,0.988372320768644,"NS",0.185704525224084,0.363731974553523,0.83448258649606,"NS",-0.45025641025641,0.0219970670085235,0.711920682295963,"NS"
"Cholecalciferol",-0.467487684729064,0.0112935698607697,0.0923766424971528,"NS",-0.448623702915107,0.0215184829537052,0.142175690944124,"NS",0.124786324786325,0.542050783421673,0.943794608524953,"NS",-0.0586206896551724,0.76206694752004,0.988372320768644,"NS",0.13508892718879,0.510557053468298,0.842044129075084,"NS",-0.147350427350427,0.470855553435909,0.917973403761328,"NS"
"Cholesteryl Sulfate",-0.311822660098522,0.0998645406133803,0.288670937710552,"NS",-0.156949908260697,0.443857528860188,0.666545735775983,"NS",0.104273504273504,0.610912303911759,0.943794608524953,"NS",0.236453201970443,0.215974953267235,0.988372320768644,"NS",0.238372106963511,0.240922014916688,0.706963185614277,"NS",0.225299145299145,0.267214063382063,0.784676217867962,"NS"
"Choline",-0.382266009852217,0.0415349340947143,0.181111902449594,"NS",-0.664045145625868,0.00021640518759541,0.00800699194103016,"SIG",0.258803418803419,0.200985210434497,0.941650479255857,"NS",0.0261083743842364,0.8933471243763,0.988372320768644,"NS",-0.136798913608901,0.505169370281206,0.842044129075084,"NS",0.215042735042735,0.290054684876189,0.813032071243864,"NS"
"Citraconic Acid",-0.196551724137931,0.305417814999768,0.52805883901829,"NS",-0.230808688618672,0.256619496852051,0.514814243780378,"NS",0.228717948717949,0.259870048021796,0.941650479255857,"NS",0.0379310344827586,0.845090581900955,0.988372320768644,"NS",0.281463764750315,0.163633609000175,0.597673474754311,"NS",-0.0222222222222222,0.914862603441187,0.97833756871677,"NS"
"Citrulline",0.0699507389162561,0.717629131921412,0.845613945257715,"NS",-0.242434607749094,0.232757623971141,0.483822027355743,"NS",0.364786324786325,0.0676491085207786,0.941650479255857,"NS",0.0669950738916256,0.72914026296409,0.988372320768644,"NS",-0.271545843513669,0.179629583288676,0.615397646451946,"NS",0.36957264957265,0.0639251967686095,0.711920682295963,"NS"
"Creatine",-0.283743842364532,0.135644977928111,0.330188433114481,"NS",-0.189434094066288,0.354002748055401,0.584736682055797,"NS",0.0153846153846154,0.941411974055409,0.99733462496961,"NS",0.193103448275862,0.314115481980574,0.988372320768644,"NS",0.137482908176946,0.503022175651814,0.842044129075084,"NS",0.108376068376068,0.59684737486366,0.942815774986025,"NS"
"Cystathionine",0.10935960591133,0.57083543983143,0.728307285302169,"NS",0.0594973508439243,0.772800712754914,0.877105103433492,"NS",-0.0892307692307692,0.663634051272084,0.950988505455357,"NS",-0.266502463054187,0.161864456747125,0.988372320768644,"NS",-0.160738723490459,0.432792820926707,0.842044129075084,"NS",-0.246495726495726,0.223838006634519,0.743723832174485,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.266502463054187,0.161864456747125,0.356261068151749,"NS",0.30877073455209,0.124838485113845,0.336950968237697,"NS",-0.065982905982906,0.748251125809241,0.99733462496961,"NS",0.0817733990147783,0.67221864283882,0.988372320768644,"NS",0.276675802774003,0.171225373848532,0.597673474754311,"NS",-0.23008547008547,0.256970079143157,0.779335485925968,"NS"
"Cystine",-0.124630541871921,0.51790436789461,0.681709246688397,"NS",-0.269105833989474,0.18372597215913,0.407188557692933,"NS",0.221880341880342,0.274692712382291,0.941650479255857,"NS",-0.107881773399015,0.576085774444879,0.988372320768644,"NS",-0.554035600116051,0.00331750207425419,0.153434470934256,"NS",0.181538461538462,0.37311476937095,0.87374977637501,"NS"
"Cytidine",0.233497536945813,0.22190009789471,0.425115420077839,"NS",0.0488972481073631,0.812495902581431,0.90292579924777,"NS",0.264273504273504,0.191367967878168,0.941650479255857,"NS",-0.271428571428571,0.15402633730561,0.988372320768644,"NS",-0.165526685466771,0.419026622412881,0.842044129075084,"NS",-0.068034188034188,0.740650224396408,0.954295132115925,"NS"
"D-Leucic Acid",-0.42807881773399,0.021382823764543,0.116347717542366,"NS",-0.24687981212249,0.224036962490019,0.47098679614379,"NS",-0.116581196581197,0.569148721500783,0.943794608524953,"NS",0.21871921182266,0.253193495163221,0.988372320768644,"NS",-0.028385774573847,0.890518193932064,0.95228824206608,"NS",0.286837606837607,0.155108075096898,0.717374847323155,"NS"
"DCDP",0.288669950738916,0.128765526340217,0.326323594149865,"NS",-0.0208582666751689,0.919441967960915,0.958428210714331,"NS",0.215726495726496,0.28849418572581,0.941650479255857,"NS",0.130541871921182,0.4980902978806,0.988372320768644,"NS",-0.31258551759634,0.120006790839252,0.573323893513933,"NS",0.254700854700855,0.208414962157629,0.743723832174485,"NS"
"Deoxycarnitine",-0.154187192118227,0.422869494997738,0.61769047789796,"NS",-0.147375621917996,0.472479490103201,0.672374658993016,"NS",0.128888888888889,0.528736191155591,0.943794608524953,"NS",-0.213793103448276,0.264248130384881,0.988372320768644,"NS",-0.401846808726148,0.041856528761427,0.313993216964235,"NS",0.0304273504273504,0.883125045900916,0.97833756871677,"NS"
"Deoxyguanosine",0.194581280788177,0.310368986571085,0.531650578848618,"NS",0.0239357158567511,0.907603015992953,0.954014533856229,"NS",0.0502564102564102,0.807252721405815,0.99733462496961,"NS",0.302955665024631,0.110282512074913,0.988372320768644,"NS",0.311901523028295,0.120862874848883,0.573323893513933,"NS",0.20957264957265,0.3027331735754,0.823612310462485,"NS"
"DHAP/D-GA3P",-0.354679802955665,0.0597178625007189,0.230162595054854,"NS",-0.0413745945523841,0.840949038068366,0.926045071682427,"NS",-0.212991452991453,0.294768598233365,0.941650479255857,"NS",0.13448275862069,0.485099195862428,0.988372320768644,"NS",-0.470246265530599,0.0153409513742284,0.208814245892485,"NS",0.382564102564103,0.0546242310577265,0.711920682295963,"NS"
"Dimethylarginine (A/SDMA)",0.276354679802956,0.14646800651693,0.351903652021195,"NS",0.0382971453708018,0.852647353181709,0.933371362950391,"NS",0.011965811965812,0.954711772623924,0.99733462496961,"NS",0.0423645320197044,0.827127557883173,0.988372320768644,"NS",0.0150478804969792,0.94183818741138,0.970747892410732,"NS",0.0762393162393162,0.710493888003945,0.948945109044856,"NS"
"Dimethylglycine",0.183251231527094,0.339816143189293,0.566360238648822,"NS",0.281415630715803,0.163708728154596,0.378576433857503,"NS",-0.352478632478632,0.0780047810297886,0.941650479255857,"NS",-0.170935960591133,0.373701809232085,0.988372320768644,"NS",0.0601915219879166,0.770219345728586,0.919294057805086,"NS",-0.299145299145299,0.137564241073993,0.711920682295963,"NS"
