"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"cAMP",0.191140766967387,0.107755235027009,0.265796246399956,"NS",0.368377880414975,0.00521434706411471,0.0224338187642144,"NS",0.063568010936432,0.640758043426501,0.918916573906223,"NS",-0.0391522989753027,0.753091954621485,0.911688697373292,"NS",0.0018951995311906,0.989254203973079,0.989254203973079,"NS",-0.121673923560716,0.384359126173688,0.736980623586167,"NS"
"Carnitine",0.339335959526136,0.00354524840286016,0.0596246322299209,"NS",0.338608244690217,0.0106905091636877,0.0359589853687676,"NS",0.163226247436774,0.228687486328683,0.563896151193717,"NS",-0.104007024596981,0.402262187448573,0.752267930554635,"NS",0.0309683668075401,0.825770014361645,0.91250861953551,"NS",-0.164570230607966,0.238227236891439,0.657791624252481,"NS"
"Carnosine",0.266998954934423,0.0233755639153124,0.127190568362729,"NS",0.391140885458246,0.00287538801073846,0.0147762994996282,"NS",-0.0347915242652085,0.798608463388106,0.956938905505915,"NS",0.100215517560637,0.419726168511227,0.752267930554635,"NS",0.359886293954811,0.0081240753701273,0.0791028391301869,"NS",-0.154410578938881,0.268763490293642,0.690572857004498,"NS"
"cGMP",0.275166814088144,0.0193168354705213,0.123228088346429,"NS",0.454508169767892,0.000433341646033819,0.00381753354839317,"SIG",-0.010457963089542,0.939018347998988,0.987036331703482,"NS",-0.0972421778321355,0.433720940894302,0.756965793070244,"NS",0.0943970660110043,0.50136868020532,0.748283696720698,"NS",-0.274875020158039,0.0467019289177979,0.504923241573564,"NS"
"Cholecalciferol",-0.31243669109272,0.00754092896708382,0.0664319932814527,"NS",-0.467906214778346,0.000276551263042501,0.00255809918314314,"SIG",0.152494873547505,0.261072185670599,0.571979792249607,"NS",-0.046016922241105,0.711552165087856,0.895490820008527,"NS",0.0320974218473983,0.819522239831026,0.91250861953551,"NS",-0.1171585228189,0.402351583687583,0.736980623586167,"NS"
"Cholesteryl Sulfate",-0.205225500468685,0.0837413197057675,0.227825649199515,"NS",-0.180976143699879,0.181939115036816,0.300524431087599,"NS",0.0142857142857143,0.916694210739974,0.981131457590031,"NS",0.218590358295344,0.0755473672434049,0.394079909097691,"NS",-0.0364926718239893,0.795309612632983,0.91250861953551,"NS",0.24141267537494,0.0817167024442955,0.504923241573564,"NS"
"Choline",-0.262561299173741,0.0258695411762571,0.127419963377755,"NS",-0.606671680958045,7.19034567954893e-07,4.43404650238851e-05,"SIG",0.344839371155161,0.00956835048896399,0.252877834351191,"NS",0.0375558749599998,0.762858321878983,0.911688697373292,"NS",-0.0641948436947966,0.64790604025999,0.874909616409475,"NS",0.0634575068537333,0.650818853932992,0.866197755234558,"NS"
"Citraconic Acid",-0.0742503416769341,0.535346632461493,0.739097962726688,"NS",-0.153428122581446,0.258916804484069,0.389427714061404,"NS",0.295352016404648,0.0274817576318527,0.304355835276061,"NS",0.131744891862869,0.287906704118189,0.691432363079293,"NS",0.24274683356952,0.0798797246748179,0.329882987703908,"NS",-0.0188679245283019,0.893176845459244,0.938850661420228,"NS"
"Citrulline",0.0421577297264879,0.72512629652426,0.865473321657988,"NS",-0.169765534609499,0.210986080360381,0.3364864212644,"NS",0.18714969241285,0.166836365648789,0.544551400836233,"NS",0.0809985634764289,0.514661352237129,0.796588841655279,"NS",-0.125204139241422,0.371703427198737,0.669855699143967,"NS",0.211659409772617,0.127961313537384,0.562676220268479,"NS"
"Creatine",-0.234488302948551,0.0474106864673176,0.172832410093243,"NS",-0.271173696716683,0.0432217334902674,0.0987163048851786,"NS",0.0643882433356118,0.636446583796346,0.918916573906223,"NS",0.175786239385036,0.154764855209005,0.514743159345415,"NS",-0.00616947932493963,0.965028849343906,0.975575612724714,"NS",0.118690533784873,0.396192388205447,0.736980623586167,"NS"
"Cystathionine",0.0246965190159746,0.836852827539959,0.921534363660074,"NS",0.0927267757993902,0.496681920185718,0.620852400232147,"NS",-0.141763499658237,0.296427314540584,0.621551547672721,"NS",-0.311901341989796,0.0101868666527905,0.153659196025652,"NS",-0.225327127240279,0.104754470646998,0.396436427676553,"NS",-0.155378164812127,0.265747040490414,0.690572857004498,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.263783262354218,0.025161311100271,0.127419963377755,"NS",0.359833208852186,0.00645145015312019,0.0265226284072719,"NS",0.0302802460697198,0.824298586387325,0.956938905505915,"NS",0.0481521393615725,0.698793601450377,0.891489230976622,"NS",0.174439003658097,0.21157096076345,0.509351186266511,"NS",-0.125060474117078,0.371186169774847,0.736980623586167,"NS"
"Cystine",-0.10225902405052,0.392687116313269,0.610479970739116,"NS",-0.259108620470025,0.053813820476415,0.114431687219963,"NS",0.0301435406698565,0.825080106500042,0.956938905505915,"NS",-0.159821999232008,0.196390797902482,0.586004800192889,"NS",-0.489888917115631,0.000196706453140635,0.00856738015360027,"SIG",0.179809708111595,0.197060100606522,0.637898285147418,"NS"
"Cytidine",0.173583085479467,0.144780256862109,0.311445901389421,"NS",0.0751589310662953,0.581954427500784,0.694590768307388,"NS",0.210116199589884,0.119976056199867,0.427844163303447,"NS",-0.223698915144313,0.0687998342322574,0.394079909097691,"NS",-0.161535517488288,0.247860113972869,0.545882393868819,"NS",-0.0591033704241251,0.673385451335477,0.875566489330409,"NS"
"D-Leucic Acid",-0.155993247065746,0.190701218021723,0.384254166349195,"NS",-0.275616925929334,0.0397807414531688,0.0958847236437306,"NS",0.12323991797676,0.364504229922255,0.679294833950821,"NS",0.188837005710137,0.125914191168415,0.500226307024094,"NS",0.00818564903897218,0.953611331167403,0.969330199263569,"NS",0.23326882760845,0.092803047889189,0.504957760573528,"NS"
