"","COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"142","Phenylalanine","AIC_int",0.596419141763748,0.319261202974997,0.0825130322690894,0.0227323701875128,0.0024307218375787,0.0154912843327224,0.250805703988287,0.316078385411977,0.197760849188809,0.0280365898979324,0.00548394560917146
"143","Phosphorylcholine","AIC_int",0.789990363604647,0.645766878369285,0.157182495808961,1.4771379334125e-12,0.00257486097778398,0.00583229468162759,0.56855920016187,0.179445155529127,0.299781048707813,7.80772907660894e-12,0.00567082477250043
"144","Phosphoserine","AIC_int",0.850640678756897,0.74806861477067,0.0542579778699058,7.66854845956059e-16,0.00310104405575147,0.009255633775737,0.637742349421365,0.149662397777265,0.156839467280196,6.75562602389861e-15,0.00651924034447753
"145","Phosphotyrosine","AIC_geno",0.345117908419102,0.181397385523877,NA,0.00326165782645613,NA,NA,0.342177060328659,NA,NA,0.00450166069069587,NA
"146","Pipecolate","AIC_int",0.804624223570495,0.670450497588786,0.204719375295151,1.89868337193328e-10,0.000632940234694912,0.00509351529495887,0.507684554834859,0.220169832461184,0.350676707681509,7.98310054108312e-10,0.00185863402251681
"147","Proline","AIC_int",0.830054965396912,0.713345724765876,0.86376674946393,9.6418382733921e-14,0.00918510233749987,8.11242514022226e-05,0.603853210859292,0.151670829924206,0.934484495034076,6.15082786406048e-13,0.0155893938755732
"148","Pseudouridine","AIC_sex_geno",0.831571918452943,0.787568185436144,0.0121752098166129,7.24680359059957e-31,NA,0.00943920476391717,0.784985990804195,NA,0.0164409767596597,2.68131732852184e-29,NA
"149","Putrescine","AIC_int",0.905929450587433,0.841326784123382,0.071319700513695,3.30495507945844e-15,1.07608308665799e-11,0.00642491693183199,0.480188456952399,0.353393179962939,0.188510900967819,2.44566675879925e-14,3.27522706385843e-10
"150","Pyridoxamine","AIC_int",0.721347081930521,0.529983029762324,0.0725762824890762,0.00399782818544995,0.00489256138984944,0.0157693497907758,0.286973136996277,0.281450064991848,0.188510900967819,0.00552333232638039,0.00963161832700088
"151","Pyroglutamic Acid","AIC_int",0.86468461912549,0.771757188886369,0.0378790016561364,1.44889607906648e-16,0.0134044289667168,0.0106264072933921,0.664330251107267,0.126908264709397,0.129532577734181,1.57673985074881e-15,0.0217528013933562
"152","Pyruvate","AIC_int",0.67702067314428,0.455215593255412,0.618065840122236,0.00697818295351256,0.0416725839545205,0.00134276821063886,0.305472617383371,0.248132169693955,0.73328082776915,0.00922117033142732,0.0539120841369671
"153","Reduced Glutathione","AIC_sex_geno",0.496478501676095,0.364927839951832,0.00820275909386246,7.52826885111001e-07,NA,0.032632817525364,0.455087958676534,NA,0.0114962911542769,1.39272973745535e-06,NA
"154","Retinol","AIC_sex",0.158370059046218,0.15231516738468,1.0248609520444e-06,NA,NA,0.146346995153595,NA,NA,3.26895303669335e-06,NA,NA
"155","Riboflavin","AIC_int",0.865169371685467,0.772574843806812,0.00502352212423865,4.72366319074466e-13,0.00765193875782488,0.0218183347515178,0.545242267148993,0.148238127653912,0.0416807730128492,2.64811421299322e-12,0.0134819873352153
"156","Ribose-5-P","AIC_int",0.80519748482925,0.671417444290301,0.265886157138156,0.000139524048216064,0.00283836776025577,0.00556103227756483,0.350784503164085,0.275429414597262,0.399910073744382,0.000238999527036776,0.00617762394879197
"157","Ribulose 5-Phosphate","AIC_sex_geno",0.549211262344373,0.431437628182092,3.29455600506085e-10,2.41388966678286e-05,NA,0.194901881231109,0.342153862816011,NA,1.21898572187252e-09,3.54420308218119e-05,NA
"158","S-Adenosylmethionine (SAM)","AIC_int",0.775467199800716,0.621269975567473,0.915127576524271,9.31237278226335e-05,1.19834570250919e-05,4.30781369055583e-05,0.306972576525646,0.351065537858368,0.961923873051081,0.000168900878893992,6.71799863527878e-05
"159","S-Methylcysteine","AIC_int",0.716400837469277,0.521639966815648,0.0471971816789875,9.69987915915439e-05,0.0405443225230006,0.0186331456528271,0.372831875466718,0.213311129085948,0.145524643510212,0.000173739099702976,0.0528218286391205
"160","SAH","AIC_int",0.743178063426451,0.566806372044616,0.841093684491993,6.81388119097605e-05,6.90809384019136e-05,0.000162214563967425,0.333641164805133,0.33332903329428,0.928188763211242,0.000127330103063694,0.000304285085817953
"161","Sarcosine","AIC_int",0.931969806123181,0.885250275388498,2.18297099367375e-05,3.28019757763287e-19,7.44032482675674e-08,0.0353327009898595,0.594503736274118,0.215345317397206,0.000807699267659289,7.58545689827602e-18,8.60287558093748e-07
"162","Sedoheptulose 7-Phosphate","AIC_sex_geno",0.500126127789201,0.369528449463857,9.75061854212036e-06,1.11949315072531e-05,NA,0.0967446500865226,0.393950176959524,NA,2.07340739114054e-05,1.72588527403485e-05,NA
"163","Serine","AIC_int",0.760883817755594,0.596671499828712,0.0145709029957936,4.6978552676449e-08,0.0708237334927042,0.0239822354503497,0.48676296360564,0.165225267095586,0.0778600895954496,1.37952892780049e-07,0.0873492713076685
"164","Sorbitol","AIC_int",0.787798070321889,0.642069034277886,0.00462335742981686,5.50640103537056e-08,0.00529398879790883,0.030526545045465,0.45160534414492,0.211001278111273,0.0416807730128492,1.5916940492868e-07,0.010148919515384
"165","Spermidine","AIC_int",0.590355790227786,0.30903386303482,0.844393475533365,0.0777944388828464,0.00470554490091219,0.000210000991587439,0.229012021641501,0.320982659944416,0.928188763211242,0.0893911254243887,0.00946223702900821
"166","Suberic Acid","AIC_int",0.759066589323682,0.593606295244764,0.140130501623809,2.40542565743017e-11,1.23927510524373e-11,0.00494508778778026,0.395899767207849,0.40677979637723,0.27288571368847,1.14103524775534e-10,3.27522706385843e-10
"167","Succinate","AIC_int",0.6725104664952,0.447608015775037,0.271785049227525,0.0350474887051046,0.00290735969365462,0.00629619635618651,0.243648098676607,0.318976307492153,0.402241872856737,0.042377682421205,0.00625420399216401
"168","Succinylcarnitine","AIC_int",0.775339663804529,0.621054854610048,0.876429897993206,5.87535601537785e-08,0.000202007063791089,8.50264299154265e-05,0.436738542567886,0.269311400328604,0.934671035118575,1.67221671206908e-07,0.000718678976949068
"169","Sucrose","AIC_int",0.756585353752507,0.589421078618686,0.0752529965340995,1.98094962057431e-09,0.000119116820036876,0.0103015396882602,0.466105444636042,0.254053666080156,0.188510900967819,7.04760922704321e-09,0.000468864078868553
"170","Taurine","AIC_int",0.849293346451202,0.745796006062268,0.231023318087855,1.3266140299066e-05,8.12306629460466e-06,0.00533297875385433,0.33899558743959,0.349368085577712,0.375589367688035,2.82096086819219e-05,5.0092242150062e-05
"171","Thiamine","AIC_int",0.803904804906325,0.669237020323922,0.0159083368060295,8.93838513941895e-11,0.000908038456048935,0.0179581300283847,0.498460498625077,0.203314270715081,0.0817511752532071,3.93714583522025e-10,0.00247039874072137
"172","Threonine","AIC_int",0.876604978228305,0.791863818698346,1.61847841009217e-05,6.24851099037088e-17,6.78416696377644e-11,0.0372414674398414,0.50850138914065,0.302047812070698,0.000807699267659289,7.22484083261633e-16,1.39452320922071e-09
"173","Trigonelline","AIC_int",0.703184447409929,0.499347260691446,0.370069079976703,1.50578861326244e-05,0.00492668428142583,0.00345609610136305,0.390666360049043,0.25100585341809,0.496107099968768,3.0952321494839e-05,0.00963161832700088
"174","Tryptophan","AIC_int",0.846372484494869,0.740869250955201,0.0292144210649333,4.78891713584573e-09,4.95890538456059e-12,0.0115654555274488,0.331196857984861,0.444795144037388,0.116909203064615,1.58205298237761e-08,1.83479499228742e-10
"175","Tyrosine","AIC_int",0.724776309299078,0.535767268697241,0.0444344286567554,0.000157621468852085,0.038143610209545,0.0192994758243267,0.363512646278202,0.217011900295273,0.139328293245758,0.000267522676492071,0.0500465807713889
"176","UDP-GlcNAc","AIC_int",0.755167445565631,0.587029426255281,0.228947331424164,9.30725552974414e-09,1.19112407346159e-05,0.00444758678273593,0.413830696875803,0.282063860873969,0.375589367688035,2.96869357414253e-08,6.71799863527878e-05
"177","UDP-Glucose","AIC_int",0.583456133385055,0.297395887637443,0.122390690092726,0.0927717123960314,0.0668612634509058,0.0142862628304172,0.241052449731656,0.253768322636764,0.257298609854027,0.105293047811447,0.0830156626739435
"178","UMP","AIC_int",0.865246778659489,0.77270540978709,0.0173291462953295,6.36972591532701e-16,0.00156313535941508,0.0126896622343214,0.568915559433775,0.141014858069304,0.0866457314766475,5.89199647167748e-15,0.00385332308540402
"179","Uracil","AIC_int",0.802929735247216,0.667592324513376,0.0107160334278902,9.95970785820195e-08,0.000600781576601047,0.0231698013097036,0.413612433262955,0.241075661205184,0.0708023637199885,2.70962640259906e-07,0.00181880993256984
"180","Urate","AIC_int",0.799754475907401,0.662236465385978,0.062500633239064,0.00400068395532417,0.000131080542137523,0.0151048907161002,0.254993979226819,0.33682506294803,0.175191168927679,0.00552333232638039,0.000490215331983309
"181","Uridine","AIC_int",0.744831827641156,0.569595853852552,0.564208750295248,0.000393789527792159,5.1901771026516e-07,0.0012325425286132,0.269565277919379,0.410419533792358,0.677783238991044,0.000628026402082322,4.80091381995273e-06
"182","Valine","AIC_int",0.816147239086173,0.689886909301978,0.00720579491691728,2.27759138791233e-10,6.77105901936436e-06,0.0217256787361637,0.462439757933502,0.275956270627048,0.0533228823851879,9.36343126141737e-10,4.47373542350859e-05
"183","Xanthine","AIC_int",0.876925197796489,0.792403948090463,0.0147302872207607,2.68840111576555e-13,0.0143832780985277,0.0168422996957929,0.575791979834024,0.143170267015808,0.0778600895954496,1.55423189505196e-12,0.0231185795532129
"184","Xanthosine","AIC_int",0.840413505704575,0.730817961429404,0.0529773459938429,2.79461755773118e-15,0.0195031089246305,0.00959021175285298,0.624395553705601,0.126741175752672,0.155568396966047,2.15418436741778e-14,0.029944745038036
"185","Xanthurenic Acid","AIC_int",0.953631995871792,0.921788908699408,0.847912978284864,5.53933671311543e-33,0.00690792015147886,3.64627219241252e-05,0.850047302519794,0.0561954770771156,0.928188763211242,1.02477729192635e-30,0.0124586438223816
