"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"AMP",0.0171595616165813,-0.0759905067679144,0.149749551835474,0.0942269286019736,-0.136864625459626,-0.09709621393856,-0.0949943342827963,0.0249627444957625,-0.00511809304483108,0.160144429679289,0.000644438903884696,-0.038259822629013,-0.000693116224103897,-0.027868151734101,0.0295258238403012,-0.00502869466498351,0.0772487189285791,0.0556104101513159,0.0183991652690929,-0.0264117728957123,-0.0462110081352548,-0.0362000312998521,-0.0223710182664782,-0.0267886335365974
"Anthranilic Acid",0.00566411558148773,0.0458610468578994,0.074902266657595,0.14304349019375,0.0530369370304238,-0.053021753663054,0.100988682129987,0.00208901598266906,0.116729862680472,0.122590835295728,-0.128310439508369,-0.0558627307620608,-0.0102266691245073,-0.00897254463247894,-0.00615139564719458,0.0707920614035506,-0.102795658755708,0.0224075963817429,0.0735343629220506,0.0172174109088385,-0.0319977777966695,0.0016018451454577,-0.130137510637009,-0.0388793932698278
"Arabitol/Xylitol",-0.0360519585966602,-0.0865655637763252,-0.014958955864112,0.045110455878034,0.0553837468293846,-0.022317413752627,0.0905449005149558,0.133122605190652,-0.0291493405129908,-0.156903313801107,0.186272953648034,0.0780058518909691,0.100403225314344,-0.0110409293840261,-0.0309368827154231,-0.122621700075368,0.0902619956397811,-0.00794745203683451,-0.0889207310174017,0.0517187611435289,0.146582464121612,0.0855853962907808,0.0407681673559835,0.0581324627406238
"Arginine",0.138652138351435,-0.0101125337685318,0.0142470804345829,-0.0491616210355432,-0.018693122899187,-0.0482307662176112,0.0401108156017987,-0.0842668732804147,-0.0134560353447252,0.00959251327443407,0.047383498111816,0.0418341282333503,-0.00187686619938109,-0.0364999849946399,0.0522581550664739,-0.0113533733510984,-0.0601204190792089,-0.0047551980916224,0.0909470002566261,0.0516474535404081,-0.0136679903874895,-0.0728261794574987,-0.0468247555620534,-0.0342198934007853
"Argininosuccinate",-0.0230710353697175,-0.117197066053762,0.00143569680318095,-0.157258084282679,-0.0677538767298448,0.011722669952186,0.0870952649155565,-0.032481580542365,0.0697631947192581,-0.0366874852420964,0.0170236113523812,0.0301725520304892,-0.0750959174856958,-0.0485009364628953,0.160442585652515,-0.0297538809061199,-0.00708584958911048,-0.0877212911541113,0.148610079912673,0.0159951484247918,-0.0600858133941936,-0.0305335792388756,-0.0644661771096395,-0.0276941861714958
"Asparagine",-0.0918884909024542,0.0152434106738985,-0.0015530230436111,0.109663686647021,0.107193434487853,-0.102357094415719,-0.127636063599304,0.0741549751399071,-0.0866596473699336,0.0513754798510026,0.0962483622374844,-0.0871655031325264,0.00333252767563565,0.0039985221590117,0.0474974490749608,-0.00609350169022554,-0.0883598197450464,-0.00582072096382244,0.0518473978075572,0.0835567785248531,0.023851592727927,0.0289328274982787,-0.0235754528782924,0.0261997668602631
"Aspartic Acid",0.0711735582270395,0.116587238046764,-0.00540733711128216,0.0258172084988042,-0.0843339461144415,0.120079657839085,-0.0114902465227085,-0.0103192054900955,-0.0107617862772669,0.101176433804063,-0.0273294295983626,-0.0787767518510639,0.0483693097427736,0.0999097923573822,0.0402168894777041,0.0704124176861575,-0.0676633554222555,-0.0356876491782051,0.0320773442745201,-0.00519635329922856,-0.0828347826063391,0.10447062334242,0.00546052919876287,-0.097988952523229
"Azelaic Acid",0.0826895032268123,0.13741250965492,0.015074346717849,-0.00879644961758623,-0.122091870226958,-0.0471200583809501,0.00855049416043104,-0.0372334042942294,-0.0047313348350939,-0.0562153135991652,0.0141228931528593,0.0286868225957794,0.0126589186837994,0.0405106997482939,-0.0332976551425567,-0.0705757854318042,0.082458578788014,-0.0413350797401358,-0.056493289010119,0.00934436997555334,-0.0110155125194764,-0.0867655531040348,0.0109590082234697,-0.017460626517164
"betaAlanine",-0.04363276398566,0.0564563021501729,-0.0256868397527116,0.0960797863384436,0.0706282401957415,-0.0674049143715325,-0.102734329762537,-0.0577807862636882,0.131837643322744,0.114546395053612,-0.0558064053090077,0.0369612508610236,0.0270094618821001,-0.103830231401399,-0.0407446969558207,-0.10669742533827,0.0680345851352595,0.137050728624637,-0.0351882729335428,-0.223515950598828,0.00578112201715785,-0.127030795202456,0.077156431341377,0.0286330147115079
"Betaine",0.140636500385316,0.0560924029121743,0.033624399899293,-0.0360875281370039,0.0267440708927391,-0.0429074884373531,0.0396858610746771,0.0184232942361622,0.00575112267164737,-0.0248896164945321,-0.0226948518424335,-0.00378941765594464,-0.0407920072118394,-0.0244260612177316,0.00688402417054106,0.0152551735325942,0.0424302681207258,0.00515774388898154,0.0845788595028911,0.0129432541191039,-0.0104825486532861,-0.0176119012948187,-0.00481490641678093,-0.0264031148175987
"Biopterin",0.12352841712219,-0.0496719552454891,0.0522729518261376,0.00417853493721671,-0.0423170832324762,0.0830867531227811,0.035516005228862,0.0205383849132873,-0.0445692544852901,-0.0288459853297125,0.00709546148402444,0.0204517040225019,-0.0817316860205582,0.0044214270506243,0.0370392210463475,0.0537413749722904,-0.0773949381778903,-0.0668430391702044,0.0873235201903696,0.0868688888485625,0.0626274344134417,-0.0303206138154886,-0.0153509851031758,0.0823770664664883
"Cadaverine",0.146060418055167,0.00107432365312429,0.0237230748726095,-0.0389775977326217,0.0871601377681472,-0.0416759106342675,0.0582010019000885,0.0154924033808044,-0.0234978827945494,0.0109064643430879,-0.0415406878734133,-0.0603290583743651,-0.0128229002040222,0.0260876484682203,0.0303634226221693,0.0135329938382046,-0.0112097893723239,0.00545946010576886,0.0421985171763439,-0.0264292419857797,0.0154067876559062,0.0230611573700173,-0.0321323725039605,-0.063236029842028
"cAMP",-0.0761927461734243,0.00439885267805173,0.0758449543727943,-0.144263173307204,0.089676535998504,-0.0331319202770299,0.0955271425989927,0.0209918852886971,0.0436517552580457,0.0389243215602868,0.0724988651515873,0.00916075456071213,0.102497162607557,0.134163007235651,-0.0499041968813513,0.0944366661491317,-0.107073605536328,-0.0374674674804998,0.00433683783525517,0.0810288647533899,-0.0165737533200472,-0.0469359352759634,-0.0360475164586468,0.0609519243784956
"Carnitine",-0.0472846994902936,-0.0350412081472151,-0.0489566108507073,0.0112668560794898,-0.0760221208839831,-0.0403253865611616,0.0457085119154406,-0.0874128293343095,0.176609436669157,-0.110412018164075,-0.0388150089072193,-0.0268009726234656,-0.0598603212965038,-0.0466225916963317,-0.0419043495883636,-0.170292550222678,0.0625123948647477,0.152465853061173,0.0499470541598213,0.208836250414084,-0.00714772521283865,0.0203380297781249,0.0613013429545955,-0.185336996841957
"Carnosine",-0.00742980921675176,-0.11579763757475,0.073613883115894,-0.0483651666864497,0.171939375050683,-0.083825428860049,0.0500132021143717,-0.00654437389467426,0.00654251516887651,0.00440868374612003,-0.0840652321961215,0.0741984083332359,0.00205120474435946,0.0461771386341393,-0.177781611597507,0.0554009025937258,-0.0595727378832171,0.0333108485483062,-0.0437073754142322,0.0902135215891924,-0.046515988012343,-0.00920024009672885,0.00820573478434069,-0.077086850641609
"cGMP",-0.0737385502402698,0.00743522340436286,0.0566251405211224,-0.135873469596234,0.0926884748233794,-0.113498390361752,0.0675569519660265,-0.011548990764873,0.0554711821706641,-0.0326169330838736,0.098964287777175,0.0539553223179226,0.104688996779581,0.119770929246348,-0.022908228198177,0.0561412985346077,-0.0209542978674414,0.0378928143557551,-0.0467369971467689,0.141134753954774,-0.0236478051314031,-0.082088373849971,-0.108604401185554,0.0498697996145818
