"sex","genotype","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"female","531",-7.36084808507677,-5.13121697714427,2.55850207542413,0.803683803019662,-1.23354534978078,-1.12037996380342,1.3075393965957,1.11421010759229,0.437789727377255,0.711715316154194,0.744798289353152,1.40029071830764,-2.54469221958304,1.20751925212312,-0.317966062002308,1.05588999843263,-1.25382887777959,-1.93120394680674,2.33164682163158,-1.01828763085986,-1.28243878769002,3.2188961259892,-0.512515989634845,-0.0289273860431372
"male","358",4.79110074634372,-2.23992246348114,-4.1467472408061,4.00375478340611,0.249868889445687,5.07538739087923,-2.88944333834784,0.376185207859619,-0.829067804739878,1.43336245873318,-1.59107141797118,-0.228491617461138,-1.8584112701662,0.159654244520799,2.17437498447142,-0.07109162419218,-0.12198968382158,-1.58653980022721,-0.24301479069298,-0.348023063341113,-0.747161196649898,-0.332785889260257,0.623668565244784,1.75245757094451
"male","303",-2.12727617013694,-2.4571551877785,1.42982013493311,-3.18135213056383,-4.15118626547204,3.5193438290024,0.559813878003244,-0.935059087628578,2.56417481548309,2.78449438987857,-0.0904839699562556,-1.41211549821079,0.427553204396092,0.865997545470065,-0.250434596962942,-2.40269948350813,1.14529849649665,1.33545392002546,2.14019761770548,-1.93659822099075,-1.14715777820918,0.395627416251931,0.22307084925951,-0.112015811936915
"female","235",-5.26216444312123,-0.233106433145634,-0.987478257888544,5.66871761552026,-0.673031102721825,-0.696086462341368,-0.44043278700843,-3.19711462195805,2.21915838628556,1.88203560262831,-0.449370382531808,0.124584724778663,0.860237356804712,0.426548026502937,-2.56894851713789,-0.0773825407622701,1.48932921966098,-2.37318214561154,0.822611252370835,-0.284758540412385,1.79828645994498,-1.2124834271133,0.377588746242935,-0.22356375625093
"male","513",10.5802142850216,9.52248127083129,1.65071753816833,-5.42376117280254,0.276598304173589,-4.64165861965222,-2.81353308359649,-2.52071652002071,-1.7769673533976,-1.50420545920596,-5.3220164740782,-1.60656121135582,0.55032965946127,3.17017748028406,1.42626956687471,1.99187496593807,2.07826766109479,-0.579298515264683,3.4183743905674,0.115356868651955,2.31234436486948,0.981952413326678,-0.180509120732723,-0.6838987049695
"male","853",6.53173472381238,1.07276030121786,4.05492617833738,0.467845415042302,2.42923745799461,1.1027865780849,1.01098456605591,2.62631196105005,-2.77842390467335,0.0276885014766005,-0.754522771316159,0.872560748994845,3.01824300427067,-0.85679561497343,-0.342356154038943,0.506679392137813,3.05425926858726,1.28325303875099,-0.005774757100748,-0.873888493689057,-0.0359905209976536,1.93759392799129,2.63311378912601,0.64230101124661
"male","57",-6.40693490939321,0.827110415190173,-12.3795897537483,-3.06790172355163,5.62699188439962,2.12722462557358,4.89486780773487,-0.760775651533422,-0.576745812164148,-2.69300945512271,-0.371902452856317,-0.208977923084156,-0.11368115256416,1.06682439197934,-0.388569892782416,-1.74243020313774,-0.383153325210064,-1.23414735349513,-0.995044077349031,0.175199563695096,0.452532569633699,0.117161153815179,0.599987311097714,1.25063252521354
"female","535",-13.0894774016476,0.175252518338974,-2.4403992817586,0.718961827981759,5.07545248589044,-3.5474530438534,-1.23106524830937,-0.407372867373536,1.56541153493231,2.55176296727236,0.454720943213486,-1.2196037433992,-1.79884636691561,-2.47247901325851,1.94155364161865,1.14171366743736,1.22887051580373,-0.221499699491458,0.683220892043323,-0.0106035814019631,-3.67067214616335,-0.16985723627242,-1.46347327674264,0.114070948275293
"female","138",-2.71519207159898,9.27895892623223,3.61605973264876,0.321852794692764,-5.02437006199986,-3.89338627591864,-0.988406712956416,-7.00168692573539,-3.62644702418871,-0.663057697453858,-1.49027636417516,-1.57282899072997,-0.0464766896904103,1.75636505927323,-1.29759888493931,-1.55721548109823,-2.7797531350543,0.561824209516485,-1.92741732523539,-1.31112108179732,-0.0350825846383083,1.35645435877181,1.04326703077812,2.60208596656587
"male","320",0.63257578251417,-4.91038315652093,0.234225107413616,-1.54158284782428,-1.80294180264896,1.12068753200114,-0.311530439281198,1.78307851900296,1.01182902196258,-0.304029418174857,0.232549132393303,-0.668066882495529,0.661744405306284,0.61155362091117,1.91950884733109,-0.692077812486463,-0.102269359574043,-0.245086592174772,-3.06343405775784,-0.813972804750068,1.14562395675618,-1.10831189027836,0.474140591775792,-1.78013576297187
