"","rowname","colname","p_means","R_means"
"117","Indole-3-Carboxylic Acid","Oxalacetate",3.42801156661626e-103,0.776738749269433
"118","Palmitic Acid","Urate",3.42801156661626e-103,0.799071026484973
"119","3-Hydroxyisovaleric Acid","Oxalacetate",3.92466312988194e-103,0.792549755452336
"120","3-(4-Hydroxyphenyl)Propionate","G1P/F1P/F6P",5.95863281077904e-103,-0.748008243870928
"121","1/3-Methylhistidine","Oxalacetate",5.97924874003372e-103,-0.790950198406595
"122","Cadaverine","Indole-2-Carboxylic Acid",6.4805833032734e-103,0.765111199975391
"123","Glutaric Acid","Maleic Acid",9.1536052629442e-103,0.851979451844105
"124","Alpha-Ketoglutaric Acid","Maleic Acid",9.2743961472895e-103,-0.731212894890645
"125","Biopterin","Urate",9.67746919950385e-103,0.770217478236796
"126","PEP","Phenylacetic Acid",9.9291567620037e-103,-0.678427512381187
"127","Citraconic Acid","Phenylacetic Acid",1.23367406690332e-102,0.726537266603094
"128","Citraconic Acid","Hydrocinnamic Acid",1.56068356367822e-102,0.767695099818512
"129","1/3-Methylhistidine","S-Adenosylmethionine (SAM)",2.04606506614805e-102,0.796794733766034
"130","Citraconic Acid","Retinol",3.98565871337812e-102,0.733304623335076
"131","2-Hydroxyphenylacetate","UDP-GlcNAc",6.37066304623478e-102,-0.707158017779692
"132","Betaine","UDP-GlcNAc",7.15665119793697e-102,-0.739948937217386
"133","3-(4-Hydroxyphenyl)Propionate","3HBA",9.10542976664164e-102,0.628964286812882
"134","Cholecalciferol","Suberic Acid",9.10542976664164e-102,0.794703005321603
"135","Indole-2-Carboxylic Acid","Oxalacetate",9.2886884175859e-102,0.746962379648712
"136","Citraconic Acid","Maleic Acid",9.87403214863209e-102,0.794887569596112
"137","1/3-Methylhistidine","Cadaverine",9.89305858844656e-102,-0.799563197883663
"138","3-(4-Hydroxyphenyl)Propionate","PEP",1.30534765413951e-101,-0.67885816235504
"139","Phenylacetic Acid","Pyridoxamine",2.07330768029654e-101,0.712141253191424
"140","Arginine","Ergocalciferol",2.34120023166848e-101,0.673690362668799
"141","Maleic Acid","Phenylacetic Acid",2.85936906772173e-101,0.762465778707435
"142","Ergocalciferol","Glucosamine",3.91216569902406e-101,-0.663170199021809
"143","1/3-Methylhistidine","Glyceraldehyde",4.11245374916528e-101,0.702359346642468
"144","1-Methylnicotinamide","3-(4-Hydroxyphenyl)Propionate",5.34126018581562e-101,0.748931065243471
"145","3-Hydroxyisovaleric Acid","Urate",7.26423972464471e-101,0.750530622289212
"146","1/3-Methylhistidine","Maleic Acid",8.6042854257254e-101,-0.747885201021255
"147","2-Hydroxyphenylacetate","Azelaic Acid",1.61475481458034e-100,0.806822726014334
"148","Choline","Oxalacetate",2.80385624913084e-100,0.799317112184318
"149","3-(4-Hydroxyphenyl)Propionate","Oxalacetate",3.46026894426566e-100,0.754467993478729
"150","Biopterin","Taurine",3.52918627623827e-100,0.717186010027992
"151","Erythrose-4-Phosphate","Taurine",4.71047179756315e-100,-0.782029591805346
"152","Arginine","Palmitic Acid",5.39497465406158e-100,0.770894213909994
"153","Cadaverine","Choline",5.47971556673125e-100,0.817342889661324
"154","3-(4-Hydroxyphenyl)Propionate","Urate",6.19499092374091e-100,0.712571903165277
"155","4-Guanidinobutanoate","N6-Trimethyllysine",1.04783064331346e-99,0.756867329047341
"156","1/3-Methylhistidine","3-(4-Hydroxyphenyl)Propionate",1.19944001607807e-99,-0.696145682734012
"157","Citraconic Acid","SAH",1.26585013247929e-99,-0.733981359008274
"158","Pyruvate","UDP-GlcNAc",1.42498784401286e-99,0.70119043957058
"159","Retinol","S-Adenosylmethionine (SAM)",1.52151999590225e-99,-0.702605432341813
"160","Arginine","PEP",1.98288919416836e-99,-0.760743178812021
"161","3-(4-Hydroxyphenyl)Propionate","Arginine",2.02708791613568e-99,0.708080839152235
"162","3-(4-Hydroxyphenyl)Propionate","Cadaverine",2.11771322249226e-99,0.751022793687902
"163","Glyceraldehyde","PEP",1.08922631882276e-98,0.696699375557538
"164","Choline","Retinol",1.14475284182711e-98,0.713433203112984
"165","Choline","Glyceraldehyde",1.23314382352939e-98,-0.733489187609585
"166","G6P","Taurine",1.32514985279602e-98,-0.771632471008028
"167","Arginine","Glucosamine",1.74022621630661e-98,-0.701067396720908
"168","Biopterin","Cadaverine",1.95953532892792e-98,0.725429880956043
"169","Ergocalciferol","Glyceraldehyde",2.33047600795785e-98,-0.672275369897567
"170","3-(4-Hydroxyphenyl)Propionate","Taurine",3.54561014237588e-98,0.716693838629302
"171","Pyruvate","S-Adenosylmethionine (SAM)",4.0876609006784e-98,0.771078778184503
"172","Azelaic Acid","D-Leucic Acid",4.49559870957575e-98,0.772924420929588
"173","1/3-Methylhistidine","Retinol",4.66822606413002e-98,-0.654803285244086
"174","G1P/F1P/F6P","Taurine",5.46859437585472e-98,-0.763880771478667
"175","1-Methylnicotinamide","3-Hydroxyisovaleric Acid",9.18651439852802e-98,0.794518441047094
"176","Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",9.76606407100062e-98,0.890799470915746
"177","Citraconic Acid","S-Adenosylmethionine (SAM)",1.00809099070752e-97,-0.666123227413947
"178","PEP","Urate",1.1057954820899e-97,-0.726967916576948
"179","Betaine","Pyruvate",2.01365250028795e-97,-0.779384170537389
"180","3-Hydroxyisovaleric Acid","S-Adenosylmethionine (SAM)",2.64771466212554e-97,-0.756682764772832
"181","Hydrocinnamic Acid","Retinol",5.07724548825927e-97,0.615491094773755
"182","Betaine","Choline",5.68741110421081e-97,0.814758989818204
"183","Cadaverine","Citraconic Acid",6.1486186239138e-97,0.74068719431542
"184","3HBA","Urate",1.0683968309127e-96,0.663539327570826
"185","Choline","S-Adenosylmethionine (SAM)",1.11564628600821e-96,-0.826017410563228
"186","G6P","Xanthine",1.4844058345601e-96,-0.72838290934818
"187","cAMP","Erythrose-4-Phosphate",1.49214754681767e-96,0.704512596511735
"188","3-(4-Hydroxyphenyl)Propionate","G6P",1.84423457657929e-96,-0.723953366759974
"189","1/3-Methylhistidine","Arginine",2.0957309643543e-96,-0.709926481897321
"190","Arginine","Choline",2.44485134310291e-96,0.755329293426436
"191","Choline","Erythrose-4-Phosphate",2.5731115316962e-96,-0.83456888861546
"192","Oxalacetate","PEP",2.86028461739414e-96,-0.718047309975699
"193","Biopterin","Oxalacetate",3.04993189839461e-96,0.687409640407272
"194","Indole-2-Carboxylic Acid","Taurine",3.5590222689304e-96,0.692823525792857
"195","cAMP","G1P/F1P/F6P",3.61140428410067e-96,0.706788889230674
"196","Hydrocinnamic Acid","Succinylcarnitine",3.95846338799242e-96,-0.574763911532191
"197","1/3-Methylhistidine","Succinylcarnitine",1.35279181162249e-95,0.732627887661878
"198","1-Methylnicotinamide","Choline",1.56461231123109e-95,0.798517333661447
"199","Betaine","Urate",1.71088858552269e-95,0.834322802916115
"200","Erythrose-4-Phosphate","Sedoheptulose 7-Phosphate",2.62500219342996e-95,0.704820203635916
"201","Pyruvate","Succinylcarnitine",3.58358676471227e-95,0.664892798917223
"202","Arginine","Phenylacetic Acid",3.65937173384907e-95,0.668461041557722
"203","1-Methylnicotinamide","1/3-Methylhistidine",3.93629860725241e-95,-0.770278999661632
"204","cAMP","G6P",4.35817575269964e-95,0.70248238949214
"205","2-Aminoisobutyric Acid","3-Aminoisobutyrate",6.02756280223455e-95,0.962718016549263
"206","Indole-2-Carboxylic Acid","Urate",6.7577413458202e-95,0.743148051308868
"207","Choline","Maleic Acid",6.99969668079267e-95,0.787258912916423
"208","S-Adenosylmethionine (SAM)","SAH",7.62378914432959e-95,0.741056322864437
"209","Hypoxanthine","Xanthine",8.90312428186018e-95,0.865698729582577
"210","1-Methyladenosine","1-Methylnicotinamide",9.08705348713596e-95,0.754837122027746
"211","3HBA","Arginine",9.40360274679348e-95,0.648897228459811
"212","2-Hydroxyphenylacetate","Pyruvate",1.07947734097152e-94,-0.721000338367836
"213","Citraconic Acid","Oxalacetate",1.18175774353021e-94,0.722599895413577
"214","1/3-Methylhistidine","Pyridoxamine",1.21214452108242e-94,-0.728321387923344
"215","Cadaverine","PEP",1.33543219924174e-94,-0.7109108246947
"216","Glutaric Acid","Hydrocinnamic Acid",1.33630759092716e-94,0.691777661570642
"217","Adipic Acid / 3-Methylglutaric Acid","Cholecalciferol",1.95779587124573e-94,0.793657141099388
"218","G1P/F1P/F6P","Sedoheptulose 7-Phosphate",1.95779587124573e-94,0.707773232028054
"219","Alanine","Indole-3-Carboxylic Acid",2.75595304508452e-94,0.674182534067489
"220","Alanine","Indole-2-Carboxylic Acid",3.05273655391451e-94,0.671721677074041
"221","Choline","Pyruvate",3.32041599468923e-94,-0.829770217478237
"222","2-Hydroxyphenylacetate","Succinylcarnitine",4.76808980152129e-94,-0.665692577440093
"223","G1P/F1P/F6P","Xanthine",7.9794547264152e-94,-0.719708388446276
"224","PEP","Retinol",1.00694003477665e-93,-0.673628841243963
"225","Hydrocinnamic Acid","Pyruvate",1.17794987155901e-93,-0.678673598080531
"226","Indole-3-Carboxylic Acid","Urate",1.36697827323399e-93,0.747885201021255
"227","1-Methylnicotinamide","PEP",2.05057796877699e-93,-0.715832538681596
"228","Ergocalciferol","PEP",2.63894839593668e-93,-0.565781783506106
"229","Glutaric Acid","Succinylcarnitine",2.79816620218891e-93,-0.720754252668492
"230","Erythrose-4-Phosphate","Xanthine",3.19755881172086e-93,-0.720385124119474
"231","Alanine","Taurine",3.88801986455432e-93,0.76480359285121
"232","Palmitic Acid","Taurine",4.05741635466154e-93,0.690055061675228
"233","3HBA","Maleic Acid",4.65080125531139e-93,0.768310314066874
"234","Choline","Ergocalciferol",4.74517873846912e-93,0.621581715832539
"235","Glutaric Acid","UDP-GlcNAc",5.17178694279757e-93,-0.725860530929896
"236","Betaine","Pyridoxamine",6.15973420388862e-93,0.765849457073426
"237","1/3-Methylhistidine","Pyruvate",6.88849106345401e-93,0.754221907779384
"238","Hydrocinnamic Acid","Phenylacetic Acid",9.56622582094604e-93,0.713679288812329
"239","2-Hydroxyphenylacetate","Suberic Acid",1.0217526675552e-92,0.802331662001292
"240","Choline","G1P/F1P/F6P",1.32756692900508e-92,-0.818696361007721
"241","Indole-3-Carboxylic Acid","Taurine",1.35423144439582e-92,0.684825740564151
"242","Glutaric Acid","Pyruvate",2.04248337887799e-92,-0.78147589898182
"243","3-Hydroxyisovaleric Acid","Arginine",2.19836706400693e-92,0.671967762773386
