"","rowname","colname","p_M","R_M"
"6478","Maleic Acid","Phosphotyrosine",1.27083153634504e-11,-0.250738916256158
"6479","Uracil","Urate",1.27455097598392e-11,-0.342364532019704
"6480","Adenine","o-Phosphoethanolamine",1.28730542263317e-11,-0.370443349753695
"6481","Dimethylglycine","Leucine /D-Norleucine",1.28841586535622e-11,0.366009852216749
"6482","Glucose","Margaric Acid",1.29299689669129e-11,-0.12807881773399
"6483","Asparagine","Phosphoserine",1.29376840847464e-11,-0.452709359605911
"6484","n-Glycylproline","Phosphotyrosine",1.29845453323083e-11,0.243349753694581
"6485","Inosine","Ribose-5-P",1.30785183437868e-11,0.0857142857142857
"6486","Acetylcholine","n-Glycylproline",1.30945130739119e-11,0.333497536945813
"6487","Phosphorylcholine","Tryptophan",1.31578462143378e-11,0.549261083743842
"6488","Carnitine","Phosphorylcholine",1.32799629437601e-11,0.39064039408867
"6489","Methionine","Taurine",1.33421308120021e-11,-0.0847290640394089
"6490","2-Aminoadipate","Glycerophosphocholine",1.33671012816006e-11,-0.219211822660098
"6491","3HBA","Deoxycarnitine",1.34179559732186e-11,-0.210837438423645
"6492","GMP","Neopterin",1.34216937678074e-11,0.207881773399015
"6493","4-Guanidinobutanoate","Proline",1.34942336160487e-11,-0.231034482758621
"6494","Cadaverine","Glutamine",1.34987645230595e-11,0.127586206896552
"6495","Carnosine","NADH",1.39186921004481e-11,0.187684729064039
"6496","1-Methylnicotinamide","o-Phosphoethanolamine",1.39904898803048e-11,-0.254679802955665
"6497","N-Ac-Arginine","N-AcetylGlycine",1.41302296286454e-11,0.0157635467980296
"6498","Putrescine","Uridine",1.41306970327646e-11,0.249261083743842
"6499","betaAlanine","Oxidized Glutathione",1.45117240722259e-11,-0.441871921182266
"6500","Glucose","N-Ac-L-Glutamine",1.46882770729403e-11,0.20295566502463
"6501","Cadaverine","IMP",1.46965044896407e-11,0.336453201970443
"6502","Cytidine","Leucine /D-Norleucine",1.48089499665883e-11,0.216748768472906
"6503","Cytidine","UDP-GlcNAc",1.48169707620563e-11,0.197536945812808
"6504","2-isoPropylmalic Acid","Xanthurenic Acid",1.49754501692113e-11,0.210344827586207
"6505","5-Methylcytidine","Pantothenate",1.50128092216443e-11,0.373891625615764
"6506","1/3-Methylhistidine","Cystine",1.51174472481857e-11,0.0783251231527093
"6507","Fructose","Lactose/Trehalose",1.52091050720493e-11,-0.307881773399015
"6508","n-Glycylproline","Taurine",1.52447216219536e-11,-0.191133004926108
"6509","Hypoxanthine","Imidazoleacetic Acid",1.52479550801553e-11,0.459113300492611
"6510","Homoarginine","N-Ac-L-Glutamine",1.55042490545107e-11,0.157142857142857
"6511","Argininosuccinate","N-AcetylGlycine",1.5564661146066e-11,-0.276847290640394
"6512","Dimethylglycine","Thiamine",1.55800872985774e-11,0.327586206896552
"6513","2-Aminoisobutyric Acid","4-Guanidinobutanoate",1.55953231040217e-11,0.0320197044334975
"6514","Leucine /D-Norleucine","o-Phosphoethanolamine",1.56721690368342e-11,0.122660098522167
"6515","Ethanolamine","Glycerophosphocholine",1.57463735505257e-11,0.315763546798029
"6516","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","Orotate",1.5876459535119e-11,0.226108374384236
"6517","Linolenic Acid","Threonine",1.58870137960364e-11,0.236945812807882
"6518","Ergocalciferol","Lactose/Trehalose",1.58871509074375e-11,-0.207389162561576
"6519","Glutamine","Oxalacetate",1.60328707892381e-11,0.123152709359606
"6520","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Phosphoserine",1.61715345746308e-11,-0.240886699507389
"6521","Adenylosuccinate","Nicotinic Acid",1.61887064867149e-11,0.406403940886699
"6522","5'-Methylthioadenosine","Dimethylglycine",1.62391720357944e-11,-0.329556650246305
"6523","Anthranilic Acid","Cholesteryl Sulfate",1.62989953369496e-11,0.149261083743842
"6524","Niacinamide","UMP",1.64010356173136e-11,-0.24384236453202
"6525","Pyruvate","Taurine",1.64629389521371e-11,-0.286206896551724
"6526","N6-Trimethyllysine","Thiamine",1.70349115189913e-11,0.194581280788177
"6527","7-Methylguanine","Linolenic Acid",1.70374342011442e-11,0.127093596059113
"6528","3-Aminoisobutyrate","Hydrocinnamic Acid",1.70477546658947e-11,0.259113300492611
"6529","Leucine /D-Norleucine","Neopterin",1.72744006561938e-11,-0.229064039408867
"6530","cAMP","Hypoxanthine",1.76101418830198e-11,-0.397536945812808
"6531","Citrulline","NAD",1.76932787441621e-11,-0.26551724137931
"6532","L-2-Aminobutyric Acid","N6-Trimethyllysine",1.7804926883919e-11,0.177832512315271
"6533","DHAP/D-GA3P","Proline",1.78525194500213e-11,-0.304926108374384
"6534","Hypotaurine","Lactose/Trehalose",1.78525194500213e-11,-0.273399014778325
"6535","ADP","Tryptophan",1.78777126770643e-11,0.276847290640394
"6536","Alpha-Ketoglutaric Acid","Argininosuccinate",1.80196370401489e-11,0.157635467980296
"6537","ADP","Citrulline",1.83231343117187e-11,-0.199014778325123
"6538","Pyroglutamic Acid","Taurine",1.83578272760589e-11,0.182266009852217
"6539","Linoleic Acid","Nicotinic Acid",1.85839070304196e-11,0.317733990147783
"6540","Margaric Acid","Neopterin",1.86068350369376e-11,-0.0275862068965517
"6541","Adenylosuccinate","Aspartic Acid",1.86587270570956e-11,-0.229556650246305
"6542","Aminolevulinate","Neopterin",1.8672564292357e-11,-0.173891625615764
"6543","Alanine","Sedoheptulose 7-Phosphate",1.87272831056614e-11,-0.132019704433498
"6544","Cholecalciferol","Phenylalanine",1.88057299914648e-11,-0.0847290640394089
"6545","Maleic Acid","UDP-Glucose",1.88875289638567e-11,-0.231527093596059
"6546","3-(4-Hydroxyphenyl)Propionate","Serine",1.90433733698629e-11,0.0236453201970443
"6547","4-Pyridoxic Acid","Oxalacetate",1.91058433558773e-11,0.310344827586207
"6548","Deoxycarnitine","Succinylcarnitine",1.92032058623511e-11,0.164039408866995
"6549","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Anthranilic Acid",1.93282201354211e-11,0.164532019704433
"6550","Lactose/Trehalose","Urate",1.93282201354211e-11,-0.214778325123153
"6551","Indole-3-Carboxylic Acid","Putrescine",1.93304105201423e-11,-0.0842364532019704
"6552","Pantothenate","Proline",1.94228409296741e-11,-0.276354679802956
"6553","Glutaric Acid","N6-Acetyl-Lysine",1.94252117828004e-11,-0.118226600985222
"6554","Agmatine","Maleic Acid",1.94668948638594e-11,-0.176847290640394
"6555","2-Aminoisobutyric Acid","UDP-GlcNAc",1.97922008172607e-11,-0.136945812807882
"6556","Alanine","Cystathionine",1.98294210475289e-11,-0.231034482758621
"6557","Argininosuccinate","G1P/F1P/F6P",1.99008520529155e-11,0.287192118226601
"6558","1-Methyladenosine","Anthranilic Acid",2.01219938771129e-11,0.114778325123153
"6559","Choline","FAD",2.01271834167088e-11,0.25320197044335
"6560","Cholecalciferol","N-Acetyl-Aspartate (NAA)",2.01457874938445e-11,0.165024630541872
"6561","2-Aminoadipate","Oxalacetate",2.02500253934895e-11,0.260591133004926
"6562","Myristic Acid","N-Acetyl-Aspartate (NAA)",2.03961466433044e-11,-0.135960591133005
"6563","Glutamic acid","Phosphorylcholine",2.04119548774393e-11,-0.195073891625616
"6564","3-Aminoisobutyrate","Pipecolate",2.06548878829575e-11,0.11871921182266
"6565","Adipic Acid / 3-Methylglutaric Acid","Glycerol-3-P",2.08951572659873e-11,-0.183251231527094
"6566","Pyruvate","Xanthine",2.09266729192453e-11,-0.338423645320197
"6567","Oxalacetate","Putrescine",2.10496466302902e-11,-0.185221674876847
"6568","Phenylacetic Acid","Valine",2.15501443062223e-11,-0.132019704433498
"6569","2-Aminoadipate","Palmitic Acid",2.16722924540274e-11,0.249261083743842
"6570","2-isoPropylmalic Acid","Pyruvate",2.16966740327482e-11,-0.276847290640394
"6571","N6-Trimethyllysine","Valine",2.1699223748768e-11,0.297044334975369
"6572","Cystine","Sedoheptulose 7-Phosphate",2.17853088807438e-11,0.149261083743842
"6573","Hydrocinnamic Acid","UDP-Glucose",2.18058157518194e-11,-0.173399014778325
"6574","G1P/F1P/F6P","Suberic Acid",2.19529554503152e-11,-0.180788177339901
"6575","Biopterin","Ethanolamine",2.20642555668211e-11,-0.229064039408867
"6576","Adenosine","Arginine",2.21918127929216e-11,0.197044334975369
"6577","3-Hydroxypropionic Acid","AMP",2.24080565782202e-11,-0.299507389162562
"6578","3HBA","Orotate",2.26206630630416e-11,0.0157635467980296
"6579","3-Aminoisobutyrate","PEP",2.26559198528122e-11,-0.147290640394089
"6580","1-Methyladenosine","Glycine",2.26569299021828e-11,0.236945812807882
"6581","4-Guanidinobutanoate","Choline",2.28865805515281e-11,-0.158620689655172
"6582","AMP","Indole-3-Carboxylic Acid",2.32852866622493e-11,0.278325123152709
"6583","Glucosamine","Riboflavin",2.33455619890806e-11,-0.219704433497537
"6584","3-Aminoisobutyrate","Phenylalanine",2.3391805357949e-11,-0.169950738916256
"6585","Urate","Xanthine",2.34018334584164e-11,0.227093596059113
"6586","G6P","N6-Acetyl-Lysine",2.3455871213393e-11,0.178325123152709
"6587","DHAP/D-GA3P","n-Glycylproline",2.36865248265334e-11,-0.0817733990147783
"6588","2-Hydroxyglutarate","Margaric Acid",2.37242312799903e-11,-0.208374384236453
"6589","2-Aminoisobutyric Acid","N-Ac-Phenylalanine",2.38101557821266e-11,0.128571428571429
"6590","Carnosine","Succinylcarnitine",2.38807057052759e-11,-0.297044334975369
"6591","Hypotaurine","Reduced Glutathione",2.39819015738774e-11,0.112315270935961
"6592","Adenylosuccinate","N-Acetyl-Aspartate (NAA)",2.43781373467977e-11,-0.197044334975369
"6593","7-Methylguanine","Valine",2.44194118923681e-11,0.20295566502463
"6594","7-Methylguanine","Nicotinic Acid",2.47987704630832e-11,0.282758620689655
"6595","Adenosine","Lactose/Trehalose",2.49255417925715e-11,-0.198522167487685
"6596","Asparagine","Deoxycarnitine",2.50911769955375e-11,0.24384236453202
"6597","PEP","Putrescine",2.51555530722414e-11,0.317733990147783
"6598","Carnitine","Imidazoleacetic Acid",2.53540993885929e-11,0.341871921182266
"6599","6-Methyladenosine","NAD",2.54034380427648e-11,-0.272413793103448
"6600","Homoarginine","n-Glycylproline",2.54770524049116e-11,0.0123152709359606
"6601","Maleic Acid","Riboflavin",2.5830450908626e-11,0.189655172413793
"6602","Phenylacetic Acid","UDP-Glucose",2.58422838596162e-11,-0.127586206896552
"6603","5'-Methylthioadenosine","Carnosine",2.61601197959288e-11,-0.260098522167488
"6604","3-(4-Hydroxyphenyl)Propionate","cGMP",2.6395694609648e-11,-0.389655172413793
"6605","Agmatine","Sucrose",2.64414693459914e-11,-0.25615763546798
"6606","3-Aminoisobutyrate","Phenylacetic Acid",2.6514450500607e-11,0.16256157635468
"6607","Adenosine","Hydrocinnamic Acid",2.66209399438026e-11,0.133497536945813
"6608","UDP-GlcNAc","Xanthurenic Acid",2.66350228376233e-11,-0.122167487684729
"6609","Creatine","Glutamine",2.6933299516611e-11,0.19064039408867
"6610","Linoleic Acid","Phosphoserine",2.72611172656187e-11,0.285221674876847
"6611","Creatine","Linolenic Acid",2.73461452127888e-11,-0.377339901477832
"6612","Myristic Acid","Ornithine",2.74526389196547e-11,-0.200985221674877
"6613","Adenylosuccinate","Erythrose-4-Phosphate",2.76590362384509e-11,-0.419211822660098
"6614","Adenylosuccinate","Threonine",2.76641617109674e-11,0.250246305418719
"6615","Margaric Acid","Pyridoxamine",2.77539587155141e-11,0.219704433497537
"6616","DHAP/D-GA3P","Hypotaurine",2.77876301483154e-11,-0.0379310344827586
"6617","Pipecolate","Spermidine",2.78694330168629e-11,0.26256157635468
"6618","Anthranilic Acid","G6P",2.81186837549613e-11,-0.149753694581281
"6619","Palmitic Acid","Putrescine",2.83986592914176e-11,-0.0783251231527093
"6620","Choline","Phosphotyrosine",2.84781893187914e-11,-0.296059113300493
"6621","3-(4-Hydroxyphenyl)Propionate","Succinate",2.88525919388227e-11,-0.220197044334975
"6622","Homoarginine","L-2-Aminobutyric Acid",2.88747745989868e-11,0.0369458128078818
"6623","Creatine","Homoarginine",2.906439247129e-11,-0.122660098522167
"6624","7-Methylguanine","GMP",2.91751724035028e-11,0.336945812807882
"6625","N-Ac-L-Glutamine","Sarcosine",2.94608431506473e-11,-0.283251231527094
"6626","Glycerophosphocholine","Histidine",3.02796995935063e-11,0.210837438423645
"6627","Anthranilic Acid","Hypotaurine",3.05964186749239e-11,0.278817733990148
"6628","Glucoronate","Neopterin",3.063065317455e-11,0.329556650246305
"6629","PEP","Uracil",3.09442410418234e-11,0.192118226600985
"6630","AMP","L-Kynurenine",3.10894830582869e-11,-0.422167487684729
"6631","N-AcetylGlycine","UMP",3.16335301298117e-11,-0.228571428571429
"6632","Myristic Acid","Nicotinic Acid",3.18741960664298e-11,0.366009852216749
"6633","Guanine","Trigonelline",3.27117616162064e-11,0.322167487684729
"6634","Glycerol-3-P","iso-Leucine /allo-isoLeucine",3.27496415458071e-11,-0.397536945812808
"6635","3-Aminoisobutyrate","Methionine",3.30765028939351e-11,-0.238423645320197
"6636","FAD","N-Acetyl-Aspartate (NAA)",3.31360139711589e-11,-0.444827586206896
"6637","ADP","Cholesteryl Sulfate",3.31474897013537e-11,-0.248768472906404
"6638","Lysine","Phosphorylcholine",3.33865443716353e-11,-0.242364532019704
"6639","2-Aminoadipate","N-Ac-Phenylalanine",3.33943065062919e-11,0.16256157635468
"6640","Neopterin","Sucrose",3.34057616782281e-11,0.0995073891625616
"6641","Adipic Acid / 3-Methylglutaric Acid","Serine",3.34807144058094e-11,0.0605911330049261
"6642","PEP","Proline",3.3562356644462e-11,-0.218226600985222
"6643","Guanosine","N-Ac-L-Glutamine",3.39143328172274e-11,-0.234975369458128
"6644","G1P/F1P/F6P","N6-Acetyl-Lysine",3.40640843262971e-11,0.145812807881773
"6645","Cholesteryl Sulfate","gamma-Aminobutyrate",3.41231646590099e-11,-0.337931034482759
"6646","5,6-Dihydrouracil","7-Methylguanine",3.42860397181762e-11,0.299507389162562
"6647","Alpha-Ketoglutaric Acid","Erythrose-4-Phosphate",3.42895125847682e-11,0.232019704433498
"6648","Glutamic acid","N6-Trimethyllysine",3.44070814090026e-11,0.187684729064039
"6649","DHAP/D-GA3P","Ornithine",3.44120061075801e-11,-0.277832512315271
"6650","N-Ac-Alanine","N6-Trimethyllysine",3.44712230938348e-11,-0.054679802955665
"6651","Allantoin","PEP",3.46616788675429e-11,-0.166009852216749
"6652","Allantoin","S-Adenosylmethionine (SAM)",3.46825452405626e-11,-0.245812807881773
"6653","cGMP","Indole-2-Carboxylic Acid",3.47055185814295e-11,-0.364039408866995
"6654","2-Aminoadipate","Creatine",3.47124878171727e-11,0.303940886699507
"6655","Carnosine","Glucosamine",3.4742923345544e-11,-0.32807881773399
"6656","Acetylcholine","Dimethylarginine (A/SDMA)",3.51212401309841e-11,-0.362068965517241
"6657","Ethanolamine","Proline",3.5278551047306e-11,-0.314285714285714
"6658","Pipecolate","SAH",3.5278551047306e-11,-0.177832512315271
"6659","N2,N2-Dimethylguanosine","Palmitic Acid",3.5909132181343e-11,0.31871921182266
"6660","Adenylosuccinate","o-Phosphoethanolamine",3.61215126284385e-11,0.295566502463054
"6661","Glutaric Acid","Ribulose 5-Phosphate",3.63776530529851e-11,-0.197044334975369
"6662","Methionine","UDP-Glucose",3.66478761896302e-11,0.204926108374384
"6663","Carnosine","Phenylalanine",3.6679046473725e-11,-0.158620689655172
"6664","7-Methylguanine","Neopterin",3.68188788690922e-11,0.479310344827586
"6665","betaAlanine","Carnosine",3.68675249796439e-11,-0.175369458128079
"6666","Phosphorylcholine","Valine",3.69238921214844e-11,0.235467980295566
"6667","Deoxyguanosine","S-Methylcysteine",3.70472706136132e-11,0.0517241379310345
"6668","3-(4-Hydroxyphenyl)Propionate","Sorbitol",3.70921095615949e-11,-0.371428571428571
"6669","3HBA","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",3.78911825570463e-11,-0.2
"6670","5,6-Dihydrouracil","Homoarginine",3.79956114691740e-11,0.53743842364532
"6671","Glyceraldehyde","Uracil",3.81218038049446e-11,0.294088669950739
"6672","1/3-Methylhistidine","N-Ac-Arginine",3.82610367070809e-11,0.221182266009852
"6673","FAD","Maleic Acid",3.83660611604313e-11,0.316748768472906
"6674","N-Ac-Phenylalanine","N6-Acetyl-Lysine",3.87378110664091e-11,-0.054679802955665
"6675","2-isoPropylmalic Acid","Anthranilic Acid",3.88770447532621e-11,0.187684729064039
"6676","Ornithine","Sedoheptulose 7-Phosphate",3.89137207759886e-11,-0.282266009852217
"6677","Threonine","UDP-GlcNAc",3.90899765617821e-11,0.206403940886699
"6678","Histidine","SAH",3.91018134137114e-11,0.152709359605911
"6679","Neopterin","Pyruvate",3.919315421003e-11,-0.180788177339901
"6680","Citraconic Acid","Lactose/Trehalose",3.93442272488809e-11,-0.191625615763547
"6681","Glycerophosphocholine","Hypotaurine",3.9611015973658e-11,-0.206403940886699
"6682","Adenosine","Glucose",3.96210772023471e-11,-0.261576354679803
"6683","Glycerophosphocholine","Uracil",3.96510647923655e-11,0.244827586206897
"6684","Hydrocinnamic Acid","Margaric Acid",4.0279984560089e-11,0.110344827586207
"6685","Pseudouridine","S-Methylcysteine",4.0326172012181e-11,0.0408866995073892
"6686","Linolenic Acid","N2,N2-Dimethylguanosine",4.03939570587022e-11,0.211330049261084
"6687","Creatine","Fructose",4.05569977058095e-11,0.308866995073892
"6688","Adipic Acid / 3-Methylglutaric Acid","G1P/F1P/F6P",4.06232362744977e-11,-0.197044334975369
"6689","Alanine","Phosphorylcholine",4.06507015876737e-11,0.306896551724138
"6690","Glutamine","Tryptophan",4.07305871475711e-11,-0.130049261083744
"6691","Linolenic Acid","Sorbitol",4.08227424167585e-11,-0.180788177339901
"6692","Histidine","Phosphotyrosine",4.08324412589595e-11,0.0980295566502463
"6693","Glycerophosphocholine","o-Phosphoethanolamine",4.11649354835919e-11,0.188177339901478
"6694","Agmatine","Pseudouridine",4.15655259025164e-11,-0.335960591133005
"6695","2-Hydroxyglutarate","UDP-Glucose",4.158879744055e-11,0.0472906403940887
"6696","3-Aminoisobutyrate","Serine",4.158879744055e-11,0.317241379310345
"6697","Erythrose-4-Phosphate","Glutamine",4.17486004959275e-11,-0.197044334975369
"6698","gamma-Aminobutyrate","Retinol",4.20371517870621e-11,-0.210837438423645
"6699","Adenylosuccinate","Arabitol/Xylitol",4.24962736491777e-11,0.160591133004926
"6700","NADH","Niacinamide",4.33534952560618e-11,-0.26256157635468
"6701","Adenosine","N-AcetylGlycine",4.35242456287647e-11,0.0669950738916256
"6702","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","SAH",4.37446287412231e-11,0.206896551724138
"6703","Carnosine","Riboflavin",4.41749282005693e-11,0.280788177339901
"6704","Adenine","Uracil",4.47197055509996e-11,-0.191625615763547
"6705","Anthranilic Acid","Sedoheptulose 7-Phosphate",4.47887411377748e-11,-0.203448275862069
"6706","Erythrose-4-Phosphate","Xanthurenic Acid",4.48475524998604e-11,-0.117241379310345
"6707","Cytidine","Imidazoleacetic Acid",4.49076555087012e-11,0.152216748768473
"6708","Ethanolamine","Phenylalanine",4.51475165907751e-11,0.207389162561576
"6709","Phosphotyrosine","Pyridoxamine",4.5280570845521e-11,-0.2
"6710","Hypotaurine","Lysine",4.53526063937871e-11,-0.111822660098522
"6711","3-Hydroxyisovaleric Acid","3-Methyl-3-Hydroxyglutaric Acid",4.53832161604849e-11,-0.2935960591133
"6712","Indole-3-Carboxylic Acid","Sorbitol",4.54420828539822e-11,-0.385714285714286
"6713","Biopterin","Creatine",4.56606463447166e-11,0.0724137931034483
"6714","Asparagine","Lactose/Trehalose",4.57332095594506e-11,0.234975369458128
"6715","Citrulline","Pipecolate",4.60117826525903e-11,0.220689655172414
"6716","Hypotaurine","Taurine",4.63928530052201e-11,0.143349753694581
"6717","3-Methyl-3-Hydroxyglutaric Acid","Erythrose-4-Phosphate",4.66162813397802e-11,0.241871921182266
"6718","N-Acetyl-Aspartate (NAA)","UDP-Glucose",4.7845333346779e-11,0.375862068965517
"6719","Cholecalciferol","Lactose/Trehalose",4.83442489472951e-11,-0.13448275862069
"6720","Carnosine","Deoxyguanosine",4.84577493896896e-11,0.120197044334975
"6721","Phosphorylcholine","UDP-Glucose",4.86792806273948e-11,-0.226600985221675
"6722","3-Methyl-3-Hydroxyglutaric Acid","Indole-2-Carboxylic Acid",4.92664457954248e-11,-0.178325123152709
"6723","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Tyrosine",4.9561424894953e-11,0.324630541871921
"6724","Adenosine","Pyruvate",4.99700165238548e-11,-0.193103448275862
"6725","IMP","Xanthurenic Acid",5.0396439383657e-11,0.119704433497537
"6726","Allantoin","Pseudouridine",5.04474584199689e-11,0.0906403940886699
"6727","Biopterin","Trigonelline",5.04633246463548e-11,0.192118226600985
"6728","gamma-Aminobutyrate","Hydrocinnamic Acid",5.07208082389266e-11,-0.137931034482759
"6729","Aminolevulinate","Lactate",5.09516420018051e-11,0.185221674876847
"6730","Cholesteryl Sulfate","Pseudouridine",5.11476140197029e-11,0.116256157635468
"6731","Adipic Acid / 3-Methylglutaric Acid","Inosine",5.11821087503254e-11,-0.12512315270936
"6732","2-Aminoisobutyric Acid","Azelaic Acid",5.1514376145304e-11,0.198522167487685
"6733","DCDP","Sucrose",5.15203661137011e-11,-0.233004926108374
"6734","Homoarginine","Hypotaurine",5.15203661137011e-11,-0.179802955665025
"6735","Anthranilic Acid","N-Ac-L-Glutamine",5.17800797852546e-11,-0.122167487684729
"6736","Deoxyguanosine","Valine",5.1843986460818e-11,-0.388177339901478
"6737","3-Hydroxypropionic Acid","4-Hydroxybenzoic Acid",5.18622506891316e-11,0.32512315270936
"6738","1/3-Methylhistidine","N6-Trimethyllysine",5.20180206342808e-11,0.0906403940886699
"6739","4-Guanidinobutanoate","L-2-Aminobutyric Acid",5.21251501573643e-11,0.272413793103448
"6740","3-(4-Hydroxyphenyl)Propionate","Adenylosuccinate",5.32358314673913e-11,0.435467980295566
"6741","n-Glycylproline","o-Phosphoethanolamine",5.33759324428419e-11,0.13448275862069
"6742","Ethanolamine","Homoarginine",5.35072832829878e-11,0.0955665024630542
"6743","N-Ac-Alanine","Suberic Acid",5.37056620946493e-11,0.178325123152709
"6744","2-Aminoisobutyric Acid","Cysteinyl-Glycine (Cys-Gly)",5.42003406173601e-11,-0.157142857142857
"6745","Histidine","Phenylacetic Acid",5.52145376880202e-11,-0.0763546798029557
"6746","Alpha-Ketoglutaric Acid","UMP",5.57973230549088e-11,0.206403940886699
"6747","Phosphorylcholine","Taurine",5.57973230549088e-11,0.372906403940887
"6748","Agmatine","Arabitol/Xylitol",5.59356954414919e-11,0.212807881773399
"6749","Hypoxanthine","Lactate",5.63777445242033e-11,-0.499507389162561
"6750","4-Pyridoxic Acid","Sedoheptulose 7-Phosphate",5.72075984471211e-11,-0.217241379310345
"6751","Homocitrulline","Leucine /D-Norleucine",5.7308291464012e-11,0.0738916256157635
"6752","3HBA","Margaric Acid",5.74412698670259e-11,0.0142857142857143
"6753","Cytidine","Glutamine",5.76507933428602e-11,-0.216748768472906
"6754","S-Adenosylmethionine (SAM)","Xanthine",5.76708663658117e-11,-0.294088669950739
"6755","Glycine","Guanine",5.88976517331378e-11,0.142364532019704
"6756","3-Methyl-3-Hydroxyglutaric Acid","G1P/F1P/F6P",5.90966499541367e-11,0.248768472906404
"6757","Citraconic Acid","Ethanolamine",5.91865363750424e-11,-0.277339901477832
"6758","Ethanolamine","Glycerol-3-P",5.92036568069918e-11,0.29064039408867
"6759","Aminolevulinate","Pyroglutamic Acid",5.93196749528791e-11,-0.16551724137931
"6760","3-Aminoisobutyrate","Xanthurenic Acid",5.95862344622996e-11,0.180295566502463
"6761","G1P/F1P/F6P","Xanthurenic Acid",5.98446542750328e-11,-0.141379310344828
"6762","N-Ac-Phenylalanine","Ornithine",6.11584500539739e-11,-0.0472906403940887
"6763","Cystathionine","Glutamine",6.13396307861119e-11,-0.093103448275862
"6764","iso-Leucine /allo-isoLeucine","Linolenic Acid",6.18479071082506e-11,0.229556650246305
"6765","1-Methyladenosine","D-Leucic Acid",6.27271161624195e-11,0.0704433497536946
"6766","Allantoin","Pyridoxamine",6.30966091751385e-11,0.303940886699507
"6767","Ornithine","S-Methylcysteine",6.31538459908376e-11,0.248275862068965
"6768","Arabitol/Xylitol","N-Ac-Phenylalanine",6.34236307563109e-11,-0.359113300492611
"6769","Oxidized Glutathione","Pseudouridine",6.34731281770054e-11,-0.286699507389163
"6770","3-Hydroxyisovaleric Acid","Carnosine",6.37001275622870e-11,0.183251231527094
"6771","gamma-Aminobutyrate","Uridine",6.40291732572969e-11,0.25320197044335
"6772","Adenine","Linolenic Acid",6.43815525914271e-11,-0.126108374384236
"6773","cAMP","Maleic Acid",6.45180853351512e-11,-0.203940886699507
"6774","Deoxycarnitine","Orotate",6.45618858626825e-11,0.083743842364532
"6775","ADP","o-Phosphoethanolamine",6.46413393227549e-11,0.23448275862069
"6776","2-Hydroxyphenylacetate","Alanine",6.6207643138123e-11,0.118226600985222
"6777","Carnitine","DCDP",6.62327392694266e-11,0.354187192118227
"6778","Cytidine","N-AcetylGlycine",6.62685173871991e-11,-0.0620689655172414
"6779","D-Leucic Acid","Inosine",6.62685173871991e-11,-0.112315270935961
"6780","Hypoxanthine","N-Ac-L-Glutamine",6.74209154934365e-11,0.254679802955665
"6781","Lactate","Linolenic Acid",6.75938532144302e-11,-0.211330049261084
"6782","o-Phosphoethanolamine","Ornithine",6.80341064884291e-11,-0.070935960591133
"6783","Arginine","Putrescine",6.80533171939697e-11,-0.127093596059113
"6784","Cystathionine","N6-Acetyl-Lysine",6.80630237461104e-11,0.110344827586207
"6785","Sorbitol","Succinate",6.81752347868628e-11,0.10935960591133
"6786","Margaric Acid","Ribulose 5-Phosphate",6.93126101995627e-11,-0.0522167487684729
"6787","N-Ac-Arginine","N6-Trimethyllysine",6.97509010445129e-11,0.306896551724138
"6788","Deoxyguanosine","Sorbitol",7.02128294971760e-11,-0.305911330049261
"6789","Betaine","Carnosine",7.03853860219347e-11,0.277832512315271
"6790","Indole-2-Carboxylic Acid","Reduced Glutathione",7.06015114075988e-11,0.352709359605911
"6791","Glutaric Acid","Taurine",7.07802591952977e-11,0.121182266009852
"6792","Agmatine","Cholesteryl Sulfate",7.07989790320743e-11,-0.0852216748768473
"6793","3-Hydroxyisovaleric Acid","Agmatine",7.08315232205378e-11,-0.286699507389163
"6794","Argininosuccinate","Retinol",7.08671757105914e-11,-0.23448275862069
"6795","Pyruvate","Riboflavin",7.14644080637985e-11,-0.243349753694581
"6796","Glutamic acid","Oxidized Glutathione",7.24173960025479e-11,-0.319704433497537
"6797","Adenylosuccinate","Hypoxanthine",7.3559103345031e-11,0.310837438423645
"6798","betaAlanine","Nicotinic Acid",7.47532973197391e-11,0.4
"6799","3HBA","o-Phosphoethanolamine",7.52886231718597e-11,-0.186699507389163
"6800","3-Methyl-3-Hydroxyglutaric Acid","Alanine",7.55016490348434e-11,-0.229064039408867
"6801","2-isoPropylmalic Acid","Homoarginine",7.57589542557534e-11,-0.295073891625616
"6802","Citraconic Acid","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",7.61915368388025e-11,-0.245812807881773
"6803","Hydrocinnamic Acid","Pipecolate",7.71845921367872e-11,0.266502463054187
"6804","Alanine","Lysine",7.72682523952726e-11,-0.227093596059113
"6805","Lactose/Trehalose","Tryptophan",7.74705237733037e-11,0.171428571428571
"6806","Guanine","IMP",7.77385204008515e-11,0.285714285714286
"6807","Histamine","Taurine",7.82448898011513e-11,0.352216748768473
