"","rowname","colname","p_M","R_M"
"201","D-Leucic Acid","S-Adenosylmethionine (SAM)",1.7560590273883e-78,-0.769950738916256
"202","Ergocalciferol","SAH",1.7592084027089e-78,-0.639901477832512
"203","Citraconic Acid","Methionine",1.82819977831128e-78,-0.701970443349754
"204","Cystathionine","Suberic Acid",1.93587549730614e-78,-0.707881773399015
"205","1-Methylnicotinamide","Biopterin",2.01313536693193e-78,0.669458128078818
"206","2-Hydroxyglutarate","S-Adenosylmethionine (SAM)",2.18123043484164e-78,0.660591133004926
"207","3-(4-Hydroxyphenyl)Propionate","Indole-2-Carboxylic Acid",3.10688706499395e-78,0.657142857142857
"208","Ergocalciferol","Glutaric Acid",3.29231281488048e-78,0.691625615763547
"209","1-Methylnicotinamide","Ergocalciferol",3.92669080002718e-78,0.699014778325123
"210","Biopterin","Indole-3-Carboxylic Acid",3.92669080002718e-78,0.720689655172414
"211","3HBA","Choline",4.8344234995905e-78,0.690147783251231
"212","Indole-2-Carboxylic Acid","Uridine",5.1553174136267e-78,-0.71231527093596
"213","Azelaic Acid","UDP-GlcNAc",5.63929568948249e-78,-0.698522167487685
"214","D-Leucic Acid","Pyruvate",6.00425625993387e-78,-0.742364532019704
"215","1/3-Methylhistidine","Hydrocinnamic Acid",6.12431390447741e-78,-0.685714285714286
"216","3-Hydroxyisovaleric Acid","3HBA",6.33149642371375e-78,0.702463054187192
"217","Ergocalciferol","N-AcetylGlycine",1.69521330163182e-77,0.708374384236453
"218","1-Methylnicotinamide","Pyridoxamine",1.70571828311754e-77,0.719704433497537
"219","2-Hydroxyglutarate","Ergocalciferol",2.01262980375373e-77,-0.617241379310345
"220","Cystathionine","Maleic Acid",2.55182578675223e-77,-0.725615763546798
"221","1/3-Methylhistidine","S-Adenosylmethionine (SAM)",2.57631640187458e-77,0.675862068965517
"222","N-AcetylGlycine","Suberic Acid",3.87338397850477e-77,0.764532019704433
"223","DHAP/D-GA3P","Glycerol-3-P",5.18626657961836e-77,0.828571428571428
"224","N-AcetylGlycine","PEP",6.04356485450161e-77,-0.747783251231527
"225","Azelaic Acid","Cystathionine",8.36005354290242e-77,-0.696059113300493
"226","Glycerophosphocholine","Hydrocinnamic Acid",9.29991898382342e-77,-0.656650246305419
"227","1-Methyladenosine","Biopterin",1.06071571992335e-76,0.751231527093596
"228","2-Hydroxyglutarate","Maleic Acid",1.09380312061265e-76,-0.614285714285714
"229","Retinol","UDP-GlcNAc",1.22937359654377e-76,-0.66256157635468
"230","Choline","Hydrocinnamic Acid",1.80198723246574e-76,0.681773399014778
"231","3-Hydroxyisovaleric Acid","Ergocalciferol",1.95058402563421e-76,0.685221674876847
"232","2-Hydroxyphenylacetate","PEP",2.75398379842492e-76,-0.79064039408867
"233","3HBA","PEP",3.22486459653932e-76,-0.654187192118227
"234","Adipic Acid / 3-Methylglutaric Acid","Betaine",3.66881047454752e-76,0.8
"235","N-Ac-Alanine","Taurine",7.37572341476556e-76,0.730049261083744
"236","Maleic Acid","Urate",7.44478439309763e-76,0.716256157635468
"237","2-Hydroxyphenylacetate","Cholecalciferol",1.19706952877868e-75,0.814778325123153
