"","rowname","colname","p_F","R_F"
"5062","Methionine","Uridine",4.24959137626716e-14,0.261576354679803
"5063","2'-Deoxycytidine","Arginine",4.26486602447968e-14,-0.291133004926108
"5064","Glucoronate","Sorbitol",4.26676008956688e-14,-0.262068965517241
"5065","n-Glycylproline","Xanthurenic Acid",4.27703947408686e-14,0.0123152709359606
"5066","Pipecolate","Spermidine",4.37452733360341e-14,0.185221674876847
"5067","Anthranilic Acid","N-Acetyl-Aspartate (NAA)",4.38578500259677e-14,0.259113300492611
"5068","3HBA","Indole-2-Carboxylic Acid",4.38795240176001e-14,0.37487684729064
"5069","1/3-Methylhistidine","2'-Deoxycytidine",4.44449011012342e-14,0.0684729064039409
"5070","Methionine","N-AcetylGlycine",4.50284843530156e-14,-0.300985221674877
"5071","Phosphoserine","Pyridoxamine",4.57751465103915e-14,-0.260591133004926
"5072","L-Kynurenine","Taurine",4.59920600371012e-14,-0.270443349753695
"5073","6-Methyladenosine","Acetylcholine",4.66140247339093e-14,-0.0926108374384236
"5074","Glucoronate","Myristic Acid",4.66677595948402e-14,0.200492610837438
"5075","Suberic Acid","Uridine",4.66780922367e-14,-0.32807881773399
"5076","Adenosine","DCDP",4.77139048858393e-14,-0.187684729064039
"5077","Homocitrulline","Hypotaurine",4.79201895564897e-14,-0.380295566502463
"5078","Arginine","cGMP",4.80244833769747e-14,-0.20935960591133
"5079","Ergocalciferol","Hypoxanthine",4.88812842013498e-14,0.222167487684729
"5080","2-isoPropylmalic Acid","Retinol",4.9172768581564e-14,0.35320197044335
"5081","D-Leucic Acid","Hypotaurine",4.95918432314341e-14,-0.135467980295566
"5082","3-Hydroxyisovaleric Acid","Indole-3-Carboxylic Acid",4.99521535981576e-14,0.396551724137931
"5083","Hydrocinnamic Acid","N2,N2-Dimethylguanosine",5.01758323766439e-14,-0.147290640394089
"5084","1-Methyladenosine","Choline",5.02969539798446e-14,0.378325123152709
"5085","Aspartic Acid","o-Phosphoethanolamine",5.03319788521304e-14,-0.236453201970443
"5086","Citraconic Acid","L-2-Aminobutyric Acid",5.03707200403843e-14,-0.286206896551724
"5087","Pyroglutamic Acid","UDP-Glucose",5.0828960201461e-14,-0.345812807881773
"5088","Adipic Acid / 3-Methylglutaric Acid","L-2-Aminobutyric Acid",5.17240392050095e-14,-0.165024630541872
"5089","Reduced Glutathione","Urate",5.18424903728195e-14,-0.154679802955665
"5090","5'-Methylthioadenosine","N-Ac-Alanine",5.2239276586245e-14,0.208866995073892
"5091","Histamine","NADH",5.25247252936391e-14,-0.286206896551724
"5092","DCDP","DHAP/D-GA3P",5.26329262248229e-14,-0.211330049261084
"5093","G1P/F1P/F6P","Phenylacetic Acid",5.29415589934935e-14,-0.239901477832512
"5094","Guanosine","n-Glycylproline",5.4132113248357e-14,0.358620689655172
"5095","Alanine","iso-Leucine /allo-isoLeucine",5.41546043250182e-14,0.236945812807882
"5096","Cholecalciferol","NADH",5.41753620284397e-14,-0.286699507389163
"5097","Cysteinyl-Glycine (Cys-Gly)","Sorbitol",5.42251239744016e-14,-0.251231527093596
"5098","N-Ac-Alanine","S-Adenosylmethionine (SAM)",5.43073252123071e-14,0.246305418719212
"5099","3-Methyl-3-Hydroxyglutaric Acid","Kynurenic Acid",5.44462124127253e-14,-0.00147783251231527
"5100","Glycerophosphocholine","Neopterin",5.52749568916309e-14,-0.355665024630542
"5101","Alpha-Ketoglutaric Acid","Thiamine",5.57229032042388e-14,0.144334975369458
"5102","Glucoronate","Succinate",5.61815900878832e-14,-0.19064039408867
"5103","Histidine","Phosphorylcholine",5.61815900878832e-14,0.28128078817734
"5104","Betaine","Pyroglutamic Acid",5.61877183058475e-14,-0.339408866995074
"5105","NADH","Pyroglutamic Acid",5.70488137760453e-14,0.212315270935961
"5106","Linoleic Acid","Putrescine",5.84719385070702e-14,0.452216748768473
"5107","iso-Leucine /allo-isoLeucine","Threonine",5.85500267028688e-14,0.475862068965517
"5108","Lactate","S-Methylcysteine",5.8880315159689e-14,-0.326108374384236
"5109","2'-Deoxycytidine","Phosphoserine",5.91987847474201e-14,0.150246305418719
"5110","Carnosine","S-Adenosylmethionine (SAM)",5.95769731541728e-14,0.209852216748768
"5111","Lactate","N-Acetyl-Aspartate (NAA)",5.98964483205479e-14,0.235960591133005
"5112","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Adenosine",6.10273492175078e-14,0.342364532019704
"5113","Citraconic Acid","Ergocalciferol",6.11640283290674e-14,0.22512315270936
"5114","Argininosuccinate","Methionine",6.12018609243881e-14,0.333990147783251
"5115","3-Methyl-3-Hydroxyglutaric Acid","Ribulose 5-Phosphate",6.15466681562009e-14,-0.296059113300493
"5116","Allantoin","DHAP/D-GA3P",6.15549578338217e-14,-0.294581280788177
"5117","DCDP","Methionine",6.17999634075817e-14,0.313793103448276
"5118","Allantoin","Palmitic Acid",6.23985788052006e-14,0.363054187192118
"5119","3HBA","Suberic Acid",6.26898008295092e-14,0.279310344827586
"5120","Glutaric Acid","L-2-Aminobutyric Acid",6.28518231073157e-14,-0.178817733990148
"5121","Pantothenate","Putrescine",6.30224599182475e-14,0.366995073891626
"5122","2-Aminoisobutyric Acid","Reduced Glutathione",6.30389612933523e-14,0.198522167487685
"5123","3HBA","Agmatine",6.34280986317144e-14,-0.201970443349754
"5124","Kynurenic Acid","Ribose-5-P",6.35186998391757e-14,0.214285714285714
"5125","4-Pyridoxic Acid","Pyridoxamine",6.40098386995169e-14,-0.304433497536946
"5126","gamma-Aminobutyrate","Spermidine",6.42171082132876e-14,0.310837438423645
"5127","D-Leucic Acid","Trigonelline",6.49773033583803e-14,0.151231527093596
"5128","2-isoPropylmalic Acid","Sedoheptulose 7-Phosphate",6.62828969702954e-14,-0.201970443349754
"5129","7-Methylguanine","Glutaric Acid",6.65986249217433e-14,-0.260098522167488
"5130","N-AcetylGlycine","Uridine",6.71401905110641e-14,-0.378817733990148
"5131","Sorbitol","Succinate",6.73981563392504e-14,0.0793103448275862
"5132","Glycine","Phenylalanine",6.74411826938701e-14,-0.208374384236453
"5133","Cytidine","gamma-Aminobutyrate",6.77296041862937e-14,0.38128078817734
"5134","6-Methyladenosine","Arginine",6.77327927345276e-14,0.24679802955665
"5135","ADP","Linolenic Acid",6.77483664481402e-14,0.267487684729064
"5136","1/3-Methylhistidine","Pipecolate",6.8257608281057e-14,0.209852216748768
"5137","AMP","Glutaric Acid",6.89010057035863e-14,-0.130541871921182
"5138","Adenosine","Pyroglutamic Acid",6.94772835726099e-14,-0.130541871921182
"5139","Hypotaurine","Phosphorylcholine",6.96110723819866e-14,0.253694581280788
"5140","Alpha-Ketoglutaric Acid","gamma-Aminobutyrate",6.98414596678085e-14,0.279310344827586
"5141","Aspartic Acid","Ribulose 5-Phosphate",7.03840056797313e-14,0.206403940886699
"5142","Cholesteryl Sulfate","Dimethylarginine (A/SDMA)",7.19248772391549e-14,-0.175862068965517
"5143","1-Methyladenosine","7-Methylguanine",7.21770389889678e-14,0.464532019704433
"5144","5'-Methylthioadenosine","Proline",7.2549456439348e-14,0.408374384236453
"5145","Arginine","Cytidine",7.26969632476324e-14,-0.333004926108374
"5146","gamma-Aminobutyrate","Putrescine",7.36876982024526e-14,0.341871921182266
"5147","Glucosamine","Sedoheptulose 7-Phosphate",7.390441216245e-14,0.349753694581281
"5148","Choline","Glycine",7.42632223142056e-14,0.285221674876847
"5149","Niacinamide","Reduced Glutathione",7.44757723086501e-14,-0.361083743842364
"5150","AMP","Maleic Acid",7.56966837102767e-14,-0.126600985221675
"5151","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Pipecolate",7.58707278500652e-14,-0.346305418719212
"5152","Pyruvate","Trigonelline",7.61985463972378e-14,-0.332512315270936
"5153","Alanine","G6P",7.65335669564968e-14,-0.407389162561576
"5154","6-Methyladenosine","Uridine",7.79048234781404e-14,-0.233990147783251
"5155","Histidine","Imidazoleacetic Acid",7.8338559982221e-14,0.433497536945813
"5156","Pseudouridine","Pyroglutamic Acid",7.83500176499962e-14,0.170935960591133
"5157","Margaric Acid","Phenylacetic Acid",7.93170523281315e-14,0.245812807881773
"5158","Guanosine","Phosphotyrosine",8.0867287786008e-14,0.24384236453202
"5159","Argininosuccinate","L-2-Aminobutyric Acid",8.1294855806576e-14,0.149261083743842
"5160","3-Methyl-3-Hydroxyglutaric Acid","Asparagine",8.14584813606478e-14,0.236453201970443
"5161","Erythrose-4-Phosphate","Glyceraldehyde",8.2381163075257e-14,0.252709359605911
"5162","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Carnitine",8.33343642245859e-14,-0.253694581280788
"5163","3-Methyl-3-Hydroxyglutaric Acid","Linolenic Acid",8.39249792384932e-14,0.305911330049261
"5164","Erythrose-4-Phosphate","Spermidine",8.41941340185673e-14,0.373891625615764
"5165","Alanine","Allantoin",8.44138307699975e-14,0.207389162561576
"5166","AMP","Hypoxanthine",8.4987141353193e-14,-0.278817733990148
"5167","Cytidine","Sorbitol",8.4987141353193e-14,-0.339408866995074
"5168","Adenylosuccinate","Arabitol/Xylitol",8.56280581518722e-14,0.356650246305419
"5169","gamma-Aminobutyrate","Glutamic acid",8.59404422334832e-14,0.662068965517241
"5170","4-Guanidinobutanoate","SAH",8.6866349986619e-14,-0.259605911330049
"5171","Inosine","SAH",8.72167479800763e-14,-0.0817733990147783
"5172","Adenylosuccinate","Adipic Acid / 3-Methylglutaric Acid",8.84910876469723e-14,-0.268965517241379
"5173","Carnitine","N2,N2-Dimethylguanosine",8.84910876469723e-14,0.328571428571429
"5174","Arginine","Urate",8.90484021069919e-14,0.225615763546798
"5175","betaAlanine","Inosine",8.90881022426885e-14,0.440394088669951
"5176","Anthranilic Acid","S-Adenosylmethionine (SAM)",8.92634111784703e-14,-0.306403940886699
"5177","Palmitic Acid","Pantothenate",8.9796948791951e-14,0.261576354679803
"5178","2-isoPropylmalic Acid","Kynurenic Acid",9.03289566226451e-14,-0.20935960591133
"5179","NAD","Thiamine",9.03289566226451e-14,0.231034482758621
"5180","Phosphoserine","Reduced Glutathione",9.0846572910999e-14,0.169458128078818
"5181","Anthranilic Acid","cGMP",9.13641890282409e-14,-0.235467980295566
"5182","2-Hydroxyphenylacetate","4-Guanidinobutanoate",9.14603997581877e-14,0.213793103448276
"5183","cGMP","Sorbitol",9.35918547379449e-14,-0.154679802955665
"5184","3HBA","Azelaic Acid",9.37205317122946e-14,0.279802955665025
"5185","Glutamic acid","iso-Leucine /allo-isoLeucine",9.4942345712958e-14,0.335960591133005
"5186","Arabitol/Xylitol","Ribulose 5-Phosphate",9.50402000436347e-14,-0.176354679802956
"5187","Glutaric Acid","Hypotaurine",9.61280273851013e-14,-0.204926108374384
"5188","Taurine","Uridine",9.61280273851013e-14,-0.470443349753694
"5189","Linoleic Acid","Retinol",9.7578746470966e-14,0.457142857142857
"5190","7-Methylguanine","Guanosine",9.77999774139757e-14,0.212807881773399
"5191","Ornithine","Sorbitol",9.80935495857475e-14,0.223645320197044
"5192","Arginine","Xanthine",9.86253304604888e-14,0.237931034482759
"5193","1-Methylnicotinamide","Hydrocinnamic Acid",9.86741567132311e-14,0.397536945812808
"5194","Pyruvate","Xanthosine",9.91814520697981e-14,0.193103448275862
"5195","Azelaic Acid","N6-Acetyl-Lysine",1.0123015004391e-13,-0.332019704433497
"5196","Asparagine","Carnosine",1.02452799061389e-13,0.107389162561576
"5197","Hypotaurine","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",1.02452799061389e-13,-0.31871921182266
"5198","L-2-Aminobutyric Acid","Sorbitol",1.03801297600676e-13,-0.232019704433498
"5199","DHAP/D-GA3P","Trigonelline",1.03889367043021e-13,0.212315270935961
"5200","cGMP","Serine",1.03957274808967e-13,-0.149261083743842
"5201","Cholesteryl Sulfate","Thiamine",1.04257458144323e-13,-0.210344827586207
"5202","Acetylcholine","Ergocalciferol",1.04514301335187e-13,-0.198029556650246
"5203","2'-Deoxycytidine","Asparagine",1.04607487834656e-13,0.0827586206896552
"5204","2-Hydroxyisobutyrate/2-Hydroxybutyrate","o-Phosphoethanolamine",1.05150592534908e-13,-0.264532019704433
"5205","Arabitol/Xylitol","Kynurenic Acid",1.05218028104427e-13,0.159605911330049
"5206","Glucoronate","Suberic Acid",1.05390465171436e-13,-0.224630541871921
"5207","Carnitine","Glycerol-3-P",1.06308183339877e-13,-0.425615763546798
"5208","AMP","Spermidine",1.07251011519471e-13,0.152709359605911
"5209","ADP","gamma-Aminobutyrate",1.08304606686841e-13,0.314285714285714
"5210","DHAP/D-GA3P","Guanosine",1.09365879634453e-13,-0.157635467980296
"5211","Homocitrulline","Ribose-5-P",1.09745457093106e-13,0.450738916256158
"5212","6-Methyladenosine","Citraconic Acid",1.09892382574721e-13,0.198522167487685
"5213","Maleic Acid","Trigonelline",1.11075841083245e-13,0.247290640394089
"5214","Creatine","Pyroglutamic Acid",1.12483859016797e-13,-0.2
"5215","Hydrocinnamic Acid","Serine",1.1249613827454e-13,0.216256157635468
"5216","Erythrose-4-Phosphate","Glycerol-3-P",1.15180304957989e-13,0.449261083743842
"5217","N-Acetyl-Aspartate (NAA)","Neopterin",1.18791757992895e-13,-0.432019704433497
"5218","N-Acetyl-Aspartate (NAA)","Pipecolate",1.19224125899138e-13,-0.0344827586206896
"5219","Acetylcholine","Anthranilic Acid",1.19248232400606e-13,-0.182758620689655
"5220","3-Methyl-3-Hydroxyglutaric Acid","Trigonelline",1.19782488081324e-13,-0.0605911330049261
"5221","Citrulline","Urate",1.20193540060231e-13,0.238916256157635
"5222","Alpha-Ketoglutaric Acid","Hypotaurine",1.20645352213515e-13,0.368472906403941
"5223","GMP","Xanthine",1.20805315412756e-13,-0.332512315270936
"5224","N6-Acetyl-Lysine","Pseudouridine",1.21261992528184e-13,0.4
"5225","Phenylacetic Acid","Suberic Acid",1.21899666941812e-13,0.192610837438424
"5226","L-2-Aminobutyric Acid","Spermidine",1.23578476065226e-13,0.315763546798029
"5227","Leucine /D-Norleucine","Pyroglutamic Acid",1.24725459261558e-13,0.361576354679803
"5228","7-Methylguanine","Betaine",1.26443781957855e-13,-0.347290640394089
"5229","betaAlanine","Lysine",1.27264796271701e-13,0.424630541871921
"5230","Betaine","Linolenic Acid",1.27763451849465e-13,-0.263054187192118
"5231","Aspartic Acid","Guanosine",1.28150570883908e-13,-0.248768472906404
"5232","7-Methylguanine","Xanthurenic Acid",1.30198286840258e-13,0.435960591133005
"5233","cGMP","Cystathionine",1.30806659848176e-13,0.170443349753695
"5234","Dimethylarginine (A/SDMA)","Lactose/Trehalose",1.3151177831196e-13,-0.469458128078818
"5235","Biopterin","Uridine",1.33332331801687e-13,-0.422167487684729
"5236","N-Acetyl-Aspartate (NAA)","Uridine",1.34328677894238e-13,-0.224630541871921
"5237","Glycine","Maleic Acid",1.351271032143e-13,0.197536945812808
"5238","L-2-Aminobutyric Acid","Suberic Acid",1.38754582916282e-13,-0.163546798029557
"5239","Methionine","Sorbitol",1.38944534606186e-13,-0.227586206896552
"5240","Histamine","Homoarginine",1.3952225122545e-13,-0.0916256157635468
"5241","Asparagine","Phosphorylcholine",1.39901785544638e-13,0.196059113300493
"5242","Homoarginine","Xanthine",1.4032356042881e-13,-0.305418719211823
"5243","5,6-Dihydrouracil","N-Ac-L-Glutamine",1.41525420867728e-13,0.12512315270936
"5244","Azelaic Acid","Glycerol-3-P",1.446821399215e-13,0.310344827586207
"5245","G6P","Urate",1.44770080909663e-13,-0.328571428571429
"5246","3-Hydroxypropionic Acid","Argininosuccinate",1.44775193584867e-13,-0.163546798029557
"5247","2-Hydroxyphenylacetate","Trigonelline",1.44893183463193e-13,0.206403940886699
"5248","Histidine","Tryptophan",1.45857345550969e-13,0.199507389162562
"5249","AMP","cGMP",1.49598327054094e-13,0.139901477832512
"5250","Guanine","Sarcosine",1.53800650358949e-13,-0.295073891625616
"5251","AMP","Pipecolate",1.54451591883418e-13,0.123152709359606
"5252","Oxidized Glutathione","Pyruvate",1.54933969404097e-13,0.344827586206896
"5253","Hypotaurine","Neopterin",1.54975098619871e-13,0.150246305418719
"5254","Cysteinyl-Glycine (Cys-Gly)","N2,N2-Dimethylguanosine",1.55056052710402e-13,0.349261083743842
"5255","1-Methyladenosine","Pseudouridine",1.55887886910066e-13,0.228571428571429
"5256","Tyrosine","Xanthine",1.57839386456122e-13,0.349261083743842
"5257","Asparagine","n-Glycylproline",1.59898292065998e-13,0.118226600985222
"5258","Pipecolate","Valine",1.59993937812389e-13,0.213793103448276
"5259","Deoxycarnitine","Sucrose",1.60389171336352e-13,0.38423645320197
"5260","Betaine","Histidine",1.61397008959937e-13,-0.303940886699507
"5261","Erythrose-4-Phosphate","Succinylcarnitine",1.63033763474316e-13,0.327586206896552
"5262","3-Methyl-3-Hydroxyglutaric Acid","PEP",1.63285507999638e-13,0.322167487684729
"5263","3-Methyl-3-Hydroxyglutaric Acid","Homoarginine",1.64859190065619e-13,-0.070935960591133
"5264","N-Ac-Alanine","Phenylacetic Acid",1.64994208916196e-13,-0.315763546798029
"5265","Adenosine","Hypoxanthine",1.66643046064444e-13,0.218226600985222
"5266","Arabitol/Xylitol","Ethanolamine",1.67800649470097e-13,-0.166009852216749
"5267","2-Aminoadipate","Phosphotyrosine",1.67928031384464e-13,0.151724137931034
"5268","Adipic Acid / 3-Methylglutaric Acid","Thiamine",1.68464912419571e-13,-0.207881773399015
"5269","6-Methyladenosine","N-Acetyl-Aspartate (NAA)",1.70701897883031e-13,0.0817733990147783
"5270","DCDP","iso-Leucine /allo-isoLeucine",1.74948930286387e-13,0.248768472906404
"5271","Phosphorylcholine","Phosphotyrosine",1.75046533383144e-13,0.103940886699507
"5272","L-2-Aminobutyric Acid","Ribulose 5-Phosphate",1.75748072156835e-13,-0.275862068965517
"5273","3-Methyl-3-Hydroxyglutaric Acid","Serine",1.76840109577701e-13,-0.3
"5274","Dimethylglycine","N-Acetyl-Aspartate (NAA)",1.77242045599866e-13,-0.211330049261084
"5275","3-Aminoisobutyrate","Glucoronate",1.77912744618145e-13,0.275369458128079
"5276","6-Methyladenosine","Glutaric Acid",1.78625149985469e-13,0.226600985221675
"5277","Pyruvate","Ribose-5-P",1.79006995764577e-13,0.289162561576355
"5278","Palmitic Acid","Putrescine",1.79525471340793e-13,0.32807881773399
"5279","Hypoxanthine","Inosine",1.80304774661045e-13,0.284729064039409
"5280","Retinol","Xanthine",1.81727351606119e-13,0.254679802955665
"5281","SAH","Succinate",1.82625193390925e-13,-0.21871921182266
"5282","2-Hydroxyisobutyrate/2-Hydroxybutyrate","L-2-Aminobutyric Acid",1.8403178669994e-13,-0.28423645320197
"5283","Creatine","Neopterin",1.85203237413162e-13,-0.276354679802956
"5284","Pseudouridine","Suberic Acid",1.85555542323597e-13,-0.459113300492611
"5285","Creatine","UDP-GlcNAc",1.85953111080672e-13,-0.154187192118227
"5286","Pantothenate","Serine",1.86540388577653e-13,0.365024630541872
"5287","2-isoPropylmalic Acid","3-Hydroxyisovaleric Acid",1.86992026266861e-13,0.250738916256158
"5288","3-Methyl-3-Hydroxyglutaric Acid","DCDP",1.89168859797583e-13,0.347290640394089
"5289","N2,N2-Dimethylguanosine","NADH",1.9391259975221e-13,0.205911330049261
"5290","Cholecalciferol","Thiamine",1.94959244243788e-13,-0.272906403940887
"5291","3-Hydroxyisovaleric Acid","Linoleic Acid",1.96016118899913e-13,0.370935960591133
"5292","Hydrocinnamic Acid","Uridine",1.9635508971552e-13,-0.140394088669951
"5293","Linolenic Acid","Reduced Glutathione",2.00292801325822e-13,0.320689655172414
"5294","ADP","Cadaverine",2.00780133250707e-13,-0.293103448275862
"5295","Palmitic Acid","Pyridoxamine",2.02424520867639e-13,0.40295566502463
"5296","Succinate","Xanthosine",2.02525207250647e-13,-0.139901477832512
"5297","3-(4-Hydroxyphenyl)Propionate","N-Ac-Alanine",2.03142034124941e-13,-0.277832512315271
"5298","2-isoPropylmalic Acid","Glucosamine",2.04784561291122e-13,-0.268965517241379
"5299","Adenine","Histamine",2.05726308904349e-13,-0.0285714285714286
"5300","L-2-Aminobutyric Acid","N2,N2-Dimethylguanosine",2.06925144250649e-13,0.150738916256158
"5301","Guanosine","Pseudouridine",2.07006166453425e-13,0.395566502463054
"5302","AMP","Xanthurenic Acid",2.07980435332113e-13,0.217241379310345
"5303","Phosphoserine","Phosphotyrosine",2.09686745850824e-13,0.00492610837438424
"5304","Adenosine","Margaric Acid",2.12313577793656e-13,0.170935960591133
"5305","Lysine","UDP-GlcNAc",2.1252279285317e-13,-0.293103448275862
"5306","Dimethylglycine","Lactate",2.12717340261899e-13,-0.204433497536946
"5307","Acetylcarnitine","Proline",2.13027611619249e-13,0.413300492610837
"5308","Cysteinyl-Glycine (Cys-Gly)","Phenylacetic Acid",2.1484925672695e-13,-0.139901477832512
"5309","2-Aminoadipate","Adenosine",2.17931747794383e-13,-0.299507389162562
"5310","Leucine /D-Norleucine","n-Glycylproline",2.19272263224125e-13,0.395566502463054
"5311","Cholecalciferol","Trigonelline",2.19990186137632e-13,0.154679802955665
"5312","Cytidine","Methionine",2.28822192330664e-13,0.333004926108374
"5313","Pantothenate","Xanthine",2.29254785241335e-13,0.365024630541872
"5314","Pyroglutamic Acid","Riboflavin",2.2940304749287e-13,0.226600985221675
"5315","Agmatine","AMP",2.30041688135399e-13,0.274384236453202
"5316","5'-Methylthioadenosine","Adenine",2.32224527290618e-13,-0.0630541871921182
"5317","2'-Deoxycytidine","Pipecolate",2.37583425290491e-13,0.199014778325123
"5318","2-isoPropylmalic Acid","Deoxyguanosine",2.38674701132427e-13,0.435960591133005
"5319","4-Pyridoxic Acid","Valine",2.41376551526277e-13,0.436453201970443
"5320","2-isoPropylmalic Acid","Linoleic Acid",2.41582732414573e-13,0.29064039408867
"5321","Imidazoleacetic Acid","Nicotinic Acid",2.42215354894775e-13,0.403940886699507
"5322","N-Ac-Alanine","Reduced Glutathione",2.47751564058664e-13,0.216748768472906
"5323","Homocitrulline","Valine",2.50248439269812e-13,-0.269950738916256
"5324","Urate","Uridine",2.51018667316221e-13,-0.252709359605911
"5325","Glucoronate","Palmitic Acid",2.53743479214776e-13,0.277339901477832
"5326","Guanosine","Tryptophan",2.55248884753734e-13,0.126600985221675
"5327","Adenine","Oxalacetate",2.61349949492385e-13,0.342857142857143
"5328","3-Aminoisobutyrate","cGMP",2.64783184492886e-13,0.298029556650246
"5329","Ergocalciferol","Taurine",2.64946442788189e-13,0.353694581280788
"5330","Ornithine","Pyruvate",2.66339455945834e-13,-0.162068965517241
"5331","7-Methylguanine","N-Ac-Arginine",2.69913831594065e-13,0.541379310344827
"5332","Argininosuccinate","Oxalacetate",2.69913831594065e-13,-0.223152709359606
"5333","N-Ac-L-Glutamine","Valine",2.70322439605399e-13,0.335960591133005
"5334","Choline","Glutamic acid",2.70450773144631e-13,0.327093596059113
"5335","7-Methylguanine","Uracil",2.72634532340466e-13,0.241871921182266
"5336","5,6-Dihydrouracil","cAMP",2.73779323464321e-13,0.281773399014778
"5337","Alanine","Tyrosine",2.76235644753432e-13,0.330541871921182
"5338","Ribose-5-P","Succinylcarnitine",2.76657655821575e-13,0.286699507389163
"5339","Hypoxanthine","o-Phosphoethanolamine",2.78131665562248e-13,-0.241379310344828
"5340","G1P/F1P/F6P","Glucosamine",2.80033115040204e-13,0.269950738916256
"5341","Linoleic Acid","Ribulose 5-Phosphate",2.80489756317642e-13,-0.459605911330049
"5342","6-Methyladenosine","Cadaverine",2.83337713098396e-13,0.221674876847291
"5343","1-Methylnicotinamide","cGMP",2.84494507268501e-13,-0.303940886699507
"5344","2-Hydroxyphenylacetate","Methionine",2.88041722807919e-13,-0.186699507389163
"5345","Reduced Glutathione","Xanthosine",2.88509363958286e-13,0.191133004926108
"5346","Aspartic Acid","Cadaverine",2.9212482028902e-13,0.366502463054187
"5347","2-Aminoisobutyric Acid","3-(4-Hydroxyphenyl)Propionate",2.9478579018957e-13,-0.344827586206896
"5348","Azelaic Acid","Ergocalciferol",2.97084635797506e-13,0.248768472906404
"5349","Pyruvate","Serine",2.98539681953379e-13,-0.281773399014778
"5350","N-Acetyl-Aspartate (NAA)","Threonine",2.99051172201826e-13,-0.288177339901478
"5351","Azelaic Acid","Cytidine",2.99585177003645e-13,-0.25320197044335
"5352","2-Aminoadipate","3-Hydroxyisovaleric Acid",3.03666473298878e-13,-0.304433497536946
"5353","Pyroglutamic Acid","Sorbitol",3.08213811581319e-13,-0.176847290640394
"5354","Arginine","L-Kynurenine",3.08316388564311e-13,-0.230541871921182
"5355","Ergocalciferol","Suberic Acid",3.10780251488905e-13,0.199507389162562
"5356","N-Ac-Alanine","UDP-GlcNAc",3.16983217716215e-13,0.251231527093596
"5357","Indole-3-Carboxylic Acid","PEP",3.18100118393124e-13,-0.292118226600985
"5358","7-Methylguanine","Histamine",3.18299555124752e-13,-0.168965517241379
"5359","Acetylcholine","Creatine",3.18299555124752e-13,-0.249753694581281
"5360","N-AcetylGlycine","S-Methylcysteine",3.18336725816924e-13,-0.427586206896552
"5361","Phenylacetic Acid","Pipecolate",3.23774400943627e-13,-0.331527093596059
"5362","2'-Deoxycytidine","Phenylacetic Acid",3.24311682641399e-13,-0.256650246305419
"5363","5,6-Dihydrouracil","UDP-GlcNAc",3.28756396600423e-13,0.126108374384236
"5364","Aminolevulinate","UMP",3.3003599877344e-13,0.324630541871921
"5365","3-Hydroxyisovaleric Acid","Ornithine",3.31343910283749e-13,0.107881773399015
"5366","3-Hydroxypropionic Acid","Betaine",3.31784175974984e-13,0.188669950738916
"5367","Anthranilic Acid","NAD",3.32985870468758e-13,-0.243349753694581
"5368","3-Aminoisobutyrate","Guanosine",3.3426338527258e-13,0.211330049261084
"5369","G6P","NAD",3.34472701782955e-13,0.324137931034483
"5370","Aminolevulinate","S-Adenosylmethionine (SAM)",3.3959019209504e-13,0.324137931034483
"5371","4-Hydroxybenzoic Acid","DCDP",3.40200976318041e-13,0.508374384236453
"5372","2-isoPropylmalic Acid","Indole-3-Carboxylic Acid",3.40419444653226e-13,0.288669950738916
"5373","D-Leucic Acid","Neopterin",3.40525263219604e-13,-0.243349753694581
"5374","Carnosine","Choline",3.41440499785772e-13,-0.249753694581281
"5375","Cystathionine","Histamine",3.45545921345558e-13,-0.067487684729064
"5376","Indole-2-Carboxylic Acid","Kynurenic Acid",3.47159979931231e-13,-0.176847290640394
"5377","Margaric Acid","N-AcetylGlycine",3.48123009558175e-13,0.300985221674877
"5378","Adenine","Ornithine",3.49928747306554e-13,0.283743842364532
"5379","Phosphorylcholine","Pyridoxamine",3.49928747306554e-13,-0.289162561576355
"5380","Biopterin","Riboflavin",3.59362010277354e-13,0.102955665024631
"5381","Glyceraldehyde","Serine",3.61067872262019e-13,-0.27192118226601
"5382","Aminolevulinate","Sorbitol",3.61141285635349e-13,-0.297536945812808
"5383","2-Hydroxyphenylacetate","Lysine",3.6160039943442e-13,0.242857142857143
"5384","Inosine","N-AcetylGlycine",3.6448517889893e-13,0.166502463054187
"5385","Agmatine","Neopterin",3.68044779198166e-13,0.224630541871921
"5386","Ergocalciferol","G1P/F1P/F6P",3.70321920125897e-13,-0.233990147783251
"5387","ADP","Succinate",3.74308797617880e-13,-0.0955665024630542
"5388","2-Aminoadipate","Alpha-Ketoglutaric Acid",3.75798544931944e-13,0.104926108374384
"5389","Succinate","Thiamine",3.77411526664031e-13,-0.175862068965517
"5390","3-(4-Hydroxyphenyl)Propionate","Ornithine",3.79629766393939e-13,0.124137931034483
"5391","Maleic Acid","Uridine",3.81541335472866e-13,-0.189655172413793
"5392","Glucosamine","Urate",3.82567968740908e-13,-0.130541871921182
"5393","o-Phosphoethanolamine","Xanthine",3.87137525358997e-13,-0.347783251231527
