"","rowname","colname","p_F","R_F"
"184","Adipic Acid / 3-Methylglutaric Acid","Maleic Acid",6.99103562072988e-63,0.678817733990148
"185","Argininosuccinate","GMP",8.95916052838228e-63,0.547290640394089
"186","Arabitol/Xylitol","Pyruvate",1.1021483332393e-62,0.624137931034483
"187","Glyceraldehyde","Reduced Glutathione",1.11572132268726e-62,0.668472906403941
"188","GMP","NAD",1.18352957593439e-62,0.708374384236453
"189","Cholecalciferol","Hydrocinnamic Acid",1.33785034791378e-62,0.580295566502463
"190","Indole-3-Carboxylic Acid","Palmitic Acid",1.37068556861815e-62,0.754679802955665
"191","Alpha-Ketoglutaric Acid","Hydrocinnamic Acid",1.40426314266271e-62,-0.577339901477832
"192","3-(4-Hydroxyphenyl)Propionate","UDP-GlcNAc",1.41464275005796e-62,-0.549261083743842
"193","Adipic Acid / 3-Methylglutaric Acid","Agmatine",2.20088512034424e-62,-0.626600985221675
"194","3-Methyl-3-Hydroxyglutaric Acid","Alpha-Ketoglutaric Acid",2.66575580228199e-62,0.593103448275862
"195","Argininosuccinate","Hydrocinnamic Acid",3.47644561333124e-62,-0.499014778325123
"196","Argininosuccinate","Spermidine",3.68706612752014e-62,0.520197044334975
"197","Alpha-Ketoglutaric Acid","Cholecalciferol",4.1042936050995e-62,-0.568472906403941
"198","2-Hydroxyphenylacetate","4-Pyridoxic Acid",4.56524774815881e-62,-0.724137931034483
"199","Indole-2-Carboxylic Acid","Palmitic Acid",4.75137019783479e-62,0.757142857142857
"200","IMP","Inosine",5.60719716372531e-62,-0.766995073891625
"201","ADP","Pyruvate",1.56727856931031e-61,0.552709359605911
"202","4-Pyridoxic Acid","Betaine",2.07359247153842e-61,-0.644334975369458
"203","IMP","Maleic Acid",2.5737488327486e-61,-0.539408866995074
"204","2-Hydroxyphenylacetate","Phosphotyrosine",2.7266705849016e-61,-0.539901477832512
"205","Citraconic Acid","Hydrocinnamic Acid",3.59035984682299e-61,0.674384236453202
"206","cGMP","Choline",3.76551522434682e-61,-0.605911330049261
"207","Agmatine","Glutaric Acid",4.23187794070234e-61,-0.595566502463054
"208","Spermidine","Suberic Acid",5.37298479470904e-61,-0.70935960591133
"209","Argininosuccinate","Maleic Acid",5.86329353481451e-61,-0.513300492610837
"210","Succinylcarnitine","Uracil",6.45446501226489e-61,0.593103448275862
"211","Hydrocinnamic Acid","Spermidine",7.7968141589744e-61,-0.608374384236453
"212","Adipic Acid / 3-Methylglutaric Acid","Betaine",8.07744726724704e-61,0.711330049261084
"213","Alpha-Ketoglutaric Acid","NAD",1.27551972101394e-60,0.636453201970443
"214","Alpha-Ketoglutaric Acid","IMP",1.47757100485826e-60,0.600492610837438
"215","1/3-Methylhistidine","Argininosuccinate",1.58082751798847e-60,0.609852216748768
"216","1/3-Methylhistidine","Pyruvate",1.90799161371104e-60,0.66551724137931
"217","4-Pyridoxic Acid","Succinate",2.0048545615093e-60,-0.713300492610837
"218","2-Hydroxyphenylacetate","N-Acetyl-Aspartate (NAA)",2.09004518596247e-60,0.523645320197044
"219","Carnosine","Cystine",2.13207905577287e-60,-0.594581280788177
"220","Argininosuccinate","NAD",2.80656286802096e-60,0.53448275862069
"221","Alpha-Ketoglutaric Acid","Arabitol/Xylitol",2.85332181284882e-60,0.551724137931034
"222","Hydrocinnamic Acid","UDP-GlcNAc",3.61086752209487e-60,-0.587192118226601
"223","Adenine","GMP",3.74139358180072e-60,-0.589162561576355
"224","2-Aminoisobutyric Acid","4-Pyridoxic Acid",4.37359592683129e-60,0.725123152709359
"225","2-Aminoisobutyric Acid","N-Ac-Alanine",4.47286853660686e-60,0.663054187192118
"226","Aspartic Acid","Succinylcarnitine",5.44597676831802e-60,-0.490147783251231
"227","4-Pyridoxic Acid","Adenosine",7.41033628739665e-60,-0.551231527093596
"228","Erythrose-4-Phosphate","Xanthine",7.42560852079611e-60,-0.726600985221675
"229","Alpha-Ketoglutaric Acid","Phosphotyrosine",7.44216935412742e-60,0.554187192118227
"230","3-(4-Hydroxyphenyl)Propionate","Hydrocinnamic Acid",9.73023456661662e-60,0.619211822660098
"231","Phosphotyrosine","Pyruvate",1.0094933451284e-59,0.523152709359606
"232","Agmatine","Cholecalciferol",1.21923373113952e-59,-0.595566502463054
"233","4-Pyridoxic Acid","Maleic Acid",1.55025547986894e-59,-0.629556650246305
"234","1/3-Methylhistidine","UDP-GlcNAc",1.5905803568375e-59,0.623152709359606
"235","Agmatine","D-Leucic Acid",2.00641829256066e-59,-0.545320197044335
"236","Agmatine","Alpha-Ketoglutaric Acid",3.40427785850829e-59,0.560591133004926
"237","Agmatine","Betaine",3.40427785850829e-59,-0.66256157635468
"238","1/3-Methylhistidine","Choline",3.41877794376034e-59,-0.69064039408867
"239","Pyruvate","Uracil",3.68913057423619e-59,0.701477832512315
"240","Erythrose-4-Phosphate","Hypoxanthine",3.87048026399153e-59,-0.739408866995074
"241","Alpha-Ketoglutaric Acid","Succinylcarnitine",4.12953463999715e-59,0.531527093596059
"242","Oxalacetate","Phenylacetic Acid",4.25942095970212e-59,0.705911330049261
"243","Hydrocinnamic Acid","SAH",5.90246858235464e-59,-0.586699507389162
"244","Glutaric Acid","N-AcetylGlycine",6.45597469669079e-59,0.694088669950739
"245","3-(4-Hydroxyphenyl)Propionate","3-Hydroxyisovaleric Acid",7.32127447637893e-59,0.563054187192118
"246","Hydrocinnamic Acid","N-Acetyl-Aspartate (NAA)",7.3557933347528e-59,0.594088669950739
"247","Aspartic Acid","Maleic Acid",8.11534162643902e-59,0.463054187192118
"248","3-Aminoisobutyrate","Suberic Acid",8.42512555607523e-59,-0.616748768472906
"249","n-Glycylproline","Uracil",1.19621418149459e-58,0.619704433497537
"250","1-Methyladenosine","1-Methylnicotinamide",1.26381058991718e-58,0.747290640394089
"251","G1P/F1P/F6P","Xanthine",1.35180426482074e-58,-0.72167487684729
"252","2-Hydroxyphenylacetate","Agmatine",1.37750967063857e-58,-0.619211822660098
"253","1-Methylnicotinamide","Indole-3-Carboxylic Acid",1.95889646205197e-58,0.720197044334975
"254","SAH","Uracil",2.21661852423967e-58,0.616748768472906
"255","Alpha-Ketoglutaric Acid","Maleic Acid",2.23076883856588e-58,-0.499014778325123
"256","Cadaverine","Urate",2.66598220416084e-58,0.704926108374384
"257","1/3-Methylhistidine","Alpha-Ketoglutaric Acid",2.92713477763424e-58,0.633497536945813
"258","Azelaic Acid","Creatine",3.48666274455068e-58,0.625123152709359
"259","Aspartic Acid","NAD",4.54228265946401e-58,-0.590147783251231
"260","Cystine","Glutaric Acid",4.88911665650703e-58,0.542857142857143
"261","G6P","Xanthine",5.24543544348928e-58,-0.742857142857143
"262","Glutaric Acid","GMP",5.75613944620182e-58,-0.575369458128079
"263","Adipic Acid / 3-Methylglutaric Acid","Carnosine",6.26013493438049e-58,-0.617733990147783
"264","Succinylcarnitine","Sucrose",7.03358244724578e-58,-0.6
"265","4-Pyridoxic Acid","N-Acetyl-Aspartate (NAA)",8.18647733341746e-58,-0.658128078817734
"266","Carnosine","Suberic Acid",8.51477970679556e-58,-0.61231527093596
"267","Alpha-Ketoglutaric Acid","N-Acetyl-Aspartate (NAA)",1.01488270065311e-57,-0.508866995073892
"268","Glutaric Acid","IMP",1.35732174099233e-57,-0.544827586206896
"269","Adenosine","Arabitol/Xylitol",1.45656075918635e-57,-0.598029556650246
"270","Alpha-Ketoglutaric Acid","Spermidine",1.4942263871525e-57,0.478817733990148
"271","Cholecalciferol","Retinol",1.62007974518588e-57,0.767487684729064
"272","1/3-Methylhistidine","Betaine",2.01230420786251e-57,-0.617733990147783
"273","Azelaic Acid","Spermidine",2.04185691280659e-57,-0.639901477832512
"274","N-Acetyl-Aspartate (NAA)","Phosphotyrosine",2.18721024316205e-57,-0.569950738916256
"275","ADP","Agmatine",2.20262925807708e-57,0.582266009852217
"276","Aspartic Acid","IMP",2.5327297340687e-57,-0.625615763546798
"277","Choline","NAD",4.3273048469049e-57,-0.653694581280788
"278","G1P/F1P/F6P","Hypoxanthine",5.35050538649461e-57,-0.732512315270936
"279","Betaine","GMP",5.63567099418703e-57,-0.573399014778325
"280","Argininosuccinate","Reduced Glutathione",6.87102773641558e-57,0.581773399014778
"281","2-Hydroxyphenylacetate","Arabitol/Xylitol",7.4610472449661e-57,-0.564532019704433
"282","2-Hydroxyphenylacetate","Reduced Glutathione",8.81151103105467e-57,-0.683251231527093
"283","Phenylacetic Acid","Urate",8.92484179239491e-57,0.559605911330049
"284","Adenine","Hydrocinnamic Acid",9.08678408882664e-57,0.56256157635468
"285","Glutaric Acid","Phosphotyrosine",1.05970081386954e-56,-0.44679802955665
"286","Betaine","N-Acetyl-Aspartate (NAA)",1.4788006698691e-56,0.508374384236453
"287","1/3-Methylhistidine","GMP",1.48216744418067e-56,0.617241379310345
"288","Aspartic Acid","Azelaic Acid",1.67289267819618e-56,0.53743842364532
"289","2-Hydroxyphenylacetate","Cystine",1.77564356112928e-56,0.6
"290","Oxalacetate","Urate",1.85721763857776e-56,0.69064039408867
"291","N-Ac-Alanine","Suberic Acid",2.27730871913799e-56,-0.623645320197044
"292","Cholecalciferol","Phosphotyrosine",2.68208631428535e-56,-0.497044334975369
"293","Hydrocinnamic Acid","NAD",2.75667607348535e-56,-0.504926108374384
"294","3-Methyl-3-Hydroxyglutaric Acid","Succinylcarnitine",3.06177249860595e-56,0.583251231527093
"295","Argininosuccinate","S-Adenosylmethionine (SAM)",3.65421471446606e-56,0.629556650246305
"296","Pyroglutamic Acid","Ribulose 5-Phosphate",3.75316133701073e-56,-0.635960591133005
"297","Alanine","Pyroglutamic Acid",3.884952806919e-56,0.704433497536946
"298","D-Leucic Acid","IMP",4.97097938246989e-56,-0.551231527093596
"299","Cysteinyl-Glycine (Cys-Gly)","Oxidized Glutathione",5.4646130327148e-56,0.881773399014778
"300","cGMP","Hypoxanthine",5.65020254316138e-56,-0.63743842364532
"301","n-Glycylproline","Succinylcarnitine",5.6998772404085e-56,0.552216748768473
"302","1-Methylnicotinamide","Indole-2-Carboxylic Acid",5.73871304192905e-56,0.667487684729064
"303","Adenosine","GMP",5.93296782703683e-56,-0.454187192118227
"304","3-Methyl-3-Hydroxyglutaric Acid","SAH",6.89896299889062e-56,0.551724137931034
"305","ADP","Argininosuccinate",7.45516469518444e-56,0.524137931034483
"306","2-Hydroxyphenylacetate","Adenosine",9.05037189021504e-56,0.553694581280788
"307","Carnosine","N-AcetylGlycine",1.00237677974855e-55,-0.577339901477832
"308","Alpha-Ketoglutaric Acid","Azelaic Acid",1.02238151946492e-55,-0.545320197044335
"309","Cholecalciferol","N-AcetylGlycine",1.04109923200609e-55,0.646305418719212
"310","ADP","Azelaic Acid",1.05447727970643e-55,-0.584729064039409
"311","Adenosine","Betaine",1.08666269996214e-55,0.401477832512315
"312","2-Hydroxyphenylacetate","NAD",1.21694505770717e-55,-0.578325123152709
"313","Arabitol/Xylitol","IMP",1.2469184526544e-55,0.527586206896552
"314","Carnosine","Histamine",1.27025120132311e-55,-0.588669950738916
"315","2-Aminoisobutyric Acid","Adipic Acid / 3-Methylglutaric Acid",1.27468486430314e-55,-0.599507389162562
