"","rowname","colname","p_M_all","R_M_all"
"105","1-Methyladenosine","Biopterin",1.21998586325886e-97,0.757362075264889
"106","2-Hydroxyphenylacetate","Hydrocinnamic Acid",1.69323013488042e-97,0.696967482645232
"107","Glyceraldehyde","SAH",1.73657758960854e-97,0.739897698209719
"108","1/3-Methylhistidine","Retinol",2.48874135752552e-97,-0.689733284618195
"109","3-Hydroxyisovaleric Acid","Cadaverine",3.34790660434522e-97,0.742857142857143
"110","Biopterin","Urate",4.66913660984928e-97,0.761636828644501
"111","2-Hydroxyphenylacetate","3-Hydroxyisovaleric Acid",8.08577961901042e-97,0.72188527584947
"112","Citraconic Acid","Maleic Acid",1.70152842310092e-96,0.736170990135185
"113","Palmitic Acid","PEP",1.90101313193103e-96,-0.755169894044574
"114","Oxalacetate","Urate",2.22937581638321e-96,0.770880526123493
"115","Betaine","PEP",1.87304373384724e-95,-0.781147241505298
"116","2-Hydroxyglutarate","Cadaverine",2.03716888410881e-95,-0.713847278041651
"117","Betaine","Choline",2.34777686857415e-95,0.760284983558641
"118","1/3-Methylhistidine","Hydrocinnamic Acid",2.53468261196438e-95,-0.634965290464012
"119","Leucine /D-Norleucine","Phenylalanine",2.97707975088676e-95,0.829265619291195
"120","Oxalacetate","Retinol",2.97707975088676e-95,0.722908293752284
"121","Citraconic Acid","PEP",3.44981585872446e-95,-0.712130069419072
"122","Choline","Retinol",7.96953412906628e-95,0.658896602119109
"123","Betaine","Glutaric Acid",1.92815959432725e-94,0.786298867373036
"124","1-Methylnicotinamide","2-Hydroxyglutarate",2.28751305688062e-94,-0.710851297040555
"125","Cadaverine","S-Adenosylmethionine (SAM)",2.40621195922189e-94,-0.831348191450493
"126","Arginine","Urate",2.51230932257174e-94,0.716806722689076
"127","Betaine","Ergocalciferol",3.93148239518933e-94,0.589039093898429
"128","3-Hydroxyisovaleric Acid","S-Adenosylmethionine (SAM)",4.94609786690841e-94,-0.689769820971867
"129","2-Hydroxyglutarate","Oxalacetate",5.13760457599564e-94,-0.71457800511509
"130","Cadaverine","Choline",1.15881027843048e-93,0.74413591523566
"131","1-Methylnicotinamide","Urate",1.20117171607617e-93,0.773218852758495
"132","SAH","Urate",1.23524538343001e-93,-0.724808184143223
"133","1/3-Methylhistidine","Phenylacetic Acid",1.65873241916397e-93,-0.585641213006942
"134","Betaine","UDP-GlcNAc",2.91440605964212e-93,-0.735001826817684
"135","1/3-Methylhistidine","S-Adenosylmethionine (SAM)",1.03707210008761e-92,0.698027036901717
"136","Azelaic Acid","UDP-GlcNAc",2.62769255584824e-92,-0.668505663134819
"137","1-Methylnicotinamide","Choline",3.42046638951128e-92,0.742820606503471
"138","3-Hydroxyisovaleric Acid","Oxalacetate",5.22650311840211e-92,0.704165144318597
"139","Arginine","Cadaverine",6.44218349857465e-92,0.71074168797954
"140","Arginine","Betaine",7.45154690326173e-92,0.754731457800512
"141","Pyridoxamine","SAH",1.5319614124172e-91,-0.665728900255754
"142","Ergocalciferol","PEP",2.48327579459306e-91,-0.643624406284253
"143","Oxalacetate","S-Adenosylmethionine (SAM)",2.93689127738673e-91,-0.823785166240409
"144","Glutaric Acid","N-AcetylGlycine",3.54458442612598e-91,0.727365728900256
"145","Choline","Oxalacetate",4.71704087047217e-91,0.728352210449397
"146","2-Aminoisobutyric Acid","3-Aminoisobutyrate",5.34844923061676e-91,0.952429667519182
"147","Cadaverine","Pyridoxamine",5.40558015527252e-91,0.724333211545488
"148","Alpha-Ketoglutaric Acid","Pyruvate",1.32600759981692e-90,0.815381804895872
"149","Cadaverine","Ergocalciferol",1.65593146454987e-90,0.63032517354768
"150","Citraconic Acid","S-Adenosylmethionine (SAM)",2.16345111185812e-90,-0.686408476434052
"151","2-Hydroxyphenylacetate","S-Adenosylmethionine (SAM)",2.34164386231713e-90,-0.660248447204969
"152","Ergocalciferol","Hydrocinnamic Acid",2.36169189266219e-90,0.552429667519182
"153","Citraconic Acid","Palmitic Acid",2.71625417859475e-90,0.672122762148338
"154","Retinol","Succinylcarnitine",6.29095652186705e-90,-0.578480087687249
"155","Glutaric Acid","Hydrocinnamic Acid",7.07610389819199e-90,0.696784800876873
"156","Retinol","UDP-GlcNAc",9.80567480051377e-90,-0.677749360613811
"157","Glutaric Acid","SAH",1.08574605007039e-89,-0.711216660577275
"158","Suberic Acid","UDP-GlcNAc",1.13046042446547e-89,-0.721483375959079
"159","Azelaic Acid","Creatine",1.51222689305485e-89,0.721921812203142
"160","Glucose","SAH",1.6003424776296e-89,0.703032517354768
"161","1-Methylnicotinamide","Phenylacetic Acid",1.82486756910979e-89,0.734453781512605
"162","2-Hydroxyphenylacetate","Citraconic Acid",1.90969977251236e-89,0.72897332846182
"163","1/3-Methylhistidine","Maleic Acid",2.25620223731731e-89,-0.602922908293752
"164","2-Hydroxyphenylacetate","Ergocalciferol",3.63040063826103e-89,0.664742418706613
"165","1-Methylnicotinamide","Ergocalciferol",3.81024134899906e-89,0.639897698209719
"166","Cadaverine","Phenylacetic Acid",4.1876389834301e-89,0.729959810010961
"167","Phenylacetic Acid","Retinol",4.1876389834301e-89,0.635001826817684
"168","S-Adenosylmethionine (SAM)","Succinylcarnitine",4.29289750975145e-89,0.591158202411399
"169","1-Methylnicotinamide","Arginine",5.66961886842203e-89,0.688454512239679
"170","Phenylacetic Acid","S-Adenosylmethionine (SAM)",9.16732070113723e-89,-0.695359883083668
"171","Ergocalciferol","SAH",9.47239637657075e-89,-0.58425283156741
"172","Glycerophosphocholine","Urate",1.16557087569374e-88,-0.696711728169529
"173","Oxalacetate","Phenylacetic Acid",1.68180278100524e-88,0.730142491779321
"174","Ergocalciferol","S-Adenosylmethionine (SAM)",1.69843291341606e-88,-0.614906832298137
"175","3-Hydroxyisovaleric Acid","SAH",2.55484876892103e-88,-0.662404092071611
"176","Adipic Acid / 3-Methylglutaric Acid","UDP-GlcNAc",3.57970121489421e-88,-0.709280233832664
"177","Choline","Citraconic Acid",4.23276774075761e-88,0.646181951041286
"178","Hydrocinnamic Acid","Palmitic Acid",4.36692960828666e-88,0.660942637924735
"179","Cadaverine","Maleic Acid",4.53133836948389e-88,0.738107416879795
"180","DHAP/D-GA3P","Glycerol-3-P",6.91914965921589e-88,0.789587139203508
"181","Methionine","Urate",7.0329707719437e-88,-0.604055535257581
"182","Palmitic Acid","Urate",8.71523207653913e-88,0.753014249177932
"183","GMP","IMP",1.24982865456713e-87,0.836499817318232
"184","2-Aminoisobutyric Acid","Alanine",2.26514951189578e-87,0.758494702228718
"185","Ergocalciferol","Oxalacetate",2.67600042466841e-87,0.620314212641578
"186","Betaine","Glyceraldehyde",4.32332103079081e-87,-0.661892583120205
"187","1-Methylnicotinamide","S-Adenosylmethionine (SAM)",4.64606368582733e-87,-0.805809280233833
"188","3-Hydroxyisovaleric Acid","Palmitic Acid",5.55890242708827e-87,0.663098282791378
"189","2-Hydroxyglutarate","SAH",6.0345569403636e-87,0.643843624406284
"190","1/3-Methylhistidine","2-Hydroxyphenylacetate",6.43164365688115e-87,-0.637011326269638
"191","2-Hydroxyphenylacetate","Azelaic Acid",6.84833061478892e-87,0.69941541834125
"192","Hydrocinnamic Acid","UDP-GlcNAc",7.52931564883406e-87,-0.635842162952137
"193","Citraconic Acid","Ergocalciferol",8.40426198821513e-87,0.589769820971867
"194","Maleic Acid","PEP",9.12546644181778e-87,-0.694409937888199
"195","Choline","Palmitic Acid",1.43185773781783e-86,0.721519912312751
"196","Erythrose-4-Phosphate","Taurine",1.50659049204718e-86,-0.702447935696018
"197","Choline","SAH",5.56953935141585e-86,-0.641176470588235
"198","Glycerol-3-P","Ribulose 5-Phosphate",6.64427792186774e-86,0.679174278407015
"199","Oxalacetate","Pyridoxamine",4.00202754671903e-85,0.687029594446474
"200","G1P/F1P/F6P","Taurine",4.70724700608461e-85,-0.703324808184143
"201","3-Hydroxyisovaleric Acid","3HBA",5.20624326242887e-85,0.717427840701498
"202","SAH","UDP-GlcNAc",5.42733273663426e-85,0.615308732188528
"203","Betaine","Palmitic Acid",1.12554613233265e-84,0.724113993423456
"204","Citraconic Acid","Methionine",1.72304298774473e-84,-0.646693459992693
"205","Betaine","Phenylacetic Acid",2.67000516379915e-84,0.704968944099379
"206","2-Hydroxyphenylacetate","SAH",2.84842140475109e-84,-0.608037997807819
"207","Azelaic Acid","D-Leucic Acid",3.88765862599692e-84,0.599488491048593
"208","Arginine","Palmitic Acid",4.144810137281e-84,0.663975155279503
"209","PEP","S-Adenosylmethionine (SAM)",6.73176905810377e-84,0.711107051516259
"210","Ergocalciferol","Glutaric Acid",8.11404593466636e-84,0.653525758129339
"211","Hydrocinnamic Acid","Urate",1.21990542957499e-83,0.669894044574352
"212","1/3-Methylhistidine","Glutaric Acid",1.61030319133972e-83,-0.672890025575448
