"","rowname","colname","p_M_all","R_M_all"
"8980","3-Aminoisobutyrate","Putrescine",1.41587316108597e-08,-0.104676653270004
"8981","D-Leucic Acid","Xanthosine",1.41695768459405e-08,-0.185970040189989
"8982","N-Ac-Arginine","Pyroglutamic Acid",1.43931044850996e-08,-0.0157106320789185
"8983","5'-Methylthioadenosine","Acetylcarnitine",1.43945396042421e-08,-0.279722323712094
"8984","Putrescine","Retinol",1.45214648525291e-08,-0.249031786627695
"8985","Inosine","Valine",1.45405966950487e-08,0.074241870661308
"8986","Arabitol/Xylitol","Glycerophosphocholine",1.45433967759854e-08,0.0499817318231641
"8987","5'-Methylthioadenosine","IMP",1.48664949950319e-08,-0.196967482645232
"8988","Adenylosuccinate","NAD",1.50573551085625e-08,0.172013153087322
"8989","Hypotaurine","Sucrose",1.51057197128889e-08,0.131348191450493
"8990","Linoleic Acid","Spermidine",1.5159697693503e-08,0.191413956887103
"8991","AMP","Taurine",1.52062190867093e-08,0.320204603580563
"8992","Glucosamine","Glutamic acid",1.53036134017109e-08,0.10537084398977
"8993","Dimethylglycine","Fructose",1.53623763929711e-08,-0.202594081110705
"8994","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Leucine /D-Norleucine",1.54483388095706e-08,-0.0798684691267812
"8995","Acetylcarnitine","Glyceraldehyde",1.55976206313793e-08,-0.145999269272927
"8996","Imidazoleacetic Acid","Putrescine",1.56626307866309e-08,0.123565948118378
"8997","4-Guanidinobutanoate","Lactose/Trehalose",1.56723711888924e-08,0.0899890390938984
"8998","Aminolevulinate","Hypotaurine",1.56772366022035e-08,-0.0937888198757764
"8999","Asparagine","Histidine",1.57394569047121e-08,0.0655827548410669
"9000","Linoleic Acid","Sedoheptulose 7-Phosphate",1.57395608072075e-08,-0.101315308732189
"9001","Asparagine","Aspartic Acid",1.57452876789547e-08,-0.220423821702594
"9002","Acetylcarnitine","Retinol",1.57761538673469e-08,0.0539641943734015
"9003","Lactate","Thiamine",1.57807093167889e-08,0.216112531969309
"9004","4-Pyridoxic Acid","AMP",1.57854983698755e-08,0.0895140664961637
"9005","Biopterin","Cholesteryl Sulfate",1.57958728748339e-08,0.0876507124588966
"9006","G1P/F1P/F6P","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",1.58352461436881e-08,0.132005845816588
"9007","AMP","Neopterin",1.58938780212289e-08,0.0754475703324808
"9008","Deoxyguanosine","N6-Acetyl-Lysine",1.61871001579974e-08,-0.0157837047862623
"9009","Glucose","Lysine",1.61947864940687e-08,0.153379612714651
"9010","Adenosine","Taurine",1.63294270877799e-08,0.138399707709171
"9011","Hypoxanthine","Threonine",1.63970281558096e-08,0.120423821702594
"9012","IMP","Myristic Acid",1.64034964134588e-08,0.242236024844721
"9013","7-Methylguanine","Neopterin",1.64707467627153e-08,0.382900986481549
"9014","G1P/F1P/F6P","iso-Leucine /allo-isoLeucine",1.64722572960057e-08,-0.407416879795397
"9015","5,6-Dihydrouracil","AMP",1.64797649222406e-08,0.279320423821703
"9016","Histidine","Inosine",1.65786719085025e-08,0.189112166605773
"9017","Margaric Acid","Xanthosine",1.65833278745997e-08,-0.120569967117282
"9018","2-isoPropylmalic Acid","Suberic Acid",1.66690452594649e-08,0.0812568505663135
"9019","Glucoronate","Sarcosine",1.67775817770315e-08,-0.169492144683961
"9020","G1P/F1P/F6P","Linolenic Acid",1.68951489633992e-08,-0.270880526123493
"9021","Palmitic Acid","Phosphotyrosine",1.69583398332457e-08,-0.135294117647059
"9022","3-(4-Hydroxyphenyl)Propionate","Pantothenate",1.69883126718633e-08,-0.0925100474972598
"9023","1-Methylnicotinamide","3-Hydroxypropionic Acid",1.7011303390588e-08,-0.17486298867373
"9024","Hypotaurine","Tryptophan",1.70133963238127e-08,-0.151077822433321
"9025","Adenine","AMP",1.70267623658347e-08,-0.208366824990866
"9026","5'-Methylthioadenosine","FAD",1.70657590611481e-08,-0.180489587139204
"9027","Hydrocinnamic Acid","Succinate",1.73571354385876e-08,-0.118158567774936
"9028","Deoxyguanosine","NADH",1.73643476488987e-08,0.24318597004019
"9029","Deoxyguanosine","Pipecolate",1.75576813500037e-08,-0.0182681768359518
"9030","Cysteinyl-Glycine (Cys-Gly)","Xanthosine",1.76414503652232e-08,0.138691998538546
"9031","Adenine","Sorbitol",1.77078449980848e-08,0.16295213737669
"9032","Histidine","Palmitic Acid",1.77777647825565e-08,-0.0699305809280234
"9033","Cadaverine","GMP",1.7913440202176e-08,0.208330288637194
"9034","5'-Methylthioadenosine","Tyrosine",1.82116523625127e-08,-0.213226160029229
"9035","3HBA","Glutamic acid",1.82912621554395e-08,-0.216770186335404
"9036","1-Methyladenosine","Histidine",1.85385689249662e-08,-0.145049324077457
"9037","3-Methyl-3-Hydroxyglutaric Acid","Cysteinyl-Glycine (Cys-Gly)",1.85459702743421e-08,0.0773839970770917
"9038","Ribose-5-P","S-Adenosylmethionine (SAM)",1.87125195528473e-08,0.0734380708805261
"9039","Biopterin","Phosphotyrosine",1.87243198431727e-08,-0.191815856777494
"9040","Putrescine","Urate",1.87606146091238e-08,-0.0958713920350749
"9041","Myristic Acid","Reduced Glutathione",1.88239654149744e-08,0.291852393131166
"9042","Asparagine","iso-Leucine /allo-isoLeucine",1.88662702555217e-08,0.337011326269638
"9043","FAD","N-Ac-Phenylalanine",1.89969086400488e-08,-0.030690537084399
"9044","3-Methyl-3-Hydroxyglutaric Acid","Phosphoserine",1.91215786921926e-08,0.178187796857874
"9045","FAD","n-Glycylproline",1.9269911246885e-08,0.0407380343441725
"9046","iso-Leucine /allo-isoLeucine","Sedoheptulose 7-Phosphate",1.9269911246885e-08,-0.389989039093898
"9047","Cadaverine","Linoleic Acid",1.93693777867215e-08,0.276324442820607
"9048","3-Hydroxypropionic Acid","Glucose",1.93850039255469e-08,0.179393496529046
"9049","Adipic Acid / 3-Methylglutaric Acid","FAD",1.97191936552193e-08,0.106795761782974
"9050","1-Methyladenosine","Threonine",1.97237578655001e-08,-0.131165509682134
"9051","Putrescine","Xanthurenic Acid",1.98484436281706e-08,-0.0612714651077822
"9052","Ornithine","UDP-Glucose",1.98834840882894e-08,-0.0878333942272561
"9053","IMP","N-Acetyl-Aspartate (NAA)",2.00758456066084e-08,-0.374716843259043
"9054","6-Methyladenosine","betaAlanine",2.02212601215535e-08,0.164998173182316
"9055","Fructose","Xanthosine",2.02358663062139e-08,-0.22341980270369
"9056","Proline","Putrescine",2.02595653899095e-08,-0.155096821337231
"9057","2-Hydroxyglutarate","Hypoxanthine",2.02693367068352e-08,0.221008403361345
"9058","Acetylcarnitine","Creatine",2.02943746900261e-08,0.0819510412860797
"9059","Glycine","Kynurenic Acid",2.03984640422125e-08,-0.282426013883814
"9060","2-Aminoadipate","UMP",2.05826093990754e-08,-0.175447570332481
"9061","1/3-Methylhistidine","Acetylcarnitine",2.06112124192577e-08,-0.0404457435147972
"9062","5-Methylcytidine","Kynurenic Acid",2.06244454871031e-08,0.331348191450493
"9063","DCDP","IMP",2.06267500002234e-08,-0.249799050054805
"9064","Glutamine","Palmitic Acid",2.06470164868018e-08,0.0647058823529412
"9065","N6-Acetyl-Lysine","Riboflavin",2.06470164868018e-08,-0.145378151260504
"9066","Aminolevulinate","IMP",2.06725508513474e-08,-0.161052246985751
"9067","5'-Methylthioadenosine","GMP",2.07758410942634e-08,-0.248593350383632
"9068","Pipecolate","Tryptophan",2.09019628465519e-08,-0.107416879795396
"9069","1/3-Methylhistidine","ADP",2.09223567747977e-08,0.306247716477896
"9070","Ribulose 5-Phosphate","Tryptophan",2.11087085936631e-08,0.0119839240043844
"9071","GMP","Succinate",2.11388879933947e-08,-0.115783704786262
"9072","DHAP/D-GA3P","Glutamine",2.12765813462763e-08,-0.136974789915966
"9073","Creatine","Xanthurenic Acid",2.13088302767136e-08,0.213701132626964
"9074","Guanine","UMP",2.14349581048133e-08,-0.145195469492145
"9075","Betaine","Lysine",2.15174277434996e-08,-0.234709535988308
"9076","iso-Leucine /allo-isoLeucine","Uracil",2.15733346953209e-08,0.311545487760322
"9077","Acetylcarnitine","n-Glycylproline",2.16096124694534e-08,-0.0463646328096456
"9078","Guanine","Putrescine",2.16185501346373e-08,-0.0895140664961637
"9079","5'-Methylthioadenosine","Carnosine",2.17196718835083e-08,-0.201315308732189
"9080","2-Aminoisobutyric Acid","DCDP",2.17427394560797e-08,-0.200657654366094
"9081","Ergocalciferol","Histamine",2.17615410167646e-08,0.1439532334673
"9082","Anthranilic Acid","Ethanolamine",2.20525410582926e-08,-0.0430398246255024
"9083","Cholecalciferol","NADH",2.21747151064997e-08,-0.238436244062843
"9084","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Imidazoleacetic Acid",2.21777779193968e-08,-0.00219218122031421
"9085","Cystine","Pantothenate",2.24438398160174e-08,0.12590427475338
"9086","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Threonine",2.24514327879144e-08,-0.0335038363171355
"9087","Anthranilic Acid","Linoleic Acid",2.25423677080118e-08,0.208732188527585
"9088","4-Guanidinobutanoate","Creatine",2.29364259221741e-08,-0.0855316039459262
"9089","Guanosine","Putrescine",2.29706535565083e-08,-0.394154183412496
"9090","Glucosamine","Lysine",2.30000348763557e-08,0.170734380708805
"9091","Carnitine","Glutamic acid",2.32920264727375e-08,0.132298136645963
"9092","Orotate","Threonine",2.34784375640312e-08,0.046985750822068
"9093","Glycine","Linoleic Acid",2.34834774341742e-08,0.0788819875776398
"9094","2'-Deoxycytidine","cAMP",2.35385932392368e-08,0.286152721958349
"9095","6-Methyladenosine","Orotate",2.35459231310719e-08,0.155060284983559
"9096","Erythrose-4-Phosphate","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",2.3620846862887e-08,0.145780051150895
"9097","Linoleic Acid","PEP",2.36980818167484e-08,-0.176689806357326
"9098","N-Ac-Phenylalanine","N2,N2-Dimethylguanosine",2.38687730492298e-08,0.391450493240775
"9099","Acetylcarnitine","Cystathionine",2.40621333634769e-08,-0.107234198027037
"9100","Glutamine","Xanthine",2.41608855978331e-08,0.0162586773839971
"9101","Aminolevulinate","cAMP",2.43203272052362e-08,0.0378151260504202
"9102","iso-Leucine /allo-isoLeucine","N-Ac-Phenylalanine",2.47689032061328e-08,-0.310230179028133
"9103","AMP","Homocitrulline",2.50729518854204e-08,-0.301680672268908
"9104","Alanine","Sorbitol",2.52026193045212e-08,-0.190390938984289
"9105","Asparagine","Glycerol-3-P",2.52470032239051e-08,-0.00628425283156741
"9106","Lactate","Nicotinic Acid",2.53302078900795e-08,-0.271940080379978
"9107","2-Aminoisobutyric Acid","Sorbitol",2.53676164085925e-08,-0.166715381804896
"9108","3-Hydroxypropionic Acid","Oxalacetate",2.53851094361419e-08,-0.177822433321155
"9109","Inosine","NADH",2.54553874510752e-08,-0.188271830471319
"9110","Allantoin","Orotate",2.54937940830285e-08,0.0773109243697479
"9111","gamma-Aminobutyrate","Ribose-5-P",2.55934853259111e-08,0.209280233832664
"9112","Inosine","Sorbitol",2.57354587643222e-08,0.154841066861527
"9113","Histidine","N6-Trimethyllysine",2.57736458150576e-08,-0.00770917062477165
"9114","Deoxyguanosine","FAD",2.57766822861714e-08,0.0218487394957983
"9115","Dimethylarginine (A/SDMA)","Sorbitol",2.58880376318062e-08,-0.348702959444647
"9116","Histamine","SAH",2.59337770045042e-08,-0.141505297771282
"9117","Phosphoserine","Retinol",2.60223315321124e-08,-0.288929484837413
"9118","Glutamine","Pantothenate",2.60825348560656e-08,-0.232115454877603
"9119","Phosphotyrosine","Pyroglutamic Acid",2.61503731755506e-08,-0.167226890756303
"9120","Deoxyguanosine","Maleic Acid",2.63204463768477e-08,0.107161125319693
"9121","Adenine","Phosphoserine",2.64322922139335e-08,-0.173401534526854
"9122","AMP","Xanthurenic Acid",2.66153112260169e-08,0.276324442820607
"9123","Homoarginine","Pyroglutamic Acid",2.66704100954468e-08,0.0995615637559372
"9124","Agmatine","iso-Leucine /allo-isoLeucine",2.67245177335822e-08,0.296054073803434
"9125","Aspartic Acid","Pseudouridine",2.6742706305396e-08,0.0396054073803434
"9126","L-2-Aminobutyric Acid","Xanthine",2.67795393415305e-08,-0.114249177932042
"9127","Cysteinyl-Glycine (Cys-Gly)","Phosphotyrosine",2.71591195378287e-08,0.0894409937888199
"9128","3-Methyl-3-Hydroxyglutaric Acid","Pantothenate",2.71807707107257e-08,0.0179758860065765
"9129","FAD","Ornithine",2.72059700002626e-08,0.117866276945561
"9130","Glycine","n-Glycylproline",2.74124445703033e-08,-0.0911582024113994
"9131","gamma-Aminobutyrate","Sucrose",2.74179300326629e-08,0.0256485202776763
"9132","2-Aminoadipate","Arabitol/Xylitol",2.74568040147713e-08,-0.262038728534892
"9133","DCDP","Reduced Glutathione",2.76309481663605e-08,-0.300146145414688
"9134","Ribulose 5-Phosphate","Thiamine",2.76425587610186e-08,0.0427475337961272
"9135","Deoxyguanosine","Pyruvate",2.77204897205831e-08,-0.191888929484837
"9136","Hypotaurine","Hypoxanthine",2.77204897205831e-08,-0.109134088417976
"9137","Retinol","Succinate",2.78879802314952e-08,-0.205736207526489
"9138","Nicotinic Acid","Succinate",2.79450368325746e-08,-0.285714285714286
"9139","Deoxycarnitine","Valine",2.81902224323922e-08,0.124406284252832
"9140","3-Aminoisobutyrate","PEP",2.82574610889038e-08,-0.105882352941176
"9141","Cysteinyl-Glycine (Cys-Gly)","Imidazoleacetic Acid",2.83139123275857e-08,-0.0174643770551699
"9142","Choline","Deoxycarnitine",2.84902246462893e-08,-0.155644866642309
"9143","2-Aminoadipate","Indole-3-Carboxylic Acid",2.85986997379528e-08,0.0902082572159299
"9144","gamma-Aminobutyrate","N-Ac-Arginine",2.87792485433695e-08,0.0730361709901352
"9145","Creatine","Linolenic Acid",2.88002803063777e-08,-0.371318962367556
"9146","2-Hydroxyglutarate","Histamine",2.88024311431689e-08,-0.151516258677384
"9147","Glycine","Succinylcarnitine",2.89532368381892e-08,-0.17409572524662
"9148","3-Methyl-3-Hydroxyglutaric Acid","Phosphotyrosine",2.89655029673246e-08,0.113518450858604
"9149","Indole-3-Carboxylic Acid","Putrescine",2.90168231889405e-08,-0.013262696382901
"9150","L-2-Aminobutyric Acid","Putrescine",2.9264956573161e-08,0.116149068322981
"9151","Guanine","Suberic Acid",2.95177754601247e-08,0.0479722323712094
"9152","Histamine","Retinol",2.97580383207631e-08,0.126452320058458
"9153","Asparagine","N-Ac-L-Glutamine",2.97716647817642e-08,0.160138838143953
"9154","Homoarginine","Uracil",2.99334627480257e-08,0.0483010595542565
"9155","Linoleic Acid","S-Methylcysteine",2.99579057646452e-08,0.24855681402996
"9156","3-Hydroxyisovaleric Acid","cGMP",2.99802080071734e-08,-0.173291925465839
"9157","D-Leucic Acid","Glycine",2.99908208226987e-08,0.0968944099378882
"9158","4-Guanidinobutanoate","n-Glycylproline",3.01248983388729e-08,0.0235294117647059
"9159","Cystathionine","Glutamine",3.01257010247738e-08,-0.0471318962367556
"9160","Cysteinyl-Glycine (Cys-Gly)","Inosine",3.01895533765264e-08,-0.0302155644866642
"9161","4-Pyridoxic Acid","Trigonelline",3.04023069890489e-08,-0.362294483010596
"9162","Creatine","G1P/F1P/F6P",3.04606401153084e-08,-0.0382170259408111
"9163","2-isoPropylmalic Acid","Nicotinic Acid",3.07058012863789e-08,0.397442455242967
"9164","Histamine","S-Adenosylmethionine (SAM)",3.10865872608134e-08,-0.106466934599927
"9165","5'-Methylthioadenosine","Glyceraldehyde",3.11229939562462e-08,0.232846181951041
"9166","Acetylcholine","NADH",3.11833622232537e-08,0.266715381804896
"9167","6-Methyladenosine","Proline",3.11853612782671e-08,-0.197588600657654
"9168","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Pyroglutamic Acid",3.13062653903381e-08,0.142857142857143
"9169","GMP","Phenylalanine",3.1441551251598e-08,-0.2725611983924
"9170","Citrulline","Xanthosine",3.15835426697695e-08,-0.200840336134454
"9171","5-Methylcytidine","Agmatine",3.20561239650667e-08,0.222579466569236
"9172","Glycine","Homocitrulline",3.22571195678519e-08,-0.16583850931677
"9173","Acetylcholine","Inosine",3.22674366660154e-08,-0.242966751918159
"9174","3-Methyl-3-Hydroxyglutaric Acid","Serine",3.23186281581471e-08,-0.149506759225429
"9175","Asparagine","Sedoheptulose 7-Phosphate",3.23580977210854e-08,0.0937522835221045
"9176","Phosphorylcholine","Sorbitol",3.23589979436582e-08,-0.244428206065035
"9177","Fructose","N6-Acetyl-Lysine",3.25292399150173e-08,-0.0380343441724516
"9178","N-Ac-L-Glutamine","N-Ac-Phenylalanine",3.2587337092058e-08,-0.247679941541834
"9179","Indole-2-Carboxylic Acid","Riboflavin",3.26799814069341e-08,0.168176835951772
"9180","3-Methyl-3-Hydroxyglutaric Acid","G6P",3.27474029206023e-08,0.0367921081476069
"9181","Glycine","Hydrocinnamic Acid",3.27821167809621e-08,0.175703324808184
"9182","2-Aminoadipate","2-Hydroxyglutarate",3.28272341162149e-08,-0.208951406649616
"9183","Pyridoxamine","Ribose-5-P",3.28510680063648e-08,-0.127511874314943
"9184","Leucine /D-Norleucine","Nicotinic Acid",3.29670702893928e-08,0.185093167701863
"9185","4-Pyridoxic Acid","Reduced Glutathione",3.2981246996639e-08,0.22590427475338
"9186","Aspartic Acid","Serine",3.31315911717956e-08,0.156558275484107
"9187","S-Methylcysteine","Valine",3.31315911717956e-08,-0.0361344537815126
"9188","L-Kynurenine","n-Glycylproline",3.3387433969201e-08,0.0231275118743149
"9189","Acetylcholine","FAD",3.37051469183812e-08,0.188966021191085
"9190","N-Ac-Phenylalanine","Pantothenate",3.37855651353325e-08,0.0316039459261966
"9191","Arginine","Aspartic Acid",3.38107000532659e-08,0.0732553891121666
"9192","3HBA","Ethanolamine",3.41849951973094e-08,0.024260138838144
"9193","Sucrose","Xanthine",3.42486728051133e-08,0.0327731092436975
"9194","FAD","Suberic Acid",3.43896672444441e-08,0.0904274753379613
"9195","N-AcetylGlycine","Xanthosine",3.48380402737084e-08,-0.210449397150164
"9196","Cholesteryl Sulfate","Pseudouridine",3.48806414678285e-08,-0.0134819145049324
"9197","3HBA","Phosphorylcholine",3.5012735169272e-08,-0.196967482645232
"9198","Oxidized Glutathione","Succinate",3.50597909321107e-08,0.293752283522105
"9199","2-Hydroxyphenylacetate","Hypotaurine",3.53673994176539e-08,-0.00460358056265985
"9200","2-Aminoisobutyric Acid","Deoxycarnitine",3.55888625906601e-08,-0.037486298867373
"9201","DHAP/D-GA3P","Linolenic Acid",3.56749497369217e-08,-0.24778955060285
"9202","3-Methyl-3-Hydroxyglutaric Acid","FAD",3.63704201322377e-08,-0.0826086956521739
"9203","5-Methylcytidine","Maleic Acid",3.63704201322377e-08,-0.331348191450493
"9204","1-Methylnicotinamide","6-Methyladenosine",3.6395763311627e-08,-0.263280964559737
"9205","Cysteinyl-Glycine (Cys-Gly)","UMP",3.67593348451509e-08,0.114687614176105
"9206","Acetylcarnitine","Azelaic Acid",3.70015059146816e-08,0.0105224698575082
"9207","Adenylosuccinate","Inosine",3.70434901685995e-08,-0.113262696382901
"9208","Acetylcarnitine","UDP-GlcNAc",3.70918294727347e-08,-0.0373401534526854
"9209","Acetylcarnitine","Oxidized Glutathione",3.71068531150446e-08,-0.265217391304348
"9210","Arabitol/Xylitol","NADH",3.71912159036776e-08,0.17197661673365
"9211","Creatine","Taurine",3.73300395584668e-08,-0.0525392765801973
"9212","4-Hydroxybenzoic Acid","cAMP",3.74477339797056e-08,-0.279320423821703
"9213","3-Methyl-3-Hydroxyglutaric Acid","Glycerol-3-P",3.78282055346591e-08,0.00493240774570698
"9214","Cholesteryl Sulfate","L-2-Aminobutyric Acid",3.79637738027661e-08,-0.000146145414687614
"9215","Maleic Acid","N-Acetyl-Aspartate (NAA)",3.81323108786768e-08,0.0953598830836683
"9216","Biopterin","Margaric Acid",3.82395860710839e-08,0.0366459627329193
"9217","3HBA","Histamine",3.82854502028506e-08,0.122689075630252
"9218","Homoarginine","Margaric Acid",3.84337209496661e-08,0.0511874314943369
"9219","DCDP","Lysine",3.84580527984387e-08,0.131457800511509
"9220","Nicotinic Acid","Valine",3.85816296372848e-08,0.149506759225429
"9221","Hypotaurine","N-AcetylGlycine",3.86299502135324e-08,0.0442820606503471
"9222","3-Methyl-3-Hydroxyglutaric Acid","Citrulline",3.89183577662896e-08,-0.0790646693459993
"9223","ADP","Maleic Acid",3.92011177626571e-08,-0.27658019729631
"9224","5-Methylcytidine","Phenylacetic Acid",3.92323338643052e-08,-0.312495432955791
"9225","2-Aminoadipate","Oxalacetate",3.92913354446973e-08,0.224552429667519
"9226","Glutaric Acid","Ribose-5-P",3.92922118422846e-08,-0.159371574716843
"9227","N-Ac-L-Glutamine","Retinol",3.92932373510737e-08,-0.170697844355133
"9228","5,6-Dihydrouracil","N2,N2-Dimethylguanosine",3.94256770410901e-08,0.28849104859335
"9229","Argininosuccinate","Glycerol-3-P",3.9710615067801e-08,0.180781877968579
"9230","Succinate","Threonine",3.97356735099482e-08,-0.423456339057362
"9231","Phenylacetic Acid","Phosphoserine",3.98329685423352e-08,-0.244647424187066
"9232","Inosine","N2,N2-Dimethylguanosine",3.98364186625853e-08,-0.117647058823529
"9233","Carnitine","Lactate",4.0241746700181e-08,0.0747533796127147
"9234","2-Hydroxyphenylacetate","ADP",4.03439905851019e-08,-0.294921446839605
"9235","Fructose","N6-Trimethyllysine",4.06590121043805e-08,-0.0721958348556814
"9236","Arginine","Uracil",4.08946319494572e-08,-0.143295579101206
"9237","3-Hydroxypropionic Acid","Betaine",4.09628722515046e-08,-0.124917793204238
"9238","betaAlanine","Betaine",4.10584038908548e-08,-0.189331384727804
"9239","Ethanolamine","N-AcetylGlycine",4.10849834505285e-08,-0.00113262696382901
"9240","2-Hydroxyphenylacetate","5,6-Dihydrouracil",4.12992739569949e-08,-0.108366824990866
"9241","Adipic Acid / 3-Methylglutaric Acid","Guanine",4.2129440369041e-08,0.01516258677384
"9242","2-isoPropylmalic Acid","Carnitine",4.23427329306428e-08,-0.0156375593715747
"9243","betaAlanine","Carnitine",4.24112649957864e-08,0.157142857142857
"9244","cGMP","Histamine",4.24880626365085e-08,-0.216952868103763
"9245","3-Aminoisobutyrate","Methionine",4.25057766403934e-08,-0.141213006941907
"9246","Hypotaurine","Imidazoleacetic Acid",4.25384120173213e-08,0.0010595542564852
"9247","Myristic Acid","Thiamine",4.25875273293579e-08,0.186225794665692
"9248","Fructose","Myristic Acid",4.28000190755378e-08,-0.129594446474242
"9249","G6P","Leucine /D-Norleucine",4.28107551194783e-08,-0.0137011326269638
"9250","PEP","Riboflavin",4.28973718490562e-08,-0.227877237851662
"9251","Margaric Acid","Serine",4.2924452366738e-08,-0.0522104493971502
"9252","Glutamic acid","NADH",4.29422707187902e-08,-0.157946656923639
"9253","Serine","Uracil",4.32235100400756e-08,-0.1560467665327
"9254","Fructose","Uracil",4.39362906000204e-08,-0.0643405188162222
"9255","ADP","Hypotaurine",4.39615643144812e-08,0.313664596273292
"9256","Leucine /D-Norleucine","Spermidine",4.40384863708384e-08,0.266715381804896
"9257","2'-Deoxycytidine","NAD",4.42199919376173e-08,0.14260138838144
"9258","6-Methyladenosine","Ribulose 5-Phosphate",4.43744771590148e-08,0.107380343441725
"9259","ADP","Carnosine",4.47022550355841e-08,0.262148337595908
"9260","2-isoPropylmalic Acid","Adipic Acid / 3-Methylglutaric Acid",4.48417801704445e-08,0.0567044208987943
"9261","Citrulline","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",4.52472719317855e-08,-0.106868834490318
"9262","N6-Trimethyllysine","Ornithine",4.53792014677172e-08,0.10748995250274
"9263","Cysteinyl-Glycine (Cys-Gly)","DCDP",4.54558586332844e-08,-0.0153087321885276
"9264","Ornithine","Phosphotyrosine",4.58188144490735e-08,0.0583120204603581
"9265","Dimethylglycine","Pantothenate",4.61980848995284e-08,0.164596273291925
"9266","Cytidine","Histidine",4.66819872937448e-08,0.134672999634636
"9267","cGMP","Margaric Acid",4.67565492452134e-08,-0.134198027036902
"9268","Lysine","Taurine",4.68152514491211e-08,-0.283229813664596
"9269","6-Methyladenosine","Aminolevulinate",4.68449448925218e-08,0.215235659481184
"9270","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Fructose",4.72142201527315e-08,0.004165144318597
"9271","2-Aminoisobutyric Acid","Xanthine",4.73937471978161e-08,0.0440628425283157
"9272","N6-Acetyl-Lysine","Phosphotyrosine",4.75664952055563e-08,0.111216660577274
"9273","Asparagine","Ribulose 5-Phosphate",4.78134346000925e-08,0.0720496894409938
"9274","3-Hydroxypropionic Acid","Orotate",4.78584235405e-08,0.110960906101571
"9275","Cysteinyl-Glycine (Cys-Gly)","Lactose/Trehalose",4.80494838542843e-08,0.144135915235659
"9276","FAD","Histamine",4.8143343142993e-08,0.0872488125685057
"9277","Acetylcarnitine","Adenosine",4.84057925926801e-08,0.185568140299598
"9278","Succinate","Succinylcarnitine",4.89189839366627e-08,0.186773839970771
"9279","Cysteinyl-Glycine (Cys-Gly)","Cystine",4.89904583387475e-08,0.145085860431129
"9280","Myristic Acid","Phosphoserine",4.9525376247159e-08,0.0307636097917428
"9281","Ribose-5-P","Tyrosine",4.97942509374746e-08,-0.0552795031055901
"9282","AMP","o-Phosphoethanolamine",5.00515583820871e-08,0.224077457069784
"9283","Adenine","Dimethylglycine",5.01122520825597e-08,-0.0672268907563025
"9284","5'-Methylthioadenosine","Cadaverine",5.0167357504258e-08,-0.192985020094995
"9285","5'-Methylthioadenosine","Uridine",5.0456745206213e-08,0.205480453050786
"9286","S-Methylcysteine","Threonine",5.08825947356884e-08,-0.0837413226160029
"9287","D-Leucic Acid","Inosine",5.14223038846116e-08,-0.0815126050420168
"9288","Homocitrulline","Pantothenate",5.2390677014989e-08,0.0972597734746073
"9289","Pyroglutamic Acid","Sarcosine",5.28254813621734e-08,0.267848008768725
"9290","Pipecolate","Sorbitol",5.2881402897122e-08,-0.24855681402996
"9291","Cysteinyl-Glycine (Cys-Gly)","Riboflavin",5.2961537189584e-08,-0.160248447204969
"9292","Adenine","Succinylcarnitine",5.35024037291395e-08,-0.322506393861893
"9293","iso-Leucine /allo-isoLeucine","UMP",5.37063363006779e-08,0.280051150895141
"9294","3HBA","Threonine",5.4136376142356e-08,0.00949945195469492
"9295","Cystine","Fructose",5.42547892353574e-08,-0.140043843624406
"9296","Deoxycarnitine","N-AcetylGlycine",5.43216287069074e-08,-0.0942637924735111
"9297","Adenylosuccinate","DCDP",5.44792402037968e-08,0.337961271465108
"9298","4-Guanidinobutanoate","Anthranilic Acid",5.47747854815991e-08,0.0857508220679576
"9299","betaAlanine","Cadaverine",5.52524404006373e-08,-0.213080014614542
"9300","betaAlanine","Guanine",5.5392027874887e-08,-0.0588966021191085
"9301","2'-Deoxycytidine","5-Methylcytidine",5.56843253856892e-08,0.232298136645963
"9302","Creatine","Indole-3-Carboxylic Acid",5.56897826641333e-08,-0.0293021556448666
"9303","Deoxycarnitine","Maleic Acid",5.60439427308581e-08,-0.112568505663135
"9304","4-Hydroxybenzoic Acid","Adenylosuccinate",5.65351116370272e-08,0.257252466203873
"9305","Glycerol-3-P","Glycine",5.65678791489032e-08,-0.15527950310559
"9306","Myristic Acid","Neopterin",5.65931860216009e-08,0.190756302521008
"9307","N-Ac-Phenylalanine","Oxidized Glutathione",5.66905796706781e-08,0.283814395323347
"9308","Spermidine","Tryptophan",5.6733562425875e-08,0.177420533430764
"9309","2-Hydroxyphenylacetate","Glycine",5.68389461158288e-08,0.16218487394958
"9310","Arginine","Argininosuccinate",5.68616222866506e-08,0.120204603580563
"9311","L-2-Aminobutyric Acid","Pyroglutamic Acid",5.69259476053709e-08,-0.00489587139203508
