"rowname","colname","p_means","R_means","pvalue","R_squared","p_F_all","R_F_all","p_F","R_F","p_M_all","R_M_all","p_M","R_M","p_SD","R_SD"
"Choline","Glyceraldehyde",1.23314382352939e-98,-0.733489187609585,3.47463381854505e-101,-0.717355194999786,1.70786998620103e-50,-0.50311917165091,4.52986865884066e-37,-0.54384236453202,6.75240793259555e-63,-0.542236024844721,1.12873757880509e-35,-0.417241379310345,9.5097282305442e-05,-0.722660098522167
"Betaine","PEP",4.27621416308682e-89,-0.733058537635731,5.05936143596675e-93,-0.73674386746008,2.271804315686e-30,-0.400411602032285,2.82136247352267e-14,-0.208374384236453,1.87304373384724e-95,-0.781147241505298,1.30229873184763e-81,-0.775369458128079,0.000155755144209947,-0.72167487684729
"Alpha-Ketoglutaric Acid","Maleic Acid",9.2743961472895e-103,-0.731212894890645,9.19439517208662e-97,-0.642411918318421,9.46385859409874e-45,-0.424914785516754,2.23076883856588e-58,-0.499014778325123,3.07103818302324e-59,-0.605590062111801,1.31034368389889e-38,-0.550738916256158,NA,NA
"G6P","Xanthine",1.4844058345601e-96,-0.72838290934818,1.02235289600256e-88,-0.698822723575495,7.59490917761308e-62,-0.727024245932214,5.24543544348928e-58,-0.742857142857143,9.10610240591931e-38,-0.529009864815492,1.40362215934209e-46,-0.582758620689655,0.0245552356436041,-0.518226600985222
"1/3-Methylhistidine","Pyridoxamine",1.21214452108242e-94,-0.728321387923344,1.19724727945736e-91,-0.709276938225095,5.734220928079e-54,-0.641874075503248,3.20582691173689e-55,-0.706403940886699,6.88109457466288e-63,-0.532773109243698,2.40395176806358e-56,-0.523645320197044,0.000152347714366024,-0.696551724137931
"Choline","UDP-GlcNAc",2.60117093363767e-79,-0.727398566550801,4.11667672778655e-63,-0.630356607731495,6.81164009488743e-67,-0.676602996977298,4.70623869510779e-71,-0.711822660098522,1.74569695832738e-80,-0.698027036901717,1.85323718468036e-71,-0.74384236453202,0.00010463592781828,-0.783251231527093
"PEP","Urate",1.1057954820899e-97,-0.726967916576948,7.16078873973811e-94,-0.716439059891262,1.42760023453209e-30,-0.414978455206123,4.92141724422995e-22,-0.363054187192118,1.55474294876907e-72,-0.669126781147242,2.13136751379684e-66,-0.649753694581281,0.00103809204076983,-0.718226600985222
"Glutaric Acid","UDP-GlcNAc",5.17178694279757e-93,-0.725860530929896,1.66110956762647e-94,-0.707376171925168,1.62751300221087e-50,-0.609363946234485,1.61369440676224e-39,-0.577832512315271,1.80728007464926e-121,-0.811253196930946,2.34896002754043e-106,-0.827093596059113,0.000102288159077034,-0.767487684729064
"Maleic Acid","PEP",8.23631861158779e-88,-0.725552923805715,3.70661746259371e-83,-0.655075131640909,5.16325934312629e-31,-0.354138529808991,2.81450091601428e-18,-0.28128078817734,9.12546644181778e-87,-0.694409937888199,3.83251144958152e-81,-0.76256157635468,0.000214266520823586,-0.714778325123153
"3-(4-Hydroxyphenyl)Propionate","G6P",1.84423457657929e-96,-0.723953366759974,6.40202605346246e-90,-0.608741812577593,3.99551424589412e-30,-0.349508006945784,1.65915040908713e-18,-0.370443349753695,1.37954703075842e-56,-0.462586773839971,2.43620713409752e-49,-0.54384236453202,NA,NA
"Arginine","Glyceraldehyde",2.08188050529048e-103,-0.723645759635793,1.30236114915766e-109,-0.728190419110407,2.07175777689677e-28,-0.391890153707634,1.00677462370048e-10,-0.21871921182266,3.06183112173864e-79,-0.643222506393862,3.21275906647039e-71,-0.655172413793103,7.29416802914393e-05,-0.769950738916256
"Betaine","SAH",5.65016656489532e-88,-0.722353809714233,2.29353830989843e-95,-0.666364142300612,2.40798980768336e-59,-0.527268634638884,3.16132280624209e-67,-0.686206896551724,7.06172832377589e-129,-0.776982097186701,2.04244772080089e-106,-0.780788177339901,8.47884549936449e-08,-0.922167487684729
