"sex","genotype","absn5"
"female",31,0.396
"female",31,0.219
"male",531,0.266
"male",531,0.192
"male",531,0.265
"female",319,0.351
"female",319,0.429
"female",83,0.391
"female",83,0.543
"male",776,0.237
"male",776,0.176
"male",83,0.381
"male",83,0.295
"male",83,0.265
"male",208,0.235
"male",208,0.192
"male",208,0.253
"female",208,0.348
"female",208,0.397
"female",208,0.34
"male",513,0.153
"male",513,0.195
"male",513,0.191
"male",879,0.3
"male",879,0.22
"male",879,0.236
"male",879,0.251
"female",138,0.485
"female",138,0.539
"female",513,0.365
"female",513,0.44
"female",513,0.409
"male",177,0.113
"male",177,0.198
"female",177,0.174
"female",177,0.278
"female",531,0.612
"female",531,0.549
"female",531,0.655
"male",324,0.277
"male",324,0.229
"male",324,0.278
"male",535,0.357
"male",535,0.225
"male",535,0.338
"female",373,0.561
"female",373,0.578
"male",406,0.253
"male",406,0.23
"female",406,0.436
"female",406,0.253
"female",83,0.401
"female",83,0.488
"male",83,0.361
"male",83,0.332
"male",83,0.309
"female",879,0.432
"female",879,0.259
"female",879,0.434
"female",879,0.382
"male",31,0.525
"female",31,0.391
"female",31,0.556
"female",31,0.771
"female",31,0.787
"female",324,0.424
"female",324,0.272
"female",324,0.378
"male",373,0.332
"male",373,0.319
