"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG"
"Dimethylglycine",-0.175920514319112,0.186044241270341,0.266807632829559,"NS"
"Orotate",-0.174444000123043,0.189810179025954,0.270066803710515,"NS"
"DCDP",0.173890307299517,0.191236493438257,0.270066803710515,"NS"
"4-Hydroxybenzoic Acid",0.17222922882894,0.195561754646055,0.274082762193334,"NS"
"Citrulline",-0.167615121966225,0.207943870656573,0.289245233620046,"NS"
"Glycerol-3-P",-0.164477529299579,0.216675647913567,0.299141752716492,"NS"
"Glutamic acid",-0.160047986711372,0.229438036404254,0.314415086924348,"NS"
"UMP",-0.158940601064321,0.232708860616199,0.316552494220564,"NS"
"Creatine",-0.154757144175459,0.245357167566013,0.331321722625638,"NS"
"Agmatine",0.149773908763727,0.261030081174327,0.349931630559786,"NS"
"GMP",0.146574794672245,0.271441727356084,0.361271363747307,"NS"
"Nicotinic Acid",-0.143006552031745,0.283379265695875,0.374465458240978,"NS"
"Hypotaurine",0.139130702267065,0.296734927258203,0.387152315713334,"NS"
"2-Aminoadipate",0.139007659417392,0.297165561250234,0.387152315713334,"NS"
"Phosphoserine",0.137715709495832,0.301711922850022,0.390326613477301,"NS"
"Allantoin",-0.136854409548125,0.304767897563466,0.39154209061973,"NS"
"Ornithine",0.135377895352056,0.310053373535702,0.395585338648999,"NS"
"Tryptophan",-0.130886831339014,0.326492243977357,0.413705925587747,"NS"
"Dimethylarginine (A/SDMA)",0.12399643175736,0.352771218060684,0.443963777831473,"NS"
"o-Phosphoethanolamine",-0.118090374973084,0.376309356451934,0.470386695564918,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.108493032698637,0.416526615570566,0.517163918661441,"NS"
"Oxidized Glutathione",0.0996339475222246,0.455763292731884,0.562108061035991,"NS"
"N-AcetylGlycine",-0.0973576548032853,0.466164074903104,0.571128171238902,"NS"
"5'-Methylthioadenosine",-0.0966193977052509,0.46956481915981,0.57150981279319,"NS"
"Homocitrulline",-0.0942815835614753,0.480421952196248,0.580902360498731,"NS"
"Thiamine",0.089852040973269,0.501355614297333,0.602277848344199,"NS"
"Pyroglutamic Acid",0.088314005352364,0.508733366475025,0.607197889018579,"NS"
"n-Glycylproline",0.0859761912085884,0.520053390648333,0.613154803070257,"NS"
"Phenylalanine",-0.0859146697837522,0.520352995038002,0.613154803070257,"NS"
"Cystine",0.0790857916269341,0.554141874231545,0.648837004638202,"NS"
"Serine",-0.073179734842659,0.584187827865109,0.676199981223024,"NS"
"Glycine",-0.0730566919929866,0.584821605382075,0.676199981223024,"NS"
"Phosphorylcholine",0.0723184348949522,0.588630831260183,0.676377042131266,"NS"
"gamma-Aminobutyrate",0.070718877849211,0.596922423792335,0.681670669145568,"NS"
"N-Ac-Alanine",-0.0699190993263404,0.601087650742643,0.682216045321405,"NS"
"2-isoPropylmalic Acid",-0.0664738995355132,0.619175235175546,0.698459868948024,"NS"
"Acetylcholine",0.0629056568950137,0.638149914413047,0.712292182246682,"NS"
"4-Pyridoxic Acid",-0.0627210926205051,0.639137850015941,0.712292182246682,"NS"
"Trigonelline",-0.0527546217970408,0.693379193342958,0.768114675260163,"NS"
"Leucine /D-Norleucine",-0.0515241933003168,0.70019080310633,0.771043443896852,"NS"
"2'-Deoxycytidine",-0.0494324648558861,0.711824699093908,0.779216386582089,"NS"
