"COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj","deltaTAG_R_spearman","deltaTAG_p","deltaTAG_adj","sig_deltaTAG","deltaPC1_R_spearman","deltaPC1_p","deltaPC1_adj","sig_deltaPC1","deltaPC2_R_spearman","deltaPC2_p","deltaPC2_adj","sig_deltaPC2","TAG_R_spearman.x","TAG_p.x","TAG_adj.x","sig_TAG.x","mass_R_spearman.x","mass_p.x","mass_adj.x","sig_mass.x","rTAG_R_spearman.x","rTAG_p.x","rTAG_adj.x","sig_rTAG.x","TAG_R_spearman.y","TAG_p.y","TAG_adj.y","sig_TAG.y","mass_R_spearman.y","mass_p.y","mass_adj.y","sig_mass.y","rTAG_R_spearman.y","rTAG_p.y","rTAG_adj.y","sig_rTAG.y"
"5-Methylcytidine","AIC_geno",0.763935660925939,0.601819187103993,0.668392042541023,2.11002769071294e-07,0.195803770336061,0.000758884426420055,0.480710483827994,0.14696407587919,0.772828299188058,5.42159892752631e-07,0.216908368336355,0.165024630541872,0.390653719922394,0.582830146658411,"NS",0.292118226600985,0.124106599125896,0.210146043731528,"NS",-0.226600985221675,0.236156206994159,0.412159417867165,"NS",-0.000522932111107693,0.997064919884842,0.997064919884842,"NS",-0.12085636858009,0.39340608623324,0.485200839687663,"NS",0.293946896610604,0.034805860345517,0.510437853210429,"NS",0.0296198815443366,0.729240702506621,0.766531420248437,"NS",-0.117657961639974,0.223049008967355,0.288559906706019,"NS",0.204355481419702,0.0332136791791311,0.21944752314783,"NS"
"5,6-Dihydrouracil","AIC_int",0.695040071457321,0.485609759084637,3.80945812560473e-07,0.00794187262898846,0.000260106775627972,0.12387301106132,0.228742240746593,0.307674629777457,3.52374876618438e-05,0.0103468058898793,0.000874904608930452,0.0798029556650246,0.679713040697746,0.806069952109507,"NS",0.27192118226601,0.153257988160505,0.240277354319435,"NS",-0.324137931034483,0.0866619341081987,0.222673025139122,"NS",0.206804269586884,0.119203080686193,0.190108361439188,"NS",0.292001964354581,0.0356859942625194,0.0673664177404704,"NS",-0.127550584820285,0.366448793504326,0.682119395881367,"NS",0.155213362827451,0.0680784523318548,0.105836249423472,"NS",0.295127240578655,0.00183697876237511,0.00429397018796538,"SIG",-0.131174126586971,0.17370647718017,0.387177087690741,"NS"
"6-Methyladenosine","AIC_int",0.645631012576328,0.402269177839589,0.42379086845421,0.0963683560570271,0.0243218015118391,0.00359730155350401,0.227392973038586,0.276147047523537,0.540698694234681,0.108708206527744,0.0357105815848432,0.550246305418719,0.00232259825411405,0.0226147724742684,"NS",0.403940886699507,0.0306393955191506,0.0596661912741353,"NS",0.112315270935961,0.560400844167811,0.69579970584594,"NS",-0.386631394383094,0.00289954246202933,0.0116612033799006,"NS",-0.383828897881876,0.00496926395287805,0.0135193210482712,"NS",0.0234781866302399,0.868546107273425,0.925708926756164,"NS",-0.254844482826324,0.00246510003550404,0.00600057245484537,"SIG",-0.263743443548585,0.00558741175694629,0.0116377133272848,"NS",0.00852562320452229,0.929808252840814,0.979996791040324,"NS"
"7-Methylguanine","AIC_int",0.887011031635246,0.809416197938969,0.00155886420920262,7.21772286748127e-23,0.0451340281088927,0.01121511164091,0.46487859477049,0.0479723160296814,0.0205992770501775,3.96942345235857e-21,0.0571903780831859,0.102955665024631,0.593742707041663,0.741734703108786,"NS",0.0369458128078818,0.849093210568081,0.872679133083861,"NS",-0.096551724137931,0.617044470857061,0.733895857524599,"NS",0.0454950936663693,0.733901196329412,0.798657184240831,"NS",-0.146427885633949,0.300279287736508,0.388473204414364,"NS",0.127892085716725,0.365158668682471,0.682119395881367,"NS",-0.0366712767433956,0.668223090786218,0.710467079284198,"NS",-0.213699887085458,0.0256671090669092,0.042396564083734,"NS",0.140274302659624,0.145542016120844,0.354671540591952,"NS"
"Acetylcarnitine","AIC_int",0.819696406370514,0.695873456528578,0.0290696802212204,0.00377119969427209,0.000582440428856439,0.0224637134750903,0.275594420713532,0.323747567463248,0.116909203064615,0.00528539351091165,0.00181787206384305,-0.00147783251231527,0.994906729975292,0.994906729975292,"NS",-0.0881773399014778,0.648079889686106,0.709280539834698,"NS",-0.107389162561576,0.577840728299009,0.707950561161038,"NS",0.2822910578609,0.0321435352865282,0.0613046807011104,"NS",0.386176866893499,0.00468887838408826,0.0131430681978231,"NS",-0.0451634935541706,0.749924212495415,0.865294982216323,"NS",0.246709460671769,0.00341379015935712,0.00787620277578103,"SIG",0.306855040709041,0.00117287975092315,0.00297236649206551,"SIG",-0.0371605967936243,0.700833166777792,0.820234757376633,"NS"
"Acetylcholine","AIC_null",0.457916039625691,0.0856415126216477,0.390148405779896,0.101462126688581,0.305725951596641,0.00474918396587208,0.257700594059065,0.205029619803584,0.515553250494862,0.113760566287197,0.326932375984847,-0.0177339901477832,0.927769980372896,0.969360616199537,"NS",0.235960591133005,0.216954823261581,0.321093138427141,"NS",-0.0448275862068965,0.817184847798138,0.868081989639918,"NS",0.0629056568950137,0.638149914413047,0.712292182246682,"NS",0.165339708763931,0.241445441988351,0.325497380122244,"NS",-0.137454110817041,0.330167287672994,0.662983873581327,"NS",0.0432333641006949,0.613314858647924,0.671380170709266,"NS",0.127272811608584,0.187229905349055,0.247410946354108,"NS",0.00143638217032712,0.988191288497613,0.994099787323673,"NS"
"Adenine","AIC_sex_geno",0.825857518554345,0.706265693947088,0.9562820598677,1.95515114711252e-12,0.1885829786132,9.57364952334267e-06,0.62216712899781,0.114223045113862,0.977415365058146,1.00473045059949e-11,0.210167777370133,-0.284729064039409,0.13424781560518,0.279054448168071,"NS",-0.168965517241379,0.379303312928467,0.48062406090251,"NS",0.0857142857142857,0.657323785713767,0.755309940105882,"NS",-0.303762035128734,0.0208032863814074,0.0447512555879113,"NS",-0.321629064246697,0.0200679879573992,0.0424813308420479,"NS",0.194570135746606,0.166494663739549,0.53459864609592,"NS",-0.157311353984585,0.0643916954962847,0.100953081922141,"NS",-0.263683205934323,0.00559868370880186,0.0116377133272848,"NS",0.18596052265777,0.0529804477796655,0.251317508698413,"NS"
"Adenosine","AIC_int",0.794662790898128,0.653648081032987,0.260824822425006,6.16823896331209e-08,0.00432689643739545,0.00476397208931385,0.463318623412916,0.22201297489531,0.398781753294431,1.7289760730496e-07,0.00884125908705229,-0.455665024630542,0.0137732549271092,0.0631666256898653,"NS",-0.550246305418719,0.00232259825411405,0.00622725618856666,"SIG",0.214285714285714,0.263128549299924,0.442534378368055,"NS",-0.304438770801932,0.0205101625134959,0.04463976547055,"NS",-0.235693398421292,0.0925527646983644,0.148889230166934,"NS",0.105523776999915,0.455423339118661,0.745619994041499,"NS",-0.165091125240328,0.0521168221141154,0.0853240008062952,"NS",-0.230126221128216,0.0160712984145482,0.0291489235950139,"NS",0.0471226021684737,0.626059046818564,0.773648906298133,"NS"
"Adenylosuccinate","AIC_sex",0.61358567809523,0.34821680642569,0.0900971036154237,0.284032465006661,0.160435863353087,0.0182223668156044,0.203477092270103,0.230934136786362,0.208199834015869,0.303734138879955,0.182089783560252,-0.0103448275862069,0.958253199019613,0.976116896012722,"NS",0.207881773399015,0.277928408585753,0.380864856210106,"NS",-0.417241379310345,0.0252011655613833,0.113712576313559,"NS",-0.35156418222646,0.00708283119751415,0.0229881363428091,"NS",-0.613204125144619,1.34594289961905e-06,2.7666604047725e-05,"SIG",0.0919491163664305,0.515679715511118,0.76707252583253,"NS",-0.41052481067171,5.18395315049547e-07,6.85022380601188e-06,"SIG",-0.525142253803619,4.56353449697911e-09,6.03038487100811e-08,"SIG",0.0254193309239181,0.792740286226578,0.883016832890366,"NS"
"Adipic Acid / 3-Methylglutaric Acid","AIC_int",0.72870522396592,0.542394353677456,0.0912391226457291,5.42066956766283e-10,3.65230317927374e-10,0.00722970700610452,0.385291199992631,0.392012096760849,0.208199834015869,2.13366780854813e-09,6.75676088165642e-09,-0.331034482758621,0.0798815771466853,0.182445577433787,"NS",-0.655172413793103,0.000164223808763536,0.000741009868811077,"SIG",0.458620689655172,0.0131140443791744,0.0741235062247352,"NS",-0.320864991233197,0.0144012247193838,0.0379578948596047,"NS",-0.300369272105092,0.0304970900035985,0.0593890700070076,"NS",0.0878511056091522,0.53463268317717,0.76707252583253,"NS",-0.221960314721206,0.00863734328378173,0.0169990266755279,"NS",-0.246798139290654,0.00967898632844611,0.0190490688378993,"NS",0.0887498841627282,0.358219958358719,0.559169088959191,"NS"
