"COMPOUND","deltaPC2_R_spearman","deltaPC2_p","deltaPC2_adj","sig_deltaPC2"
"Hypoxanthine",-0.0960591133004926,0.618852723101824,0.733895857524599,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.0911330049261083,0.637055595573333,0.750670606248832,"NS"
"Dimethylarginine (A/SDMA)",0.0891625615763547,0.644396748901138,0.751475282250563,"NS"
"Succinate",0.0886699507389162,0.646237280048976,0.751475282250563,"NS"
"Xanthurenic Acid",-0.0876847290640394,0.649924568432919,0.751475282250563,"NS"
"Adenine",0.0857142857142857,0.657323785713767,0.755309940105882,"NS"
"Glutamine",0.0832512315270936,0.666618222393822,0.761261550264549,"NS"
"iso-Leucine /allo-isoLeucine",0.080295566502463,0.677836559703946,0.769323702731472,"NS"
"Ribose-5-P",-0.0724137931034483,0.708083143140498,0.798752326103611,"NS"
"Arabitol/Xylitol",-0.0689655172413793,0.72145949340289,0.808909128966876,"NS"
"Pseudouridine",0.0615763546798029,0.75039517007009,0.836283773873293,"NS"
"Cytidine",-0.0556650246305419,0.77379085701008,0.857193464352484,"NS"
"Proline",0.0541871921182266,0.779671601252766,0.857652790496813,"NS"
"DHAP/D-GA3P",0.0517241379310345,0.789499615762485,0.857652790496813,"NS"
"2-Aminoadipate",0.0512315270935961,0.791469131564404,0.857652790496813,"NS"
"Homocitrulline",0.0502463054187192,0.795411983819712,0.857652790496813,"NS"
"Glycerol-3-P",0.0497536945812808,0.79738529711055,0.857652790496813,"NS"
"Acetylcholine",-0.0448275862068965,0.817184847798138,0.868081989639918,"NS"
"5'-Methylthioadenosine",0.0443349753694581,0.819171186578995,0.868081989639918,"NS"
"Citrulline",-0.0438423645320197,0.821158638848571,0.868081989639918,"NS"
"S-Methylcysteine",0.025615763546798,0.895367289979333,0.941153117307822,"NS"
"2-Hydroxyglutarate",-0.0133004926108374,0.946050474396856,0.987480982093779,"NS"
"Inosine",0.0123152709359606,0.950116836825366,0.987480982093779,"NS"
"Tyrosine",0.00640394088669951,0.974537630399399,0.996217205585254,"NS"
"Linoleic Acid",0.00541871921182266,0.978610584247344,0.996217205585254,"NS"
"4-Pyridoxic Acid",-0.00344827586206897,0.986757994755238,0.996217205585254,"NS"
"Alanine",0.00246305418719212,0.990832247717225,0.996217205585254,"NS"
"Riboflavin",0.00246305418719212,0.990832247717225,0.996217205585254,"NS"
"Lysine",-0.00246305418719212,0.990832247717226,0.996217205585254,"NS"
"Oxidized Glutathione",0,1,1,"NS"
