"COMPOUND","deltaTAG_R_spearman","deltaTAG_p","deltaTAG_adj","sig_deltaTAG"
"Glutamine",-0.163054187192118,0.396402264374313,0.586675351273984,"NS"
"Glycerol-3-P",0.154187192118227,0.422869494997738,0.618174397789168,"NS"
"GMP",-0.153694581280788,0.424368370374186,0.618174397789168,"NS"
"2-Aminoadipate",-0.151231527093596,0.431907247713258,0.624240943960568,"NS"
"Myristic Acid",0.144827586206897,0.451852304699748,0.637190199100783,"NS"
"Sorbitol",-0.144334975369458,0.453406922796869,0.637190199100783,"NS"
"UDP-Glucose",0.144334975369458,0.453406922796869,0.637190199100783,"NS"
"N-Ac-Alanine",-0.14384236453202,0.454964429455096,0.637190199100783,"NS"
"4-Pyridoxic Acid",-0.142857142857143,0.458088089083265,0.637190199100783,"NS"
"IMP",-0.137931034482759,0.473878014724928,0.654234572567998,"NS"
"betaAlanine",0.132512315270936,0.491572662281497,0.673636611274644,"NS"
"Xanthine",-0.129556650246305,0.501365560882175,0.682004623258841,"NS"
"Phosphorylcholine",0.127093596059113,0.509601293940038,0.685380153272014,"NS"
"Guanine",-0.126600985221675,0.51125654676507,0.685380153272014,"NS"
"Inosine",0.12512315270936,0.516238403980682,0.687079890190117,"NS"
"Dimethylglycine",0.119704433497537,0.534709301622838,0.706580148573036,"NS"
"Nicotinic Acid",0.117733990147783,0.541504295939424,0.710484359920521,"NS"
"NAD",-0.114778325123153,0.551773627205334,0.718860007274555,"NS"
"cGMP",0.110837438423645,0.565607060133945,0.730537087121675,"NS"
"N2,N2-Dimethylguanosine",0.10935960591133,0.57083543983143,0.730537087121675,"NS"
"N-Ac-L-Glutamine",0.108866995073892,0.57258312233861,0.730537087121675,"NS"
"Niacinamide",-0.103448275862069,0.591966371660323,0.741734703108786,"NS"
"7-Methylguanine",0.102955665024631,0.593742707041663,0.741734703108786,"NS"
"Succinate",-0.100492610837438,0.602659239527174,0.741734703108786,"NS"
"o-Phosphoethanolamine",0.0995073891625616,0.606241961568285,0.741734703108786,"NS"
"ADP",0.0990147783251231,0.608036740567188,0.741734703108786,"NS"
"Alpha-Ketoglutaric Acid",0.0980295566502463,0.611633091600749,0.741734703108786,"NS"
"Orotate",0.0980295566502463,0.611633091600749,0.741734703108786,"NS"
"Hypotaurine",0.0975369458128079,0.613434646354834,0.741734703108786,"NS"
"2-Aminoisobutyric Acid",0.0862068965517241,0.655470925015945,0.787416370960713,"NS"
"Pyroglutamic Acid",0.0827586206896552,0.668483068796061,0.797866888563041,"NS"
"5,6-Dihydrouracil",0.0798029556650246,0.679713040697746,0.806069952109507,"NS"
"Sarcosine",-0.0783251231527093,0.685353870493007,0.807582586249721,"NS"
"Xanthurenic Acid",-0.0753694581280788,0.696685865855299,0.812814299444165,"NS"
"Xanthosine",0.0748768472906404,0.698580938441201,0.812814299444165,"NS"
"Pantothenate",0.0724137931034483,0.708083143140498,0.818721134256201,"NS"
"L-2-Aminobutyric Acid",0.070935960591133,0.713805565960735,0.820211364613267,"NS"
"Linolenic Acid",-0.0689655172413793,0.72145949340289,0.823888927651448,"NS"
"Deoxyguanosine",-0.0591133004926108,0.760117965678548,0.862710574543137,"NS"
"Pseudouridine",-0.0571428571428571,0.767922537264907,0.866254081670779,"NS"
"Phosphotyrosine",-0.0472906403940887,0.807270269985858,0.89966867438183,"NS"
"Kynurenic Acid",0.0472906403940887,0.807270269985859,0.89966867438183,"NS"
"Riboflavin",-0.0394088669950739,0.839093852930346,0.922909936002922,"NS"
"Allantoin",0.0389162561576355,0.841091784617071,0.922909936002922,"NS"
"Pipecolate",0.038423645320197,0.843090698294561,0.922909936002922,"NS"
"N-Ac-Phenylalanine",-0.0369458128078818,0.849093210568081,0.924013199735853,"NS"
"Guanosine",-0.0285714285714286,0.883256495595661,0.955569892895891,"NS"
"iso-Leucine /allo-isoLeucine",-0.025615763546798,0.895367289979333,0.963040399105678,"NS"
"Sedoheptulose 7-Phosphate",0.0206896551724138,0.915602691330906,0.969360616199537,"NS"
"Citrulline",-0.0197044334975369,0.919656484303602,0.969360616199537,"NS"
"Neopterin",-0.0197044334975369,0.919656484303602,0.969360616199537,"NS"
"Carnitine",-0.0182266009852217,0.925740899026757,0.969360616199537,"NS"
"Acetylcholine",-0.0177339901477832,0.927769980372896,0.969360616199537,"NS"
"Lactate",0.016256157635468,0.933859877418863,0.969360616199537,"NS"
"Glucoronate",-0.0152709359605911,0.937921893511984,0.969360616199537,"NS"
"Adenylosuccinate",-0.0103448275862069,0.958253199019613,0.976116896012722,"NS"
"Fructose",-0.0103448275862069,0.958253199019613,0.976116896012722,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.00985221674876847,0.960287973374678,0.976116896012722,"NS"
"Glycine",0.00788177339901478,0.968429425196922,0.979013353341151,"NS"
"Carnosine",0.00443349753694581,0.982684072977165,0.988024747286823,"NS"
"Acetylcarnitine",-0.00147783251231527,0.994906729975292,0.994906729975292,"NS"
