"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG","mass_R_spearman","mass_p","mass_adj","sig_mass","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"G1P/F1P/F6P",0.503460580147036,7.06311732571506e-05,0.000933340503755205,"SIG",0.621614123240796,8.73807501439856e-07,2.30934839666248e-05,"SIG",-0.158712541620422,0.26026040949091,0.662983873581327,"NS"
"G6P",0.4797748315851,0.000166260662229024,0.00170879013957608,"SIG",0.614655596897259,1.2503640151714e-06,2.7666604047725e-05,"SIG",-0.153760778622044,0.275571987215359,0.662983873581327,"NS"
"gamma-Aminobutyrate",0.070718877849211,0.596922423792335,0.681670669145568,"NS",-0.046190954010476,0.745056727313507,0.810797026782346,"NS",0.0679586783915308,0.631228316577943,0.810301751096429,"NS"
"Glucoronate",-0.306715063520871,0.0195499289659539,0.0435751428759213,"NS",-0.164870114961607,0.242803451118215,0.325497380122244,"NS",-0.194057884401947,0.167630125293089,0.53459864609592,"NS"
"Glucosamine",0.440831769663786,0.000602808239054925,0.00359740400726326,"SIG",0.567824287701795,1.13215666106497e-05,0.000116360545720567,"SIG",-0.265004695637326,0.0578859310625612,0.533124095945809,"NS"
"Glucose",0.315574148697284,0.0161698215373875,0.0388495712261907,"NS",0.47215522306457,0.000409475818881323,0.00176169829053592,"SIG",-0.211986681465039,0.131170089401085,0.53459864609592,"NS"
"Glutamic acid",-0.160047986711372,0.229438036404254,0.314415086924348,"NS",-0.244274157900133,0.0809480328143989,0.132615184358501,"NS",0.0869119781439426,0.539023937071508,0.76707252583253,"NS"
"Glutamine",0.360484788827709,0.00569203606189543,0.019145939480921,"NS",0.437917565840539,0.00116722969435801,0.00423406849914181,"SIG",-0.0657389225646717,0.64244377164372,0.814055464069097,"NS"
"Glutaric Acid",-0.319080869912947,0.0149779801337899,0.0379578948596047,"NS",-0.332728554119825,0.0159470526718228,0.0362703496442664,"NS",0.173055579270896,0.219199179669374,0.614421943012639,"NS"
"Glyceraldehyde",0.428096834722692,0.000891395871743051,0.00499721928098377,"SIG",0.564323679357193,1.31716547107311e-05,0.000123941331724201,"SIG",-0.268248954153505,0.0548012784475299,0.533124095945809,"NS"
"Glycerol-3-P",-0.164477529299579,0.216675647913567,0.299141752716492,"NS",-0.117355760235489,0.407352754583174,0.499074566873425,"NS",-0.192777256040297,0.170493622268429,0.53459864609592,"NS"
"Glycerophosphocholine",0.0446337937186625,0.738760035822282,0.799243313608902,"NS",-0.00973339881181935,0.945400434389668,0.966293261668997,"NS",0.110646290446512,0.43373555105372,0.737233003253975,"NS"
"Glycine",-0.0730566919929866,0.584821605382075,0.676199981223024,"NS",-0.129437128058931,0.360427870252793,0.453599700658277,"NS",0.0980107572782379,0.488283793764044,0.758058327517858,"NS"
"GMP",0.146574794672245,0.271441727356084,0.361271363747307,"NS",0.172255544761803,0.22204464187046,0.306554169746531,"NS",-0.199351148296764,0.156168246362223,0.53459864609592,"NS"
"Guanine",0.452274754683319,0.000418970865762637,0.0028707263024477,"SIG",0.480778672889077,0.000309012551753268,0.0014658287711373,"SIG",0.060531033893964,0.669068156977707,0.821808924279894,"NS"
"Guanosine",-0.0362668799409394,0.786466151310396,0.836185275818524,"NS",0.00251873039428659,0.985861173084039,0.985861173084039,"NS",-0.0901562366601212,0.523929505054993,0.76707252583253,"NS"
"Histamine",-0.315820234396629,0.0160836009154857,0.0388495712261907,"NS",-0.562786826913222,1.40690160335579e-05,0.000123941331724201,"SIG",0.290788013318535,0.0368754646696298,0.510437853210429,"NS"
"Histidine",0.177212464240672,0.182793679727051,0.264193990230503,"NS",0.280603642061792,0.0439093555321764,0.0793485804656664,"NS",-0.337659011354905,0.0147521175990897,0.490862039774034,"NS"
"Homoarginine",0.351994832200314,0.0070093957975651,0.0229881363428091,"NS",0.385323059980182,0.00478918746343167,0.0132238758318636,"NS",-0.146760010245027,0.298225186547234,0.662983873581327,"NS"
"Homocitrulline",-0.0942815835614753,0.480421952196248,0.580902360498731,"NS",-0.0343657282610289,0.80888705628053,0.86101444923016,"NS",-0.228805600614702,0.102751698583423,0.53459864609592,"NS"
"Hydrocinnamic Acid",-0.40514934325879,0.00174204345329481,0.00805695097148849,"SIG",-0.402527269283529,0.00309279028759192,0.00927999909925018,"SIG",0.128660462733715,0.362266040324733,0.682119395881367,"NS"
"Hypotaurine",0.139130702267065,0.296734927258203,0.387152315713334,"NS",-0.0529787189713501,0.709140834220501,0.780899132921385,"NS",0.228378724494152,0.103408283641546,0.53459864609592,"NS"
"Hypoxanthine",-0.425143806330555,0.00097407777474483,0.00526353515056276,"SIG",-0.689747914923532,1.55321690365719e-08,9.57817090588598e-07,"SIG",0.280542986425339,0.0443035069038014,0.533124095945809,"NS"
"Imidazoleacetic Acid",0.463840782552524,0.000286536580068726,0.00230475075272671,"SIG",0.434416957495937,0.00129141025992736,0.00450775279408606,"SIG",-0.0401263553316827,0.777074424784111,0.876577857225979,"NS"
"IMP",0.282598664985081,0.0319503127368518,0.0613046807011104,"NS",0.31932378558074,0.0210283686928707,0.0427499803096823,"NS",-0.149492017416546,0.289244413446672,0.662983873581327,"NS"
"Indole-2-Carboxylic Acid",-0.323818019625335,0.0134886815032378,0.0361653054796955,"NS",-0.451365024725289,0.000783592594871491,0.00302009645940054,"SIG",0.213096559378468,0.12912834071602,0.53459864609592,"NS"
"Indole-3-Carboxylic Acid",-0.330646897782153,0.0115677422375641,0.0332936632416818,"NS",-0.463489082894398,0.000539372168521561,0.00221741891503308,"SIG",0.199948774865534,0.154911590794229,0.53459864609592,"NS"
"Inosine",-0.194930634593497,0.142296543940165,0.218539443876316,"NS",-0.183226963597933,0.193536304145078,0.273314627991141,"NS",0.104584649534705,0.45946313146341,0.745619994041499,"NS"
