"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG","mass_R_spearman","mass_p","mass_adj","sig_mass","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"Glutaric Acid",-0.238509644328123,0.00469101447524846,0.0102098550343643,"NS",-0.297332863993141,0.00169070680505439,0.00401000972993669,"SIG",0.137077193957928,0.155013477201212,0.355211351197507,"NS"
"Glyceraldehyde",0.340696783372536,4.06150767806561e-05,0.000227690581952163,"SIG",0.538047004243416,1.6031664122825e-09,3.2589262973606e-08,"SIG",-0.297590584746548,0.00174545221512015,0.0686955164500668,"NS"
"Glycerol-3-P",-0.116730083071876,0.171160976233987,0.238081057167575,"NS",-0.0989333309300204,0.306071640580289,0.380021835619822,"NS",-0.164007042906125,0.0883652469726112,0.281854667067812,"NS"
"Glycerophosphocholine",0.106079258954666,0.213914866766444,0.288863141253957,"NS",-0.0289789261222588,0.764845694457083,0.814207404720152,"NS",0.190390139931424,0.0474993810203427,0.251099576317623,"NS"
"Glycine",-3.12799533545079e-05,0.999708409123654,0.999708409123654,"NS",-0.0256890256510718,0.790891594984095,0.836085400411757,"NS",0.0753498285608377,0.435562210680702,0.619838530584076,"NS"
"GMP",0.0170207631896173,0.842361207797552,0.865760130236373,"NS",0.0138036809910791,0.88671670443909,0.901332913852921,"NS",-0.0761745899360578,0.430543096516358,0.617445526011832,"NS"
"Guanine",0.380480415474705,3.83229994114035e-06,3.37607375767126e-05,"SIG",0.372653050132782,6.59394975686029e-05,0.000230166170758331,"SIG",0.0184505606523955,0.84876443093124,0.908762313259924,"NS"
"Guanosine",-0.0198694732272599,0.816409742653083,0.843775432350952,"NS",-0.00651029600284196,0.94643316826934,0.951576826792543,"NS",-0.0851913631730145,0.377875247027541,0.577743146281777,"NS"
"Histamine",-0.281023569501664,0.000804925355170815,0.00244116706076395,"SIG",-0.45370044328987,7.24769824807258e-07,4.96601546627195e-06,"SIG",0.245408210545825,0.0102679027547867,0.126637467309036,"NS"
"Histidine",0.0754047961258063,0.377647924252483,0.450741070881996,"NS",0.240088595794486,0.011916936050718,0.0227281770039467,"NS",-0.29887869520897,0.00166377442514367,0.0686955164500668,"NS"
"Homoarginine",0.307738883948797,0.000228459247761018,0.00082872472227036,"SIG",0.42309510158256,4.5729665022494e-06,2.26384939472649e-05,"SIG",-0.136335835418404,0.157274465652599,0.355211351197507,"NS"
"Homocitrulline",-0.0947469787108045,0.267231316351842,0.340950300173039,"NS",-0.0573230404634575,0.553812028447595,0.628559664188989,"NS",-0.207737929756278,0.0303622940211403,0.21944752314783,"NS"
"Hydrocinnamic Acid",-0.308896242222913,0.000215728111987849,0.000798194014355042,"SIG",-0.330625730029026,0.000445876480770885,0.00121304630797961,"SIG",0.157538689648781,0.101794212270994,0.296725255426398,"NS"
"Hypotaurine",0.0666732205751337,0.435487654144865,0.494265128937423,"NS",0.0191045910460622,0.843689613891808,0.876868418932497,"NS",0.16298767491428,0.0903824453050092,0.283402582736046,"NS"
"Hypoxanthine",-0.400921864991876,1.00386001537436e-06,1.09243589908387e-05,"SIG",-0.625623228053888,3.5117086974225e-13,2.16555369674387e-11,"SIG",0.224020016680567,0.0193720396675753,0.170658444690544,"NS"
"Imidazoleacetic Acid",0.329304177504347,7.54642757574873e-05,0.000349022275378379,"SIG",0.372236020495589,6.72915805791384e-05,0.000230535970502604,"SIG",-0.10329904550088,0.284639614891394,0.501507892903885,"NS"
"IMP",0.147547539973214,0.0830332289232848,0.124887376835835,"NS",0.216776639075413,0.0235669792611953,0.0396353742120103,"NS",-0.111036975257159,0.249950297675707,0.458339135794466,"NS"
"Indole-2-Carboxylic Acid",-0.278121236686842,0.000916280631635492,0.00269066534686613,"SIG",-0.390395344364015,2.70902032181763e-05,0.000104410158236721,"SIG",0.147187471040682,0.126568296573344,0.33934978066766,"NS"
"Indole-3-Carboxylic Acid",-0.315804643349495,0.00015244926846873,0.000613111188406848,"SIG",-0.404727262895538,1.27098656920012e-05,5.4681980302796e-05,"SIG",0.121119451394681,0.209296857705798,0.42549361181948,"NS"
"Inosine",-0.0935203576828313,0.273501752527461,0.34656043984644,"NS",-0.0808574129890336,0.403259828683295,0.484435508483179,"NS",0.0794180335464739,0.411129971118574,0.603643211562986,"NS"
"iso-Leucine /allo-isoLeucine",-0.33406543326138,5.84220170294439e-05,0.00029211008514722,"SIG",-0.240816080828256,0.011654187431726,0.0224585903632221,"NS",-0.086284867018812,0.371766542385833,0.573140086178159,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.105585482548142,0.216066879485721,0.289654874672887,"NS",0.196170741335457,0.0409160399989558,0.0615403853642832,"NS",-0.173811509591326,0.0707437697762055,0.256619557031334,"NS"
"Kynurenic Acid",0.425175000253532,1.81640315863691e-07,3.05485985770754e-06,"SIG",0.535748707576221,1.93773996059279e-09,3.2589262973606e-08,"SIG",-0.100657955703827,0.29718417766551,0.509065489519623,"NS"
"L-2-Aminobutyric Acid",0.31194827195736,0.000185245161359607,0.00070427273759836,"SIG",0.27805219376693,0.00341763670811045,0.0075269379881004,"SIG",0.0235659345751089,0.807549860960033,0.884004285666308,"NS"
"L-Kynurenine",0.32642418751335,8.79226584430692e-05,0.0003967241905358,"SIG",0.489259170354503,6.72160289590717e-08,5.65225698064921e-07,"SIG",-0.194402743026596,0.0429495585988088,0.251099576317623,"NS"
"Lactate",-0.140681590211899,0.0985631817122047,0.143576288320928,"NS",-0.154898708241284,0.107776387734877,0.151050240386001,"NS",0.0469557964970809,0.627282896998486,0.773648906298133,"NS"
"Lactose/Trehalose",-0.212866785424574,0.0118727708963953,0.0224128838350319,"NS",-0.123046911285031,0.202420068747398,0.265505734368873,"NS",-0.122203688258734,0.205225190012595,0.42549361181948,"NS"
"Leucine /D-Norleucine",-0.100719215519133,0.238103010702382,0.312172292916427,"NS",0.0536948826198808,0.579217313512995,0.653385384145756,"NS",-0.18222592901492,0.0579984518541029,0.255764071141685,"NS"
