"COMPOUND","mass_R_spearman","mass_p","mass_adj","sig_mass"
"Putrescine",0.231723196274366,0.0983423701577097,0.155498619480139,"NS"
"betaAlanine",0.226643045140127,0.106154947622774,0.166429367035704,"NS"
"Sorbitol",0.222758223684532,0.112444643924125,0.174808900218177,"NS"
"Oxidized Glutathione",0.222117868499544,0.113508198645566,0.174991806245248,"NS"
"Cholesteryl Sulfate",-0.214476296625353,0.126800012166078,0.19386778719607,"NS"
"Cytidine",-0.21212832761373,0.131111207052251,0.198816174628414,"NS"
"Valine",-0.210463404132761,0.134234375191904,0.201897230979694,"NS"
"3-Aminoisobutyrate",-0.207901983392808,0.139147698529407,0.207599388935002,"NS"
"N-Ac-Alanine",-0.204870968850531,0.145133784614537,0.214798001229515,"NS"
"Lactate",-0.202096096382249,0.150779792961414,0.221383029348108,"NS"
"DHAP/D-GA3P",0.190228180287136,0.176765788992921,0.257493472155043,"NS"
"Pseudouridine",-0.184422293276577,0.190595657948086,0.273314627991141,"NS"
"Tryptophan",-0.183952699474253,0.191747084119246,0.273314627991141,"NS"
"Creatine",-0.183440415326262,0.193008833494997,0.273314627991141,"NS"
"Inosine",-0.183226963597933,0.193536304145078,0.273314627991141,"NS"
"Dimethylglycine",-0.181860872536625,0.196936432905936,0.276009394603016,"NS"
"3-Hydroxypropionic Acid",0.175457320686744,0.21343983972613,0.296890002626571,"NS"
"GMP",0.172255544761803,0.22204464187046,0.306554169746531,"NS"
"Niacinamide",-0.167516916392891,0.235217004820223,0.322334414012898,"NS"
"N-Ac-L-Glutamine",0.16649234809691,0.238134156012283,0.323932491634355,"NS"
"Acetylcholine",0.165339708763931,0.241445441988351,0.325497380122244,"NS"
"Glucoronate",-0.164870114961607,0.242803451118215,0.325497380122244,"NS"
"Lysine",0.163930927356958,0.245535066470925,0.326791275518857,"NS"
"Lactose/Trehalose",-0.160344938321024,0.256156677922574,0.338492752969115,"NS"
"Arabitol/Xylitol",0.154026767162475,0.275614282686596,0.361621576574612,"NS"
"UDP-Glucose",0.150355397435209,0.287358462838354,0.374375462148559,"NS"
"7-Methylguanine",-0.146427885633949,0.300279287736508,0.388473204414364,"NS"
"o-Phosphoethanolamine",-0.143567632474335,0.309921650686117,0.398163231784248,"NS"
"NADH",-0.139981643438402,0.322287493556839,0.41119438833114,"NS"
"N-Ac-Phenylalanine",-0.133321949514526,0.346068240213124,0.438511126297452,"NS"
"Glycine",-0.129437128058931,0.360427870252793,0.453599700658277,"NS"
"4-Pyridoxic Acid",-0.12427159623336,0.38007370273632,0.4750921284204,"NS"
"Thiamine",0.121027129962754,0.392733016329871,0.485200839687663,"NS"
"5-Methylcytidine",-0.12085636858009,0.39340608623324,0.485200839687663,"NS"
"Glycerol-3-P",-0.117355760235489,0.407352754583174,0.499074566873425,"NS"
"Argininosuccinate",0.113855151890887,0.421581074289387,0.513108544365372,"NS"
"Serine",-0.108305406954323,0.444707407006611,0.537718106511261,"NS"
"Dimethylarginine (A/SDMA)",0.0938333797735918,0.508191827567717,0.610490182467712,"NS"
"Sucrose",-0.0891801320960115,0.529539642591852,0.632031186319307,"NS"
"Reduced Glutathione",0.0864052596277297,0.542476978109706,0.643322057373689,"NS"
"2'-Deoxycytidine",0.0840999809617725,0.553339795942212,0.6478978623374,"NS"
"Pyroglutamic Acid",-0.0840999809617725,0.553339795942212,0.6478978623374,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0803432305431755,0.571260468855625,0.664674130429501,"NS"
"UMP",-0.0793613525928604,0.575988020960472,0.665986149235545,"NS"
"Succinate",-0.0760315056309222,0.592152400623728,0.680423565934098,"NS"
"Agmatine",0.0743238918042873,0.600519337913745,0.685778256259524,"NS"
"Phosphorylcholine",-0.0727443490146499,0.608304546632475,0.690407000779189,"NS"
"Proline",0.0633951633138234,0.65524639127296,0.739149892594497,"NS"
"Phenylalanine",-0.0599799356605535,0.672741872533874,0.754286341931919,"NS"
"Orotate",-0.0564793273159518,0.690854723287338,0.769928456675647,"NS"
"Pipecolate",0.0540459776129969,0.703547992357545,0.779379512491892,"NS"
"Hypotaurine",-0.0529787189713501,0.709140834220501,0.780899132921385,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.0482827809481039,0.733926786168477,0.803410978941824,"NS"
"gamma-Aminobutyrate",-0.046190954010476,0.745056727313507,0.810797026782346,"NS"
"4-Hydroxybenzoic Acid",0.042818416702872,0.763109187884167,0.825585963500414,"NS"
"DCDP",-0.0352195351743463,0.804231326624063,0.86101444923016,"NS"
"Homocitrulline",-0.0343657282610289,0.80888705628053,0.86101444923016,"NS"
"Leucine /D-Norleucine",0.0341949668783654,0.80981899549215,0.86101444923016,"NS"
"Aminolevulinate",0.0242054259925508,0.864750929516561,0.909467951749786,"NS"
"Cystine",-0.024120045301219,0.865223564907904,0.909467951749786,"NS"
"2-Hydroxyglutarate",-0.0178018741426696,0.900317383915771,0.941009695053207,"NS"
"Phosphoserine",0.0146427885633949,0.917939709623186,0.954038462248816,"NS"
"N-AcetylGlycine",0.0115690836754519,0.93512343341236,0.965764997105109,"NS"
"2-Aminoadipate",0.0107579671078003,0.939663240426593,0.965764997105109,"NS"
"Glycerophosphocholine",-0.00973339881181935,0.945400434389668,0.966293261668997,"NS"
"5'-Methylthioadenosine",-0.00840999809617725,0.952815001090676,0.968520742866895,"NS"
"Trigonelline",-0.00670238426954227,0.962387949967602,0.972905851060144,"NS"
"Xanthosine",-0.00461055733191443,0.974121844863099,0.979415985324312,"NS"
"Guanosine",0.00251873039428659,0.985861173084039,0.985861173084039,"NS"
