"KEGG.id","Entry.type","KEGG.name","p.score"
"R03833","reaction","(S)-reticuline,[reduced NADPH---hemoprotein r...",0.00379063864628825
"R03834","reaction","(S)-scoulerine,[reduced NADPH---hemoprotein r...",0.00209079330422125
"R03835","reaction","S-adenosyl-L-methionine:(S)-scoclaurine 9-O-m...",0.00109088427947598
"R03875","reaction","Protein lysine + S-Adenosyl-L-methionine <=> ...",9.09752547307133e-05
"R03943","reaction","N-Methyltyramine + S-Adenosyl-L-methionine <=...",0.000990893377001467
"R03947","reaction","S-adenosyl-L-methionine:uroporphyrin-III C-me...",0.00349066593886459
"R03948","reaction","S-adenosyl-L-methionine:precorrin-4 C20-methy...",0.00069092066957792
"R03953","reaction","3-Iodo-L-tyrosine + 3,5-Diiodo-L-tyrosine + H...",0.00919014737991266
"R03973","reaction","Hydroiodic acid + 3,5-Diiodo-L-tyrosine <=> 3...",0.00419060225618631
"R04013","reaction","S-adenosyl-L-methionine:16-methoxy-2,3-dihydr...",0.00169082969432319
"R04060","reaction","anhydrotetracycline,NADPH:oxygen oxidoreducta...",0.00579045669577879
"R04132","reaction","2-Oxohept-3-enedioate + H2O <=> 2,4-Dihydroxy...",0.00449057496360986
"R04134","reaction","2-Oxohept-3-enedioate <=> 2-Hydroxyhepta-2,4-...",0.00189081149927222
"R04142","reaction","5-Acetamidopentanoate + NADH + H+ + CO2 <=> 6...",0.00659038391557491
"R04174","reaction","6-acetamido-2-oxohexanoate amidohydrolase",0.0123898562590975
"R04178","reaction","coproporphyrinogen-III:oxygen oxidoreductase ...",0.000290957059679745
"R04222","reaction","dTDP-L-dihydrostreptose:streptidine-6-phospha...",0.00659038391557491
"R04237","reaction","S-adenosyl-L-methionine:magnesium-protoporphy...",0.00139085698689953
"R04282","reaction","4-Imidazolone-5-propanoate + H2O <=> Formylis...",0.0132897743813683
"R04283","reaction","4-Imidazolone-5-propanoate + H2O <=> 4-Oxoglu...",0.00749030203784567
"R04300","reaction","4-(2-aminoethyl)-1,2-benzenediol:oxygen oxido...",0.00069092066957792
